content,category
"1 Department of Chemistry and Materials Innovation Fa ctory, University of Liverpool, Crown Street, Liverpool L69 7ZD, United Kingdom; 2 School of Chemistry, University of Southampton, High field, Southampton SO17 1BJ, United Kingdom; 3 Computational  Research Division, Lawrence Berkeley National Laboratory, Berkeley, California 94720, Un ited States ? These authors contributed equally to this work.",affiliation
"Crystal data for ( CC14 TR)¡¤0.5(CH 2Cl 2), crystallized from a CH 2Cl 2 acetone solution containing enantiomerically pure CC14 TR. CCDC # 1533778. Formula: C 72.5 H91 N12 Cl; M = 1202.05 g¡¤mol T1; cubic space group F4132, colourless prism shaped crystal; a = 24.765(7) ?; V = 15189(13) ? 3; ¦Ñ = 1.051 g¡¤cm T3; ¦Ì(¦Ë = 0.6889 ?) = 0.093 mm T3; F (000) = 5160; crystal size = 0.06 x 0.05 x 0.05 mm; T = 100(2) K; 7341 reflections measured (1.380 < ¦È < 22.484¡ã), 913 unique ( Rint  = 0.0808), 760 ( I > 2 ¦Ò(I)); R1 = 0.2146 for observed and R1 = 0.2254 for all reflections; wR 2 = 0.5233 for all reflections; max/min difference e lectron density = 0.544 and T0.349 e¡¤?T3; data/restraints/parameters = 913/53/77; GOF = 4.0 43. Flack parameter T0.6(7). Single crystals of CC14 TR were small and very weakly diffracting. Due to XTray data quality the final refinement statistics were poor (PLAT082_ALERT_2_A, PLAT084_ALERT_3_A, GOODF01_ALERT_2_B, PLAT087_ALERT _2_B, and PLAT340_ALERT_3_B checkCIF alerts) and diffuse scat ter beyond 0.9 ? was omitted during refinement (THETM01_ALERT_3_B checkCIF alert ). The asymmetric unit for (CC14 TR)¡¤0.5(CH 2Cl 2) comprises 1/12 of a cage fragment and a partially  occupied CH 2Cl 2 located in the intrinsic CC14 TR cavity. In the structure, the methyl group (C7B) i s disordered over and was refined with a site occupancy of 0.25.  It was not possible to accurately determine H atom positions, in particular, for the disordered methyl group. As a result, H atoms were placed in estimated positions and refine d using the riding model. Taking into account close HTH contacts in the structure these H  atom positions are unlikely to be correct (PLAT412_ALERT_2_A and PLAT413_ALERT_2_A checkCIF a lerts). Due to disorder, the aromatic ring and its substituents were refined wit h a planetary restraint (FLAT in SHELX).",CCDC
"Solvation   T [K] a [?] b [?] c [?] ¦Â [¡ã] V [? 3]  C222 1 Solvate 100 16.9803(6) 22.6887(9) 21.8681(6)  8424 .9(5) C222 1 Partial Solvate 300 17.0198(15) 22.755(2) 22.4114(19)  8679.5(13) P21 Desolvate 100 13.9132(17) 21.809(3) 14.0256(17) 10 5.482(3) 4101.4(9) R32 Solvate 100 13.7013(7)  84.866(5)  13797.1(16) R3 Solvate 100 26.5704(10)  22.5533(9)  13789.1(12) R3 Partial Solvate 300 26.80(2)  11.403(9)  7095(13) P3 Solvate 100 26.1841(11)  11.1858(5)  6641.6(6) P3 ( CC15¦Á ) Desolvate 400 25.343(2)  11.3964(11)  6338.8(13) P3 ( CC15¦Á ) Desolvate 100 24.9176(9)  11.2010(4)  6022.8(5)  Crystal data for ( CC15 TR)¡¤3(CH 2Cl 2), crystallized from a CH 2Cl 2 pentane solution containing enantiomerically pure CC15 TR. CCDC # 1533784. Formula: C 87 H114 Cl 6N12 ; M = 1540.60 g¡¤mol T1; orthorhombic space group C222 1, colourless crystal; a = 16.9803(6) ?, b = 22.6887(9) ?, c = 21.8681(6) ?; V = 8424.9(5) ? 3; ¦Ñ = 1.215 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.255 mm T3; F (000) = 3288; crystal size = 0.233 x 0.05 x 0.05 m m; T = 100(2) K; 55835 reflections measured (1.764 < ¦È < 26.371¡ã), 8604 unique ( Rint  = 0.0650), 7420 ( I > 2 ¦Ò(I)); R1 = 0.0511 for observed and R1 = 0.0637 for all reflections; wR 2 = 0.1490 for all reflections; max/min difference electron density = 0.484 and T0.725 e¡¤?T3; data/restraints/parameters = 8604/32/527; GOF = 1.184. Flack parameter 0.03(2). In the structure one methyl group is disordered over two positions and it was not possib le to accurately determine H atom positions. As a result, H atoms were placed in esti mated positions and refined using the riding model. Taking into account close HTH contacts in th e structure these H atom positions are unlikely to be correct, in particular, for the diso rdered methyl group (PLAT412_ALERT_2_A checkCIF alert). During refineme nt disordered CH 2Cl 2 molecules were refined with a rigid bond restraints and CTCl bond distance restraints (RIGU and DFIX in SHELX). For a displacement ellipsoid plot, see Figure S19.",CCDC
"Crystal data for ( CC15 TR)¡¤2.5(CH 2Cl 2). CCDC # 1533781. Formula: C 86.5 H113 Cl 5N12 ; M = 1498.13 g¡¤mol T1; orthorhombic space group C222 1, colourless crystal; a = 17.0198(15) ?, b = 22.755(2) ?, c = 22.4114(19) ?; V = 8679.5(13) ? 3; ¦Ñ = 1.146 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.216 mm T3; F (000) = 3204; crystal size = 0.233 x 0.05 x 0.05 m m; T = 300(2) K; 38867 reflections measured (1.749 < ¦È < 20.865¡ã), 4573 unique ( Rint  = 0.0694), 4069 ( I > 2 ¦Ò(I)); R1 = 0.0741 for observed and R1 = 0.0841 for all reflections; wR 2 = 0.2192 for all reflections; max/min difference electron density = 0.601 and T0. 607 e¡¤?T3; data/restraints/parameters = 4573/29/499; GOF = 1.103. Flack parameter 0.13(4). Due to disorder in the structure at 300 K a suitable resolution limit of 1.0 ? was applied during integration (THETM01_ALERT_3_A, PLAT027_ALERT_3_A, PLAT089_ALER T_3_B, PLAT340_ALERT_3_B checkCIF alerts). In the structur e, two methyl group were disordered and the C atoms were refined isotopically. Disorder ed CH 2Cl 2 solvent molecules were refined with rigid bond restraints and CTCl bond distances restraints (RIGU and DFIX in SHELX).",CCDC
"Crystal data for ( CC15 TR)¡¤1.5(N 2). CCDC # 1533785. Formula: C 84 H108 N15 ; M = 1327.85 g¡¤mol T1; monoclinic space group P21, colourless crystal; a = 13.9132(17) ?, b = 21.809(3) ?, c = 14.0256(17) ?; ¦Â = 105.482(3)¡ã; V = 4101.4(9) ? 3; ¦Ñ = 1.075 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.065 mm T3; F (000) = 1434; crystal size = 0.233 x 0.05 x 0.05 m m; T = 100(2) K; 34598 reflections measured (0.934 < ¦È < 20.845¡ã), 8450 unique ( Rint  = 0.0712), 7691 ( I > 2 ¦Ò(I)); R1 = 0.0631 for observed and R1 = 0.0706 for all reflections; wR 2 = 0.1507 for all reflections; max/min difference electron density = 0.380 and T0. 234 e¡¤?T3; data/restraints/parameters = 8450/4/892; GOF = 1.073. Flack parameter 0.1(10). D ue to disorder and a decrease in XTray data quality after heating the single crystal to 50 0 K a resolution limit of 1.0 ? was applied during integration (THETM01_ALERT_3_A, PLAT027_ALER T_3_A, PLAT089_ALERT_3_B, and PLAT089_ALERT_3_B checkCIF a lerts). The crystal structure was refined with the TWINLAW [001 0 1/g33640 100] and BASF refined to 0.265(2). In comparison to the solvated C222 1 phase, the asymmetric for this phase comprises one  complete CC15 TR molecule. Diffuse electron density was tentatively  modelled as N 2, these were highly disordered and refined with bond distan ce restraints (DFIX in SHELX) and   constrained displacement parameters (EADP in SHELX) . It was not possible to accurately determine H atom positions. Hence, H atoms were pla ced in estimated positions and refined using the riding model. Taking into account close H TH contacts in the structure these H atom positions are unlikely to be correct, in particular , for the disordered methyl groups (PLAT412_ALERT_2_B checkCIF alert). For a displacem ent ellipsoid plot of the asymmetric unit of ( CC15 TR)¡¤1.5(N 2), see Figure S20 .",CCDC
"Crystal data for ( CC15 TR)¡¤3.4(CH 2Cl 2)¡¤1.4(C 6H14 ), crystallized from a CH 2Cl 2 hexane solution containing enantiomerically pure CC15 TR. CCDC # 1533788. Formula: C95.92 H134.67 Cl 6.83 N12 ; M = 1698.06 g¡¤mol T1; trigonal space group R32, colourless plate shaped crystal; a = 13.7013(7) ?, c = 84.866(5) ?; V = 13797.1(16) ? 3; ¦Ñ = 1.226 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.263 mm T3; F (000) = 5462; crystal size = 0.274 x 0.158 x 0.038  mm; T = 100(2) K; 10813 reflections measured (0.720 < ¦È < 21.966¡ã), 3757 unique ( Rint  = 0.0479), 3457 ( I > 2 ¦Ò(I)); R1 = 0.0968 for observed and R1 = 0.1037 for all reflections; wR 2 = 0.2704 for all reflections; max/min difference electron density = 0.633 and T0. 466 e¡¤?T3; data/restraints/parameters =   3757/44/321; GOF = 2.277. Flack parameter 0.33(5). Single crystal data for ( CC15 TR)¡¤3.4(CH 2Cl 2)¡¤1.4(C 6H14 ) was integrated as a two component twin. Scaling and  absorption corrections were performed by the programme TWINABS . Due to disorder, a resolution limit of 0.95 ? was applied during refinement (THETM01_AL ERT_3_A and PLAT340_ALERT_3_B checkCIF alert). In the structure , one disordered cyclohexyl ring was refined with a rigid bond restraint (RIGU in SH ELX). One disordered CH 2Cl 2 molecule was refined as part of the asymmetric unit with bon d distance restraints (DFIX in SHELX) and the C atom was refined with a ISOR restraint. I t was not possible to model diffuse electron density that was disordered throughout the  large extrinsic voids (PLAT602_ALERT_2_A and PLAT049_ALERT_1_B checkCIF a lerts). Hence, the SQUEEZE routine in PLATON was used during the final  refinement cycles. 31T32  As a result, ~ 14.5 CH 2Cl 2 molecules and ~ 8.5 C 6H14  molecules were tentatively added to the unit cell atom count (CHEMW03_ALERT_2_A, PLAT043_ALERT_1_A, a nd PLAT051_ALERT_1_A checkCIF alerts). In the structur e, it was not possible to accurately determine H atom positions. Hence, H atoms were pla ced in estimated positions and refined using the riding model. Taking into account close H TH contacts in the structure these H atom positions are unlikely to be correct (PLAT412_ALERT _2_B checkCIF alert). For a displacement ellipsoid plot, see Figure S21 .",CCDC
"Crystal data for 2( CC15 TR)¡¤2(CH 2Cl 2)¡¤6(Et 2O), crystallized from a CH 2Cl 2 Et 2O solution containing enantiomerically pure CC15 TR. CCDC # 1533790.  Formula: C 194 H280 Cl 4N24 O6; M = 3186.20 g¡¤mol T1; trigonal space group R3, colourless needle shaped crystal; a = 26.5704(10) ?, c = 22.5533(9) ?; V = 13789.1(12) ? 3; ¦Ñ = 1.151 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.126 mm T3; F (000) = 5184; crystal size = 0.389 x 0.371 x 0.286  mm; T = 100(2) K; 50242 reflections measured (1.264 < ¦È < 26.370¡ã), 12534 unique ( Rint  = 0.0531), 11897 ( I > 2 ¦Ò(I)); R1 = 0.0951 for observed and R1 = 0.1040 for all reflections; wR 2 = 0.2790 for all reflections; max/min difference electron density = 1.107 and T0. 873 e¡¤?T3; data/restraints/parameters = 12534/41/682; GOF = 1.058. Flack parameter 0.24(4).  The asymmetric unit for 2( CC15 TR)¡¤2(CH 2Cl 2)¡¤6(Et 2O), comprises two 1/3 fragments of two crystallogra phically distinct CC15 TR molecules, two Et 2O molecules, and two 1/3 fragments of two disordere d CH 2Cl 2 molecules. Due to disorder, the CH 2Cl 2 and Et 2O molecules were refined isotropically. In addition, the Et 2O molecules were refined with 1,2 and 1,3 CTC and C TO bond length restraints (DFIX and DANG in SHELX). In the structu re, one methyl group for each CC15 TR was split and modelled over two positions. The diso rdered C atoms were refined with restrained displacement parameters (ISOR in SHELX).  During refinement, it was not possible to accurately determine H atom positions. Hence, H atoms were placed in estimated positions and refined using the riding model. Takin g into account close HTH contacts in the structure these H atom positions are unlikely to be  correct, in particular, for the disordered solvent and the disordered methyl groups (PLAT410_A LERT_2_A, PLAT413_ALERT_2_A, and PLAT412_ALERT_2_B checkCIF a lerts). For a displacement ellipsoid plot, see Figure S22 .",CCDC
"Crystal data for ( CC156 R)¡¤(CH 2Cl 2)¡¤1.5(Et 2O). CCDC # 1533782. Formula: C91 H125 Cl 2N12 O1.5 ; M = 1481.92 g¡¤mol T1; trigonal space group R3, colourless crystal; a = 26.80(2) ?, c = 11.403(9) ?; V = 7095(13) ? 3; ¦Ñ = 1.041 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.117 mm T3; F (000) = 2403; crystal size = 0.389 x 0.371 x 0.286 mm; T = 300(2) K; 7086 reflections measured (1.519 < ¦È < 23.813¡ã), 4572 unique ( Rint  = 0.0859), 3501 ( I > 2 ¦Ò(I)); R1 = 0.0838 for observed and R1 = 0.1018 for all reflections; wR 2 = 0.2482 for all reflections; max/min difference electron density = 0.381 and T0.531 e¡¤?T3; data/restraints/parameters = 4572/41/314; GOF = 1.027. Flack parameter 0.2(4). D ue to disorder at 300 K a resolution limit of 0.88 ? was applied during refinement (PLAT 027_ALERT_3_A, THETM01_ALERT_3_B, and PLAT340_ALERT_3_B checkCIF a lerts). At 300 K solvent was disordered in the structure (PLAT601_ALERT_2_A checkCIF alert) and refined isotropically. Electron density in the intrinsic ca ge cavity was modelled as, in total, one CH 2Cl 2 molecule that was disordered over three positions.  This molecule was refined with CTCl bond distance restraints (DFIX in SHELX). In add ition, tentatively assigned Et 2O, equating to 1.5 Et 2O molecules per CC15 TR, were located in channels parallel to the crystallographic c axis. During refinement, one cyclohexy ring was re fined with a rigid bond restraint (RIGU in SHELX), and due to poor converge  a DAMP instruction was used during the final refinement cycles (PLAT936_ALERT_2_B chec kCIF alert). For a displacement ellipsoid plot, see Figure S23 .",CCDC
"Crystal data for 3( CC15 TR)¡¤5.83(CH 2Cl 2)¡¤8.8(MeOH). CCDC # 1533783. Formula C266.63 H370.85 Cl 11.65 N36  O 8.80 ; M = 4634.17 g¡¤mol T1; trigonal space group P3, colourless crystal; a = 26.1841(11) ?, c = 11.1858(5) ?; V = 6641.6(6) ? 3; ¦Ñ = 1.159 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.184 mm T3; F (000) = 2491; crystal size = 0.414 x 0.106 x 0.09 mm; T = 100(2) K; 36595 reflections measured (0.898 < ¦È < 24.701¡ã), 11547 unique ( Rint  = 0.0345), 10992 ( I > 2 ¦Ò(I)); R1 = 0.1209 for observed and R1 = 0.1266 for all reflections; wR 2 = 0.3316 for all reflections; max/min difference electron density = 0.841 and T0. 826 e¡¤?T3; data/restraints/parameters = 11547/54/981; GOF = 2.802. Flack parameter 0.02(5).  The asymmetric unit for this phase comprises three 1/3 CC15 TR cage fragments. Each CC15 TR molecule is centred around a threefold rotation axis. In the structure the solve nt was modelled as disordered CH 2Cl 2 and MeOH, and all solvent molecules were refined isotro pically. The carbon atoms for the disordered methyl groups were refined anisotropical ly with restrained displacement parameter (ISOR in SHELX). For the disordered CH 2Cl 2 molecule 1,2 CTCl and 1,3 ClTCTCl bond distances were restrained during refinement (D FIX in SHELX). One MeOH molecule was refined with a restrained CTO bond distance (DF IX in SHEL). Due to disorder, it was not possible to accurately determine H atom positions. As a result, H atoms were placed in   estimated positions and refined using the riding mo del. Taking into account close HTH contacts in the structure these H atom positions ar e unlikely to be correct, in particular, for the disordered methyl groups and disordered solvent  (PLAT412_ALERT_2_B PLAT420_ALERT_2_B checkCIF alerts). For a displacem ent ellipsoid plot, see Fig. S24 .",CCDC
"Single crystal data for  3( CC15 TR) collected at 400 K. CCDC # 1533779. Formula C252 H324 N36 ; M = 3857.45 g¡¤mol T1; trigonal space group P3, colourless crystal; a = 25.343(2) ?, c = 11.3964(11) ?; V = 6338.8(13) ? 3; ¦Ñ = 1.011 g¡¤cm T3; ¦Ì(MoTK¦Á) = 0.060 mm T3; F (000)   = 2088; crystal size = 0.414 x 0.106 x 0.09 mm; T = 400(2) K; 25300 reflections measured (1.856 < ¦È < 23.240¡ã), 7893 unique ( Rint  = 0.0410), 5487 ( I > 2 ¦Ò(I)); R1 = 0.0779 for observed and R1 = 0.1137 for all reflections; wR 2 = 0.2339 for all reflections; max/min difference electron density = 0.187 and T0.159 e¡¤?T3; data/restraints/parameters = 7893/724/896; GOF = 0.998. Flack parameter 1.3(10). Due to disorder at 400 K during integration a 0.90 ? resolution limit was applied (PLAT027_ALERT_3_A, TH ETM01_ALERT_3_B, and PLAT029_ALERT_3_B checkCIF alerts) and data complet eness at high angle is poor (PLAT029_ALERT_3_B  checkCIF alert). In the structu re three methyl group were disordered and modelled two positions. It was neces sary to refine the structure with a rigid bond restraint (RIGU in SHELX) and it was not possi ble to accurately determine H atom positions. As a result, H atoms were placed in esti mated positions and refined using the riding model. Taking into account close HTH contacts in th e structure these H atom positions are unlikely to be correct, in particular, for the diso rdered methyl group (PLAT412_ALERT_2_A checkCIF alerts). At 400 K no so lvent molecules were found in the crystal structure (PLAT601_ALERT_2_B checkCIF alert ). For a displacement ellipsoid plot, see Fig. S25 .",CCDC
