content,category
"?Imperial College London, Department of Chemistry, South Kensington, London, SW7 2AZ, England, U.K.",affiliation
"Figure S1: Crystal structures of cages TCC1?3and thestructures of their respective aldehyde linkers. Figure S2:Displacement ellipsoid plot for TCC1[6+12]. Figures S3 ?5: Crystal packing of TCC1 [3+6] andTCC1 [6+12]. TableS1: Bond lengths and angles of TCC1 [3+6] andTCC1 [6+12] compared to other crystal structures. FigureS6: Microscope image of crystals immersed in oil. FigureS7: Chromatogram of the mother liquor from thecrystallization. Figure S8: LCMS data (a) total ion count;(b(i) and (ii)) Accurate mass spectra for the small andlarge cages, respectively. Table S2: Synthetic optimiza-tion using CHCl3. Figures S9 ?13: Chromatographs toillustrate the in ?uence of CHCl3on the reaction. TableS3: Synthetic optimization using DCM. Figures S14 ?17:Chromatographs to illustrate the in ?uence of DCM onthe reaction. Table S4: In ?uence of polarity on theamount of TCC1 [6+12]. Figure S18: Overlay of themodeled and crystal structure of TCC1 [6+12].(PDF)Accession CodesCCDC 1578448 contains the supplementary crystallographicdata for this paper. These data can be obtained free of chargeviawww.ccdc.cam.ac.uk/data_request/cif , or by emailing data_request@ccdc.cam.ac.uk , or by contacting The CambridgeCrystallographic Data Centre, 12 Union Road, Cambridge CB21EZ, UK; fax: +44 1223 336033.",CCDC
"2 Synthetic Procedures   5-Bromoisophthalaldehyde  To a rbf, equipped with stirrer bar, was added isophthalaldehyde (50 .00 g, 372.7 mmol, 1.0 eq.) followed by concentrated sulphuric acid (200 mL).",comprehensive synthesis
"The resulting mixture was heated to 65 ～C, before direct heating was removed for the portionwise addition of N-bromosuccinimide (72.98 g, 410.1  mmol, 1.1 eq.) over 20 min. After complete addition, heating was resumed and the reaction was stirred  at 65 ～C for 19 h ours. The re action was allowed to cool to room temperature , and was poured into ice (~1 L) and stirred. The mixture was left for 1 hour before the resulting precipitate was collected by filtration. The collected solid was dissolved in DCM  (1 L) and washed with water (2 x 200 mL). The organic layer was dried (MgSO 4) and hexane (500  mL) added, before the DCM was carefully removed in-vauo  to afford a beige precipitate which was collected by filtration. The resulting solid was washed with a 1: 2 methanol /hexane mixture (300 mL) and dried in vacuo to afford 5 -bromoisophthalaldehyde which was used without further purification (43.14 g, 202.5 mmol, 54%).",comprehensive synthesis
"1H NMR  (400 MHz, CDCl 3) 汛H 10.06 (2H, s), 8.30 (1H, t, J = 1.4 Hz), 8.26 (2H, d, J = 1.4 Hz). Data in accordance with literature values.5 5,5'-(Ethyne -1,2-diyl)diisophthalaldehyde  A modification of the procedure of Slater et al. was used for this reaction.2 To an oven dried rbf, equipped with stirrer bar, was added 5 -bromoisophthaladehyde (8.49 g, 39.87 mmol, 2.1 eq.) and the flask evacuated a nd backfilled with N 2 (x3) before the addition of anhydrous 1,4-dioxane (200 mL). The solution was degassed (N 2 bubbling, 30 min) before the addition of bis(tri -n-butylstannyl)acetylene (10 mL, 18.98 mmol, 1.0 eq.) and Pd(PPh 3)4 (1.1 g, 0.95 mmol, 0.05 eq.). The resulting solution was heated at 100 ～C for 18 h ours under N 2 before being allowed to cool to room temperature  and filtered through  Whatman glass microfiber filter paper. To the filtrate was added water (300 mL), and the product extracted with CH Cl3 (2 x 500 mL).",comprehensive synthesis
"To the combined organic layer was added hexane (500 mL) and the resulting precipitate collec ted by filtration, washed with  hexane (200 mL) and dried in-vacuo  to afford the desired product which was used without further purification (4.25 g, 14.64 mmol, 77%).",comprehensive synthesis
"1H NMR  (500 MHz, CDCl 3) 汛H 10.14 (4H, s), 8.39 (2H, t, J = 1.3 Hz), 8.31 (4H, d, J = 1.4 Hz). Data in accordance with literature values .6 TCC1 [3+6]6 To a stirred suspension of 5,5' -(ethyne -1,2-diyl) diisophthalaldehyde (2.0 g, 5.84 mmol) and trifluoroacetic acid (TFA) (5 drops) in DCM (20 mL) was added a solution of R,R-(-)-(1,2) -cyclohexanediamine (1.34 g, 11.7 mmol) in DCM (28 mL).  The mix ture was stirred overnight at room temperature , during which  time the solution turned yellow and the tetraaldehyde compound was observed to dissolve. After 5 days the reaction mixture was diluted with DCM and the mixture was fil tered to remove any insoluble by -products .  The filtrate was concentrated to ~20 mL at 2 5 ～C under re duced pressure, hexane (20 mL) was charged with stirring and the resulting white precipitate was collected via vacuum filtration to yield pure product (2.54 g, 87%).",comprehensive synthesis
"TCC1 [6+12] The following method generated a ratio of 7:1 large cage:small cag e (by % a/a, HPLC, 254 nm), based on a modification  of the already published method.6 A solution of 5,5' -(ethyne -1,2-diyl)diisophthalaldehyde (0.520 g, 1.791 mmol) and S,S-(+)-1,2-diaminocyclohexane (0.468 g, 4.098 mmol) in a mixed solvent system  of 1:1 dichloromethane/methanol (1000 mL) was heated under reflux for 5 days with stirring. After cooling, the solution was concentrated to ~50 mL at 25 ～C under reduced pressure. A small amount of precipitate formed in the solution (< 20 mg) which was fi ltered post vac, and the remaining solution was filtered with a syringe filter to ensure clarity, and was found to contain a mixture of 7:1 large cage to small cage. All attempts to isolate the large cage by evaporation or precipitation prov ed futile.",comprehensive synthesis
"←RESULTS AND DISCUSSIONWe recently reported a family of chiral cage molecules with atriangular prism shape (the topology can be denoted Tet 33Di6,according to our recently introduced nomenclature),21referredto here as TCC1 [3+6], TCC2 [3+6], and TCC3 [3+6](Figure S1 ).22The smallest cage in this family, TCC1 [3+6], was shapepersistent and found to have an apparent BET surface area(SABET) of 2037 m2g?1as a homochiral crystalline material. Ina subsequent crystallization screen for TCC1[3+6], we observeda new crystal habit for this system. Crystallization of TCC1 [3+6]from a chloroform solution containing ethanol or methanol asan antisolvent a ?orded a mixture of acicular or needle-likecrystals, along with the previously observed crystals ofTCC1[3+6], which are cubes. The needles were found to besingle, although some non-merohedral twinning was observed.",surface area
"Cage Doubling: Solvent-Mediated Re-equilibration of a [3 + 6]Prismatic Organic Cage to a Large [6 + 12] Truncated TetrahedronPublished as part of a Crystal Growth and Design virtual special issue Honoring Prof. William Jones and HisContributions to Organic Solid-State ChemistryChloe J. Pugh,?Valentina Santolini,?Rebecca L. Greenaway,?Marc A. Little,?Michael E. Briggs,?Kim E. Jelfs, *,?and Andrew I. Cooper *,??University of Liverpool, Department of Chemistry and Materials Innovation Factory, Crown Street, Liverpool, L69 7ZD, Merseyside,England, U.K.",this paper's author
