content,category
"Data processing and absorption correction (SADABS)[S4] were accomplished by standard methods. The structures were solved by direct methods and refined by full -matrix least -squares using SHELXL software.[S5] All non -hydrogen atoms were refined using anisotropic thermal parameters; hydrogen atoms were treated using appropriate riding models. The crystallographic informat ion file s (CCDC -1839251  [3]; CCDC -1839252 [ 5]; CCDC -1839253 [ 9]; CCDC -1839254 [ 10]) have been deposited in the Cambridge Crystallographic Data Centre and can be downloaded free of charge via www.ccdc.camac.uk/data_request/cif.ls. Gassorption Experiments: T he surface areas and porosities were characterized by nitrogen adsorption and desorption analysis at 77.35 K with an autosorb computer controlled surface analyzer (AUTOSORB -iQ2, Quantachrome). The activation methods are listed below. The Brunauer -Emmett -Teller (BET) surface areas were calculated assuming a cross sectional area of 0.162 nm2 for the nitrogen molecules in the pressure range P/P 0 = 0.01 -0.1. Pressure range that have a positive slope in the Rouquerol plot  were taken into account. The non -local density functional theory (NLDFT model) and isotherm data were used to calculate the pore size distribution.",CCDC
"10 20 30 40 50 60 70020040060080010001200Intensit?t [a.u.]2? [¡ã]10 20 30 40 50 60 7005001000150020002500Intensit?t [a.u.]2? [¡ã]10 20 30 40 50 60 700200400600800Intensit?t [a.u.]2? [¡ã]10 20 30 40 50 60 70020040060080010001200Intensit?t [a.u.]2? [¡ã]a) b)c) d)e) f)Intensity [ a.u.]Intensity [ a.u.]10 20 30 40 50 60 70020040060080010001200Intensit?t [a.u.]2? [¡ã]10 20 30 40 50 60 70020040060080010001200140016001800Intensit?t [a.u.]2? [¡ã]Intensity [ a.u.]Intensity [ a.u.]Intensity [ a.u.]Intensity [ a.u.]S34  11. Single Crystal X -ray Diffraction Data  Crystals of 5, suitable for investigations by SCXRD were obtained by gas phase diffusion of n-pentane into a dichloromethane solution of 3  Diffractometer  Bruker Apex II Quazar  CCDC Number  1839251  Empirical formula  C41H50B3Br3O9 Formula weight  958.97  Temperature  200(2) K  Wavelength  0.71073 ?  Crystal system  monoklin  Space group  C2/c  Z 8 Unit cell dimensions   a = 42.567(9) ? ¦Á = 90 ¡ã b = 12.984(3) ? ¦Â = 97.272(7) ¡ã c = 19.232(4) ? ¦Ã = 90 ¡ã Volume  10544(4) ?3 Density (calculated  1.21 g/cm3 Absorption coefficient  2.34 mm-1 Crystal shape  Pl?tchen  Crystal size  0.160 x 0.100 x 0.030 mm3 Crystal colour  farblos  Theta range for data collection  1.0 bis 21.5 ¡ã Index  ranges  -43¡Üh¡Ü43, -13¡Ük¡Ü13, -19¡Ül¡Ü19 Reflections collected  21581  Independent reflections  6045 (R(int) = 0.1685)  Observed reflections  3023 (I > 2 ¦Ò(I)) Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  0.95 und 0.79 Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  6045 / 2181 / 724  Goodness -of-fit on F2  1.01 Final R indices (I>2sigma(I))  R1 = 0.071, wR2 = 0.146  Largest diff. peak and hole  0.48 und -0.41 e?-3 S35  Crystals of 5, suitable for investigations by SCXRD were obtained by putting a layer of water onto a solution of 5.",CCDC
"Diffractometer  Bruker Apex II Quazar  CCDC Number  1839252  Empirical formula  C20H11Br3O3?3 H2O Formula weight  958.97  Temperature  200(2) K  Wavelength  0.71073 ?  Crystal system  orthorhombisch  Space group  P212121 Z 4 Unit cell dimensions   a = 8.9946(2) ? ¦Á = 90 ¡ã b = 15.2074(4) ? ¦Â = 90 ¡ã c = 15.2301(4) ? ¦Ã = 90 ¡ã Volume  2083.24(9) ?3 Density (calculated  2.04 g/cm3 Absorption coefficient  5.86 mm-1 Crystal shape  Nadeln  Crystal size  0.290 x 0.050 x 0.040 mm3 Crystal colour  braun  Theta range for data collection  1.9 bis 27.6 ¡ã Index ranges  -11¡Üh¡Ü11, -19¡Ük¡Ü19, -19¡Ül¡Ü19 Reflections collected  44860  Independent reflections  4826 (R(int) = 0.0560)  Observed reflections  4258 (I > 2 ¦Ò(I)) Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  0.83 und 0.57 Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  4826 / 33 / 325  Goodness -of-fit on F2  1.07 Final R indices (I>2sigma(I))  R1 = 0.032, wR2 = 0.068  Largest diff. peak and hole  1.23 und -0.63 e?-3   S36  Crystals, suitable for investigations by SCXRD were obtained by layer to layer diffusion of n-hexane into a filtered reaction mixture of cage compound 9.",CCDC
"Diffractometer  Bruker Apex II Quazar  CCDC Number  1839253  Empirical formula  C116H44B12Br12O24 Formula weight  2910.15  Temperature  200(2) K  Wavelength  0.71073 ?  Crystal system  monoklin  Space group  P21/c Z 4 Unit cell dimensions  a = 24.635(2) ? ¦Á = 90 ¡ã b = 22.3101(17) ? ¦Â = 93.898(2) ¡ã c = 32.056(2) ? ¦Ã = 90 ¡ã Volume  17577(2) ?3 Density (calculated  1.10 g/cm3 Absorption coefficient  2.78 mm-1 Crystal shape  Oktaeder  Crystal size  0.220 x 0.210 x 0.180 mm3 Crystal colour  farblos  Theta range for data collection  0.8 bis 23.3 ¡ã Index ranges  -27¡Üh¡Ü27, -24¡Ük¡Ü23, -30¡Ül¡Ü35 Reflections collected  94653  Independent reflections  25242 (R(int) = 0.0772)  Observed reflections  16211 (I > 2 ¦Ò(I)) Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  0.58 und 0.50 Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  25242 / 5022 / 1477  Goodness -of-fit on F2 1.03 Final R indices (I>2sigma(I))  R1 = 0.061, wR2 = 0.157  Largest diff. peak and hole  1.64 und -0.44 e?-3    S37  Crystals, suitable for investigations by SCXRD were obtained by gas phase diffusion of n-pentane into a filtered reaction mixture of cage compound 10.",CCDC
"Diffractometer  STOE Stadivari  CCDC Number  1839254  Empirical formula  C58H16B6Br6F6O12 Formula weight  1563.03  Temperature  100(2) K  Wavelength  1.54178 ?  Crystal system  triklin  Space group  P1 Z 4 Unit cell dimensions   a = 20.6749(5) ? ¦Á = 67.218(2) ¡ã b = 21.1707(5) ? ¦Â = 87.315(2) ¡ã c = 26.0201(6) ? ¦Ã = 61.313(2) ¡ã Volume  9074.5(4) ?3 Density (calculated  1.144 g/cm3 Absorption coefficient  3.655 mm-1 Crystal shape  Polyeder  Crystal size  0.090 x 0.080 x 0.060 mm3 Crystal colour  farblos  Theta range for data collection  2.616 bis 68.243 ¡ã  Index ranges  -24¡Üh¡Ü24, -25¡Ük¡Ü17, -31¡Ül¡Ü29 Reflections collected  93217  Independent reflections  32563 (R(int) = 0.0834)  Observed reflections  21892 (I > 2 ¦Ò(I)) Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  2.26 und 0.43  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  32563 / 1824 / 1604  Goodness -of-fit on F2  1.05 Final R indices (I>2sigma(I))  R1 = 0.063, wR2 = 0.162  Largest diff. peak and hole  2.25 und -0.99 e?-3 S38  12. Mass spectrometry   Figure S 37: DART -pos-MS-spectrum of compound 2a.",CCDC
"Electron micrographs were acquired using a Crossbeam 540 field emissio n scanning electron microscope (Carl Zeiss Microscopy, Germany). Imaging was performed with a working distance of 3.0  mm and a landing energy between 1.0 keV and 3.0 keV. The secondary electron images were recorded by an Inlens -detector and the backscatter ed electron images recorded by an EsB -detector. The powder sample was suspended in isopropanol, treated with ultrasound and drop -casted onto a silicon wafer substrate pre -cleaned in air -plasma. Silicon wafer: single side polished p -type (100), from Si -Mat, Germany. Powder diffractometry was performed with a STOE STADI 611KLS/N 61263 with Ge(111) -monochromated copper radiation (¦Ë(CuK¦Á) = 1.54060 ?). The diffractograms were obtained with a Stoe linear PSD Detector, measured in a glass capillary (? = 0.5 mm) a s sample container.   S3  2. Synthetic Procedures   1,3,6,8,13,15 -Hexabromo -4,5,16 -trimethoxyt riptycene 2a and 1,3,6,8,14,16 -hexabromo -4,5,13 -trimethoxytriptycene 2b: The isomeric mixture of the trimethoxy triptycenes 1a and 1b (3.44 g, 10.0 mmol) was suspended in CH 2Cl2 (100 mL), bromine (15.5  mL, 300  mmol, 30  eq.) was added dropwise and the resulting mixture stirred for 7  h at room temperature. After cooling to 0  ¡ãC, an aqueous solution of Na 2S2O6 (20%,  400 mL) was added slow ly to the reaction mixture and stirred over night at room temperature. CH 2Cl2 (200 mL) was added and the biphasic mixture stirred for 10  min. After phase separation , the a queous layer  was extracted  with CH 2Cl2 (4x40  mL), and the combined organic layer  washed w ith an aqueous solution of Na 2S2O6 (20%, 2x100  mL) and brine (2x100  mL), and dried over magnesium sulfate . After removal of the solvent  under reduced  pressure, t he obtained isomeric mixture of 2a and 2b (2:1) was separated by column chromatography (SiO 2, petroleum ether / CH 2Cl2, 4:1) . First fraction (Rf = 0.36) gave after removal of solvent and drying in vacuum 2.65  g (32%) of  2b as off -white powder . M.p.  = 212-214¡ãC . 1H-NMR (DMSO -d6, 400 MHz): ¦Ä = 7.77 ppm (s, 1H, H -9), 7.74 (s, 2H, H-4), 6.61 (s, 1H, H-1), 6.57 (s, 1H, H -6), 3.94 (s, 3H, 7 -OCH 3), 3.92 (s, 6H, 2 -OCH 3). 13C-NMR (DMSO -d6, 100 MHz): ¦Ä = 151.9 ppm (C -7), 151.8 (C -2) 143.9 (C -1a), 143.5 (C -10a), 138.7 (C -5a), 138.5 (C -6a), 133.4 (C -9), 133.3 (C -4), 115.7 (C -8), 115.7 (C -3), 113.7 (C -1), 113. 6 (C-10), 62.6 (7 -OCH 3), 62.5 (2 -OCH 3), 47.2 (C -6), 43.0 (C -1). IR (neat, ATR): ??? = 2935 cm-1 (w), 1586 (w), 1456 (s), 1417 (s), 1364 (s), 1245 (s), 1182 (w), 1154 (s), 1136 (m), 1068 (s), 1032 (m), 979 (m), 948 (m), 902 (m), 864 (s), 781 (m), 764 (w), 730 (m), 698 (m), 654 (m), 616 (m).  HRMS (DART): [M+NH 4]+: m/z calcd. for (C 23H18Br6NO 3+): 829.6 381, found 829.6409.  Elemental Analysis (%): (C23H14Br6O3) Calcd.",comprehensive synthesis
"for (C 23H18Br6NO 3+): 829.6381, found 829.6393.  Elemental Analysis (%): (C23H14Br6O3) Calcd. C 33.78, H 1.73, found C 34.07, H 2.02.  S4    3,6,15 - Tri-(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolane -1,8,13 -tribromo -4,5,16 -trimethoxytriptycene 3: To a cooled ( -84 ¡ãC) suspension of t riptycene 2a (1.96  g, 2.40  mmol) in dry diethyl ether ( 24 mL) under argon atmosphere, n-butyl lithium (2.5  M in hexane, 3.2  mL, 8.00  mmol, 3.3  eq.) was added dropwise. The reaction mixture  was stirred for 5  min at -84 ¡ãC, the cooling bath removed and further stirred for 30  min at room temperature. The reaction mixture was cooled to -84 ¡ãC again and a pre -cooled ( -84 ¡ãC) solution of 2 -isopropoxy -4,4,5,5 -tetramethyl -1,3,2 -dioxaborolane (1.7 mL, 8.33 mmol, 3.5 eq.) in diethyl ether (8.5 mL) was added . After removing of the cooling bath, the reaction mixture was stirred for 1.5 h at room temperature. Saturated aqueous ammonium chloride solution (50 mL) was added, the phases  separ ated and the aqueous phase extracted with CH 2Cl2 (3 x 50 mL). The combined organic phase was  washed with water (50 mL) and brine (50 mL), dried over MgSO 4 and the solvent removed under reduced pressure. The crude product was dissolved in hot chloroform  (10 mL), filtered and n-heptane (20  mL) added under stirring . and finally stored in a refrigerator  (-16 ¡ãC) over night  The obtained solid was collected by filtration , washed with n-pentane (2  x 5 mL) and dried under a stream of air to give 1.39 g (60%) of 3 as colorless solid.  M.p.  = 365-370¡ãC (dec.). 1H-NMR (CDCl 3, 400 MHz): ¦Ä = 7.63 ppm (s, 3H, H -4), 6.86 (s, 1H, H -1), 6.68 (s, 1H, H -6), 3.92 (s, 9H, OCH 3), 1.30 (s, 36H, Bpin -H). 13C-NMR (CDCl 3, 100 MHz):  ¦Ä = 159.8 ppm (C -2), 148.7 (C -5a), 139.3 (C -1a), 137.7 (C -4), 122.8 (C -3), 114.4 (C -1), 84.0 (Bpin -Cquart), 63.8 (OCH 3), 53.5 (C -6), 37.6 (C -1), 24.9 (Bpin -Cmethyl). IR (neat, ATR): ??? = 2977 cm-1 (w), 2933 (w), 1590 (w), 1467 (m), 1434 (w), 1396 (m), 1371 (m), 1334 (s), 1273 (m), 1234 (m), 1134 (s), 108 4 (w), 1042 (w), 991 (w), 975 (m), 907 (m), 859 (m), 836 (w), 790 (w), 747 (w), 707 (w), 674 (w), 646 (w).  HRMS (DART+): [M+NH 4]+: m/z calcd. for (C41H54B3Br3NO 9+): 974. 1622 , found 974.1634.  Elemental Analysis (%): (C41H50B3Br3O9) Calcd. C 51.35, H 5.26, found C 51.31, H 5.20.",comprehensive synthesis
"1,8,13 -Tribromo -3,6,15 -trihydroxy -4,5,16 -trimethoxytriptycene 4: To a cooled  (0 ¡ãC) solution of triptycene 3 (1.15  g, 1.20  mmol) in THF (60  mL), h ydrogen peroxide (34.5 -36.5%, 1.06  mL, 10.8 mmol) and  sodium hydroxide (1  M, 1.2  mL) were added dropwise and stirred for 1  h at 0  ¡ãC and S5  30 min at room temperature. Water (30  mL) was added and the aqueous phase extracted with diethyl ether (3x30  mL). The combined organic layer was washed with water (2x20  mL) and brine (20  mL), dried over magnesium sulfate . Solvent was removed under reduced pressure and t he crude product dissolved in diethyl ether (5  mL) and precipitated  with dichloromethane (50  mL) while stirring for 30 min. The precipitate was collected by f iltration and dried  under a  stream of air giving 717  mg (95%) of 4 as colorless solid. M.p.  = 282¨C283¡ãC (dec.). 1H-NMR (DMSO -d6, 600 MHz): ¦Ä = 9.90 ppm (s, 3H, OH), 6.73 (s, 3H, H -4), 6.45 (s, 1H, H -1), 6.23 (s, 1H, H -6), 3.80 (s, 9H, OCH 3). 13C-NMR (DMSO -d6, 125 MHz):  ¦Ä = 149.1 ppm (C -3), 143.1 (C -2), 138.8 (C -1a), 135.5 (C -5a), 115.5 (C -4), 111.2 (C -5), 60.9 (OCH 3), 49.8 (C -6), 36.7 (C -1). IR (neat, ATR): ??? = 3535 cm-1 (w), 3395 (w, b), 2959 (w), 2937 (w), 2832 (w), 1603 (w), 1589 (w), 1475 (s), 1428 (m), 1346 (w), 1273 (m), 1235 (s), 1181 (m), 1162 (m), 1086 (w), 1049 (m), 987 (m), 946 (w), 922 (w), 898 (m), 853 (m), 843 (m), 773 (w), 728 (m), 669 (m), 634 (w).  HRMS (ESI-): [M -H]-: m/z calcd. for (C 23H16Br3O6-): 624.8503, found 624.8499.  Elemental Analysis (%): (C23H17Br3O6) Calcd. C 43.91, H 2.72, found C 43.57, H 2.97.",comprehensive synthesis
"4,5,16 -Tribromo -1,2,7,8,13,14 -hexahydroxytriptycene 5: To a 0  ¡ãC cooled solution  of triptycene 4 (629 mg, 1.00  mmol) in dry dichloromethane (10  mL), BBr 3 (570 ¦ÌL, 6.00  mmol, 6  eq.) was added dropwise and t he resulting colorless  solution stirred for 16  h at room temperature . After cooling again to 0 ¡ãC, the reaction mixt ure was poured carefully on  water (30  mL) and stirred for 4  h at room temperature. The precipitate was collected by filtration, washed with water (2x10  mL) and dried at  a Kugelrohr oven ( T =120  ¡ãC, p = 5?10-2 mbar) for 16  h, to obtained 487  mg (83%) of 5 as off-white solid.",comprehensive synthesis
"S6   6-Butyl -2-(2¡ä,3¡ä -difluorophenyl) -(N-B)-1,3,6,2 -dioxazaborocane (S2): According to a procedure of Durka et al.[S2] a mixture of (2,3 -difluorophenyl)boronic acid ( S1) (2.37 g, 15.0 mmol), N-butyldiethanolamine (2.5 mL, 15.3 mmol, 1.0 eq.) and anhydrous MgSO 4 (2.00 g) was stirred in acetone (15 mL) for 1.5 h at 35 ¡ãC. The mixture was filtered and the solvent removed und er reduced pressure.",comprehensive synthesis
