content,category
"Department of Chemistry, Zhejiang University, Hangzhou 310027, P. R. China  Abstract:  A series of tetrahedral cages and triangular prisms,  have been self-assembled  by condensing  ostensibly analogous trisformyl precursors with tris or bisamino linkers  under the nominally reversible reaction conditions  in the manner of either  [4+4] or [2+3], respectively.",affiliation
"Department of Chemistry, Zhejiang University, Hangz hou 310027, China *e-mail: lihao2015@zju.edu.cn   Supporting Information   Table of Contents 1. NMR Spectra and HRMS Spectra qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis. S2  2. NMR Spectra Used for Yield Calculations qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis..qelipsisqelipsis...S16  3. X-Ray Crystallography... qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis qelipsisqelipsisqelipsis qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis  S18 4. Computational Analysis of Precursors¡¯ Rotational  Energy Barriers qelipsisqelipsis.qelipsis S21   5. Detailed Computed Energies (in Hartrees) of Opti mized Structures qelipsisqelipsisqelipsis. S22  6. Summary Data of TREN Conformation in Imine Cages  from Literatures qelipsis. S23 7. Effect of Precursor Stoichiometry on Self-assemb ly Outcome qelipsisqelipsisqelipsisqelipsis .qelipsis.S23 8. Self-sorting Studies .qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis .qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis..S27  9. Cartesian Coordinates for the Optimized Structur es qelipsisqelipsisqelipsis.qelipsisqelipsisqelipsisqelipsisqelipsisqelipsis...S34 10. References qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis ...qelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsisqelipsis.. S45  S2  1. NMR Spectra and HRMS Spectra  Figure S1. 1H NMR Spectrum (500 MHz, CDCl 3, 298K) of La 4A1 4.",affiliation
"X-ray Crystallography.  For the methods and crystal parameters of La4A14 and Lb4A14, please see the previously reported literature.32 (a) Method.  The self -assembly solution of La2A23 or Lc2A23 in CDCl 3 were used directly for the crystallization, 0.3 mL of the solution was passed through a 0.22 ¦Ìm filter into one 1 mL clean glass tube. The tube was placed in a 20 mL vial containing 0.3 mL acetonitrile, and the vial was capped and placed in 4 oC fridge. Slow solvent  evaporation  of the mixture solution of La2A23 or Lc2A23 in the presence of  acetonit rile solution over the course of 1 week yielded either colourless single crystals of La2A23 or yellow single crystals Lc2A23. (b) Crystal Parameters.  La2A23 : [C 66H63N9]2¡¤(CHCl 3)2¡¤(CCl 3)2; colourless block, 0.49 ¡Á0.30¡Á0.23 mm; orthorhombic , P b c a ; a = 26.1980(11), b = 15.1390(5), and c = 31.8305(11)  ?; ¦Á = 90.00, ¦Â = 90.00, and ¦Ã = 90.00o; V = 12624.3(8)  ?3; Z = 4; T = 170 K; ¦Ñcalc = 1.284 g cm?3; R(reflections)  = 0.0956(7570), wR 2(reflections)  = 0.3132(11489)  CCDC no.: 1506717 . Lc2A23 : [C60H57N15]¡¤(CHCl 3)2; yellow block, 0.48 ¡Á0.43¡Á0.38 mm; monoclinic , P 2 1/c; a = 15.5704(8), b = 25.7255(10), and c = 16.0579(9)  ?; ¦Á = 90.00, ¦Â = 110.885(6) , and ¦Ã = 90.00o; V = 6009.49  ?3; Z = 4; T = 170 K; ¦Ñcalc = 1.356 g cm?3; R(reflections)  = 0.0620(6831), wR 2(reflections)  = 0.1762(10975)  CCDC no.: 1506258 .",CCDC
"Empirical formula C 136 H128 Cl12 N18  Formula weight 2439.96 Temperature/K 170 Crystal system orthorhombic  S19  Space group Pbca a/? 26.1980(11) b/? 15.1390(5) c/? 31.8305(11) ¦Á/¡ã 90.00 ¦Â/¡ã 90.00 ¦Ã/¡ã 90.00 V olume/?3 12624.3(8) Z 4 ¦Ñcalcg/cm3 1.284 ¦Ì/mm(1 0.321 F(000) 5096.0 Crystal size/mm3 0.49 ¡Á 0.3 ¡Á 0.23 Radiation MoK¦Á (¦Ë = 0.71073) 2¦¨ range for data collection/¡ã  5.74 to 50.7 Index ranges (29 ¡Ü h ¡Ü 31, (14 ¡Ü k ¡Ü 18, (38 ¡Ü l ¡Ü 34  Reflections collected 76271 Independent reflections 11489 [R int  = 0.0710, R sigma  = 0.0393]  Data/restraints/parameters 11489/6/775 Goodness(of(fit on F2 1.028 Final R indexes [I>=2¦Ò (I)] R 1 = 0.0956, wR 2 = 0.2591 Final R indexes [all data] R 1 = 0.1354, wR 2 = 0.3132 Largest diff. peak/hole / e ?(3  1.23/(0.77 CCDC number                  1506717                Figure S33 . Thermal ellipsoids (50% probability) plot of La 2A2 3.",CCDC
"Empirical formula C 62 H59 Cl 6N15  Formula weight 1226.94 Temperature/K 169.8 Crystal system monoclinic Space group P2 1/c a/? 15.5704(8) b/? 25.7255(10) c/? 16.0579(9) ¦Á/¡ã 90 ¦Â/¡ã 110.885(6) ¦Ã/¡ã 90 Volume/? 3 6009.5(6) Z 4 ¦Ñcalc g/cm 3 1.356 ¦Ì/mm (1 0.340 F(000) 2552.0 Crystal size/mm 3 0.48 ¡Á 0.43 ¡Á 0.38 Radiation MoK¦Á (¦Ë = 0.71073) 2¦¨ range for data collection/¡ã 5.688 to 50.688 Index ranges (15 ¡Ü h ¡Ü 18, (30 ¡Ü k ¡Ü 29, (19 ¡Ü l ¡Ü 13  Reflections collected 24664 Independent reflections 10975 [R int  = 0.0436, R sigma  = 0.0579]  Data/restraints/parameters 10975/2/760 Goodness(of(fit on F 2 1.022 Final R indexes [I>=2¦Ò (I)] R 1 = 0.0620, wR 2 = 0.1453 Final R indexes [all data] R 1 = 0.1061, wR 2 = 0.1762 Largest diff. peak/hole / e ? (3 0.46/(0.44 CCDC number                       1506258   S21   Figure S34 . Thermal ellipsoids (50% probability) plot of Lc2A2 3.",CCDC
"Cage La 4A14. Method 1 . Chloroform (40 mL) was added to La (200 mg, 0.512 mmol) in a glass vial at room temper ature. A solution of TREN  (A1) (78.6 mg, 0.537 mmol) in chloroform (5 mL) was added. The transparent reaction solution was sealed and heated at 40 oC without stirring for 12 h to 48 h. The reaction progress was monitored by 1H NMR spectroscopy.",comprehensive synthesis
"After the a ldehyde -to-imine conversion was completed, the reaction solution was washed with saturated aqueous K 2CO 3 twice. The chloroform layer was separated and dried over anhydrous Na 2SO 4. Cage product was obtained as a light yellow shining powder after removing th e solvent under vacuum (227 mg, 92%).  Method 2 . A solution of TREN  (A1) (78.6 mmol, 0.537 mmol) in dichloromethane (5 mL) was added into a glass vial containing La (200 mg, 0.512 mmol) dissolved in  dichloromethane (40 mL).",comprehensive synthesis
"The transparent reaction solution  was sealed and kept at room temperature for 3 -5 days without stirring. The product La4A14 gradually crystallized from solution after 2 days. The crystals were connected by filtration, washed with methanol. After drying in atmosphere, the cage product containing solvent was obtained as white shining powder.",comprehensive synthesis
"Desolvation was accomplished under vacuum, yield ing the cage product as a light yellow shining powder (116 mg, 47%). 1H NMR (500 MHz, CDCl 3, ppm): ¦ÄH = 7.84 (s, 12H), 7.42 (s, 12H), 7.23 (d, J = 8.1 Hz, 24H), 7.15 (d, J = 8.1 Hz, 24H), 3.85 (d, J = 11.1 Hz, 12H), 3.46 (t, J = 11.6 Hz, 12H), 3.14 (t, J =  12.1 Hz, 12H), 2.45 -2.48 (dd, J 1 = 12.9 Hz, J 2 = 3.1 Hz, 12H).",comprehensive synthesis
"Cage L b4A14. Method 1 . Chloroform (40 mL) was added to Lb (250 mg, 0.527 mmol) in a glass vial at room temperature. A solution of TREN  (A1) (80.9 mg, 0.553 mmol) in chloroform (5 mL) was added. The transparent reaction solution was sealed and heated at 40 oC without stirring for 12 h to 48 h. The reaction progress was monitored by 1H NMR spectroscopy.",comprehensive synthesis
