content,category
"IntroductionControlled host-guest recognition isofcrucial importancetobiological processes andartificial supramolecular systemsalike .[1,2]Cage-like compounds have been developed toexploit such host每guest interactions toachieve pollutantremediation,[3]gasstorage ,[4]anion binding ,[5]biomimeticguest recognition,[6]molecular separations ,[7]andnanoparticletemplation.[8,9]Advantages oforganic cage hosts include theirimproved solubility over framework materials ,making themexcellent candidates forboth liquid- orsolid-phase applica-tions.[10每14]Furthermore ,cages offer synthetic handles thatcanbeused tofinely tune their cavity shape and electronicproperties ,andhence potential interactions with guestmolecules .[7,15每19]However, thesynthesis ofmolecular cagesisoften challenging ,particularly where multiple bonds mustbeformed selectively .Toavoid thisproblem, many molecularcage syntheses take advantage ofdynamic covalent chemistry ,inwhich reversible reactions provide anerror correctionmechanism toensure thethermodynamic cage product isobtained.[20每22]Inthecase ofimine-based cages ,multipleamines andaldehydes must react toyield asingle cage speciesinstead ofoligomeric mixtures ofimines .[23每26]Ideally ,high-fidelity self-sorting biases theformation ofthecage productover themany other possible products ,enabling selectiveisolation ofthetarget molecule .[27每29]Alimitation ofself-sorting strategies isthat they oftenresult intheformation ofhighly symmetrical products .[22,30,31]Reducing thesymmetry ofthehost may induce anisotropy inthesolid state,improve thebinding oflow-symmetry guests ,orenable more controlled and directional post-syntheticmodification.[32每35]Forexample ,fine-tuning ofthecavity ofanorganic cage hasbeen shown toafford precise control overtheselectivity oftheresultant solid-state material.[7]Stepwisesyntheses exploiting orthogonal reactivities canafford low-symmetry organic cages ,[6,36,37]butthislimits thescalability oftheresulting materials .Alternatively ,low-symmetry architec-tures may beobtained bypurification ofcomplex mixtures ,butthisisalaborious process andmay beunachievable onapreparative scale due toreconfiguration ofthedesiredproducts .[38每41]Arecent study showed that low-symmetrycages can beformed using alower -symmetry aldehydeprecursor ,butthepresence ofmultiple structural isomersprecluded theunambiguous characterisation ofthecageproducts .[42]Wesought toavoid these problems bydesigning[*]Dr.V.Abet,[+]Dr.M.A.Little, Dr.C.D.Jones, Dr.C.Wilson,Dr.X.Wu,M.F.Thorne, Dr.M.J.Bennison, P.Cui,Prof. A.I.Cooper,Dr.A.G.SlaterDepartm entofChemistry andMaterials Innovation FactoryUniversi tyofLiverpoolCrown Street, Liverpool L697ZD (UK)E-Mai l:anna.slater@ liverpool.ac. ukDr.F.T.Szczypin ∩ski,[+]Dr.V.Santolini, Dr.K.E.JelfsDepartm entofChemistry ,Imperial College London, Molecu larScience sResearch HubWhite City Campus, London W12 0BZ (UK)Dr.R.EvansAston Institute ofMaterials Research, School ofEngineeri ngandApplied Science, Aston Universi tyBirmingha mB47ET(UK)[++]These authors contributed equally tothiswork.",affiliation
"[3L1][a] [3B1 -RS] [3B2]  Crystallisation Solvent  CH 2Cl2/MeOH  CH 2Cl2/Hexane  CHCl 3/MeOH  Space Group  R3?c P6/m R32 Wavelength [?]  Cu-K汐 0.6889  Mo-K汐 Collection Temperature  150 K  100 K  100 K  Formula  C84H90N12, 3(CH 2Cl2), 3(CH 4O) C102H102N12, 4(CH 2Cl2) C120H114N12, 7(CHCl 3), 18.5(H 2O) Mr 1628.32  1973.42  2894.10  Crystal Size (mm)  0.45 x 0.28 x 0.20  0.19 x 0.09 x 0.08  0.30 x 0.24 x 0 .23 Crystal System  Trigonal  Hexagonal  Trigonal  a [?] 24.993(3)  18.0664(2)  19.6841(11)  c [?] 24.550(3)  19.5395(3)  32.579(2)  V [?3] 13280(4)  5523.15(15)  10932.0(14)  Z 6 2 3 Dcalcd [g cm-3] 1.222  1.187  1.319  米 [mm-1] 2.244  0.346  0.456  F(000)  5178  2060  4530  2牟 range [～]  12.93 每 107.31  2.52 每 51.00  2.69 每 52.73  Reflections collected  19431  38182  41105  Independent reflections, Rint 1752, 0.0912  3860, 0.0582  4981, 0.0568  Obs. Data [ I > 2考] 1150  2115  4500  Data /  restraints /  parameters  1752 / 0 / 145  3860 / 73 / 214  4981 / 87 / 331  Final R1 values ( I > 2考(I)) 0.0626  0.0836  0.0779  Final R1 values (all data)  0.1058  0.1121  0.0847  Final wR( F2) values (all data)  0.1605  0.2412  0.2251  Goodness -of-fit on F2 1.062  1.498  1.048  Largest difference peak and hole  [e.A-3] 0.204 / -0.223  0.497 / -0.293  0.620 / -0.630  Flack parameter    0.06(2)  CCDC  2001201  2001206  2001204  [a] Due to disorder, solvent molecules in the large interconnected 1 -D pores could not be modelled.",CCDC
"Therefore, a solvent mask, calculated using t he SQUEEZE routine in Platon, was used during the fina l refinement cycles. To account for the solvent mask, 3(CH 2Cl2) and 3(CH 4O) solvent molecules, per formula unit, were added to the atom count. [b] Due to disorder, solvent molecules in the large interco nnected 1 -D pores could not be modelled. Therefore, a solvent mask, calculated using the SQUEEZE routine in Platon, was used during the final refinement cycles. To account for the solvent mask, 3.5 CHCl 3 solvent molecules were added to the unit cell atom c ount. All aromatic rings were also refined with constr ained geometries (AFIX 66 in SHEXL).   Table S 8 SC-XRD refinement notes for [L1+2B1] -Hexane, [L1+2B1] -Acetone, and [L1+2B1] -1,4-Dioxane   [L1+2B1] -Hexane[a] [L1+2B1] -Acetone[a] [L1+2B1] -1,4-Dioxane  Crys tallisation Solvent  CH 2Cl2/hexane  CH 2Cl2/acetone  CH 2Cl2/1,4-dioxane  Space Group  P1? P1? P1? Wavelength [?]  Mo-K汐 Mo-K汐 Mo-K汐 Collection Temperature  100 K  100 K  100 K  Formula  2(C 96H98N12), 10(CH 2Cl2), H 2O, 1.75(C 6H14) C96H98N12, 4.5(C 3H6O), 0.5(H 2O), 2.5(CH 2Cl2) C96H98N12, 8.25(C 4H8O2), 2(H 2O) Mr 3857.79  1905.05  2181.74  Crystal Size (mm)  0.10 x 0.10 x 0.08  0.20 x 0.04 x 0.04  0.19 x 0.09 x 0.09  Crystal System  Triclinic  Triclinic  Triclinic  a [?] 20.698(3)  15.423(3)  16.038(4)  b [?] 20.865(3)  17.147( 3) 18.077(5)  c [?] 28.627(4)  22.886(4)  23.415(6)  汐 [～] 104.802(4)  87.085(4)  87.286(7)  汕 [～] 102.225(4)  74.544(4)  72.600(6)  污 [～] 107.903(4)  70.574(4)  68.939(7)  V [?3] 10793(2)  5496.8(17)  6031(3)  Z 2 2 2 Dcalcd [g cm-3] 1.187  1.151  1.201  米 [mm-1] 0.309  0.188  0.080  F(000)  4067  2029  2346  2牟 range [～ ] 2.18 每 41.63  1.85 每 46.51  3.65 每 41.20  Reflections collected  91925  58264  30500  Independent reflections, Rint 22514, 0.1059  15764, 0.0874  12097, 0.0701  Obs. Data [ I > 2考] 13542  7521  7674  Data /  restraints /  parameters  22514 / 1973 / 2309  15764 / 1036 / 934  12097 / 1249 / 1483  Final R1 values ( I > 2考(I)) 0.1570  0.0841  0.1197  Final R1 values (all data)  0.2034  0.1534  0.1721  Final wR( F2) values (all data)  0.3728  0.2309  0.2679  Goodness -of-fit on F2 1.906  1.051  2.034  Largest difference peak and hole [e. A-3] 0.924 / -0.733  0.621 / -0.480  0.695 / -0.597  CCDC  2001208  2001205  2001203  [a] Due to severe disorder, solvent masks were used during the final refinement cycles and the structures were refined with a group rigid -bond restraints (RIGU in SHELX).",CCDC
"[L1+2B1S]  Crystallisation Solvent  CH2Cl2/Hexane  Space Group  I2/a Wavelength [?]  Mo-K汐 Collection Temperature  100 K  Formula  C92H94N12S2, 1.7(CH 2Cl2), C 6H14 Mr 1662.45  Crystal Size (mm)  0.40 x 0.31 x 0.28  Crystal System  Monoclinic  a [?] 25.492(3)  b [?] 11.3053(12)  c [?] 32.839(5)  汕 [～] 103.978(3)  V [?3] 9184(2)  Z 4 Dcalcd [g cm-3] 1.202  米 [mm-1] 0.210  F(000)  3534  2牟 range [～]  3.65 每 54.97  Reflections collected  55213  Independent reflections, Rint 10533, 0.0600  Obs. Data [ I > 2考] 7829  Data /  restraints /  parameters  10533 / 10 / 555  Final R1 values ( I > 2考(I)) 0.0521  Final R1 values (all data)  0.0749  Final wR( F2) values (all data)  0.1542  Goodness -of-fit on F2 1.034  Largest difference peak and hole [e.A-3] 0.464 / -0.437  CCDC   2001202   Figure S 46 Displacement ellipsoid plots from the single crystal structures; [3L1] , [3B1 -RS]-C3h, [3B2] , [L1+2B1] -Hexane , [L1+2B1] -Acetone , [L1+2B1] -1,4-Dioxane , and  [L1+2B1S] ; ellipsoid are displayed at 50% probability level and all H atoms are omitted for clarity. Whole cage  molecules  are shown for the structures; [3L1] , [3B1 -RS]-C3h, [3B2] , and in [L1+2B1] -Hexane there are two cage molecules in the asymmetric unit. Ellipsoid plots are not shown on the same scale. C = grey, H = white, N = blue, S = yellow.",CCDC
"S3. Synthetic procedures and characterisation  S3.1 Preparation of aldehyde precursors  Preparation of 5-(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolan -2-yl)isophthalaldehyde   To a solution of 5 -bromoisophthalaldehyde (15.0 g, 70.4 mmol, 1.0 eq.), bis(pinacolato)diboron (19.7  g, 77.4 mmol, 1.1 eq.) and KOAc (20.7  g, 211.2 mmol, 3.0 eq .) in anhydrous 1,4 -dioxane (100 mL), Pd(dppf)Cl 2 (1.54  g, 2.11 mmol, 0.03 eq.) was added. The reaction was heated to 90  ～C and stirred for 16h. The solid precipitate was filtered off and washed with Et 2O. The filtrate was washed with wat er (100 mL) and br ine (100 mL), dried over MgSO 4 and evaporated to dryness. The residue was dissolved in DCM and purified by flash chromatography on silica gel, eluting with a 0 to 50% EtOAc in DCM gradient. Likely fractions were evaporated in vacuo , affor ding the boronic e ster as an oil that solidifies on standing (15.9  g, 61.2 mmol, 87%). 1H NMR (500 MHZ, CDCl 3): 10.11 (s, 2H), 8.54 (d, 2H, J = 1.7 Hz), 8.44 (t, 1H, J = 1.7 Hz), 1.36 (s, 12H). HRMS -CI: calcd. for C 14H18BO 4 [M+1]+ 260.1329, found 260.1319 .",comprehensive synthesis
"The spectra agree  with literature protocols.[32]  Preparation of L1  To a solution of 5 -bromoisophthalalde hyde (300.0 mg, 1. 4 mmol, 1.0 eq.) and 5 -(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolan -2-yl)isophthalaldehyde (403.3 mg, 1.5 mmol, 1.1 eq.) in anhydrous 1,4 -dioxane (10 mL) 1M K 2CO 3 aqueous solution (1.7 mL, 1.2 eq.) was added. The flask was back filled with nit rogen, then Pd(PPh 3)4 (81.1 mg, 0.07 mmol, 0.05 eq.) was added. The reaction was heated to 90  ～C and stirred overnight. The off -white solid that crashed out was collected by filtration, washed with EtOAc and used without any further purification (253 mg, 0 .95 mmol, 68%). 1H NMR (500 MHz, DMSO -d6): 10.23 (s, 4H), 8.37 (d, 4H, J = 1.4 Hz), 8.48 (t, 2H, J = 1.4 Hz). 13C NMR (125 MHz, DMSO -d6): 192.7, 139.7, 137.8, 133.4, 129.3. FT -IR (?, cm-1): 1699, 1652, 1558, 1457, 668. MALDI -TOF: calcd. for C 16H10O4 [M] 266.058, found 266.0 63.",comprehensive synthesis
"Preparation of L4   To a solution of 4,4'-dibromo -1,1'-biphenyl (1 g, 3.2 mmol, 1.0 eq.) and 5 -(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolan -2-yl)isophthala ldehyde ( 2.1 g, 8.0 mmol, 2.5 eq.) in anhydrous 1,4 -dioxane ( 200 mL), 2M K2CO 3 aqueous solution ( 12 mL , 1.2 eq.) was added. The flask was back filled with nitrogen, then Pd(PPh 3)4 (185 mg, 0.16  mmol, 0.05 eq.) was added. The reaction was heated to 90  ～C an d stirred overnight. The off -white solid that crashed out was collected by filtration, washed with EtOAc and used without any further purification ( 561 mg, 1.34 mmol, 42 %). 1H NM R (400 MHz, DMSO -d6): 10.23 (s, 4H), 8.61 (d, 4H, J = 1.4 Hz), 8.41(t, 4H, J = 1.4 Hz), 8. 02 每 7.97 (m, 4H).  13C NMR (125 MHz, DMSO -d6): 193.21, 141.71, 139.85, 137.99, 137.51, 133.36, 128.49, 128.08, 127.97. FT-IR (?, cm-1): 1692, 1596, 1505, 1459, 1392, 1378, 1318, 1248, 1202, 1140, 1005, 971, 885, 846, 809. 752, 736, 683, 648, 579, 544, 516, 475, 444.  MALDI -TOF: calcd. for C 16H10O4 [M] 418.121, found 417.907      Figure S 4 1H (DMSO -d6, upper) and 13C (DMSO -d6, lower) NMR of L4.",comprehensive synthesis
"Preparation of B1   Following the general procedure, using 1,3 -dibromobenzene (100.0 mg, 0.42 mmol), 5-(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolan -2-yl)isophthalaldehyde (264.5 mg, 1.01 mmol), 1M K 2CO 3 aqueous solution (1 mL) in 1,4-dioxane  (5 mL), an off -white solid crashed out. This was collected by filtration, washed with EtOAc and used without any further  purification (119 mg, 0.35 mmol, 83%).  1H NMR (500 MHZ, DMSO -d6): 10.22 (s, 4H), 8.65 (d, 4H, J = 1.4 Hz), 8.43 (t, 2H, J = 1.4 Hz), 8.27 (t, 1H, J = 1.7 Hz), 7.94 (dd, 2H, J = 1.7 and 7.7 Hz), 7.73 (t, 1H, J = 7.7 Hz). 13C NMR (125 MHz, DMSO -d6): 192.8, 141.7, 139.0, 137.6, 133.5, 130.3, 128.3, 127.4, 125.9. FT -IR (?, cm-1): 1751, 1361, 1315, 1209, 65 3. MALDI -TOF: calcd. for C 22H14O4 [M] 342.099, found 342.088.",comprehensive synthesis
"Preparation of B 2  To a solution of 3,3' -dibromo -1,1'-biphenyl2 (500.0 mg, 1.6 mmol, 1.0 eq.) and 5 -(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolan -2-yl)isophthalaldehyde (1.04 g, 4.0 mmol, 2.5 eq.) in anhydrous 1,4 -dioxane (10 mL) 1M K 2CO 3 aqueous solution (4 mL, 2.5 eq.) was added. The flask was back filled with nitrogen, then Pd(PPh 3)4 (92.4 mg, 0. 08 mmol, 0.05 eq.) was added. The reaction was heated to 90  ～C and stirred overnight. The off -white solid that crashed out was collected by filtration, washed with EtOAc and used without any further purification (400 mg, 0.96 mmol , 60%). 1H NMR (500 MHz, D MSO -d6): 10.21 (s, 4H), 8.64 (d, 4H, J = 1.4 Hz), 8.40 (t, 2H, J = 1.4 Hz), 8.20 (t, 2H, J = 1.7 Hz), 7.89 (m, 4H), 7.69 (t, 2H, J = 1.7 Hz). 13C NMR (125 MHz, DMSO -d6): 192.9, 142.0, 141.1, 138.8, 137.6, 133.7, 130.1, 127.9, 127. 6, 126.6, 125.9. FT -IR (?, cm-1): 1703, 1692, 1597, 1399, 1139, 1007, 873, 700. MALDI -TOF: calcd. for C28H18O4 [M] 418.45, found 418.61.",comprehensive synthesis
"S3.2 Preparation of heteroatom -containing aldehyde precu rsors   To a solution of the dibromo(hetero)aryl (1.0 eq.) and 5 -(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolan -2-yl)-isophthalaldehyde (2.4 eq.) in anhydrous DME ( 12.5 mL) 1M K 2CO 3 aqueous solu tion (2.5 eq.) was added. The flask was back filled with nitrogen and deoxygenated, then Pd(PPh 3)4 (0.05 eq.) was added.",comprehensive synthesis
