content,category
"16每24The most extensively used syntheticroute for the preparation of COFs is still solvothermal reac-tions, in which a variety of experimental parameters such assolvent combinations and ratios, the concentration of cata-?Electronic supplementary information (ESI) available: Detailed synthetic pro-cedure for four POCs and four COFs, NMR and FT-IR spectra, TGA diagrams,optical microscopy images, additional gas adsorption data, PXRD patterns,structural simulations and characterization data of the related compounds(PDF). CCDC 1573819 每1573821. For ESI and crystallographic data in CIF or otherelectronic format see DOI: 10.1039/c9gc04033aaState Key Laboratory of Coordination Chemistry, Nanjing National Laboratory ofMicrostructures, School of Chemistry and Chemical Engineering, Nanjing University,Nanjing, Jiangsu Province, 210093, P. R. China. E-mail: whuang@nju.edu.cnbKey Laboratory for Advanced Technology in Environmental Protection of JiangsuProvince, Yancheng Institute of Technology, Yancheng 224051, P. R. ChinacKey Laboratory of Synthetic and Self-Assembly Chemistry for Organic FunctionalMolecules, Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences,345 Lingling Road, Shanghai 200032, P. R. ChinadBruker Scientific Technology Co. Ltd, 66 Xixiaokou Road, Beijing 100081,P. R. ChinaeShanghai Synchrotron Radiation Facility, Shanghai Institute of Applied Physics,Chinese Academy of Sciences, 239 Zhangheng Road, Pudong New Area, 201204,P. R. ChinafShenzhen Research Institute of Nanjing University, Shenzhen, Guangdong Province,518057, P. R. China2498 |Green Chem. ,2 0 2 0 , 22,2 4 9 8 每2504 This journal is ? The Royal Society of Chemistry 2020Published on 13 March 2020. Downloaded by Zhejiang University on 6/9/2023 1:21:26 PM.",affiliation
"Compound NC1- S NC2-R NC4- REmpirical formula C84 H90 N12 O6 C62 H80 N8 O8C124 H144 N16 O8Formula weight 1364.69 1065.34 1986.54Temperature / K 100 100 123Wavelength / ? 0.7107 0.7107 0.7107CCDC 1573819 1573820 1573821Crystal Size (mm) 0.12? 0.12℅0.10 0.10℅0.10℅0.12 0.10℅0.12℅0.12Crystal system Tetragonal Tetragonal MonoclinicSpace group P43212 P43212 I2a / ? 24.951(3) 15.7706(4) 18.197(2)b / ? 24.951(3) 15.7706(4) 18.1795(16)c / ? 34.647(5) 23.9901(14) 23.1831(19)汐 / ～ 90 90 90汕 / ～ 90 90 100.957(6)污 / ～ 90 90 90V / ?321570(6) 5966.6(4) 7529.4(12)Z / Dcalcd (g / cm3) 8 / 0.840 4 / 1.186 2 / 0.876F (000) 5808.0 2288 2128米 / mm每10.054 0.079 0.056hmin / hmax -29 / 29 -20 / 20 -16 / 23kmin / kmax -29 / 29 -20 / 20 -23 / 23lmin / lmax -41 / 41 -24 / 31 -30 / 30Data (Uniq.) / parameters 18993 / 923 6862 / 356 17036 / 675R1 = 0.1126 R1 = 0.0474 R1 = 0.0656Final R indices  [I > 2車(I)] wR 2 = 0.2724 wR 2 = 0.1117 wR 2 = 0.1575R1 = 0.1283 R1 = 0.0579 R1 = 0.1025R indices (all data)wR 2 = 0.2831 wR 2 = 0.1167 wR 2 = 0.1698S 1.08 1.05 1.01Max. / min. ??/e﹞?每30.39/-0.37 0.27/-0.20 0.29/-0.31R1 = ???Fo???Fc?????Fo?, wR 2 = [?[w(Fo2?Fc2)2]??w(Fo2)2]1/2SUPPORTING INFORMATION6Section S-2: Synthetic ProceduresSynthesis of tetraaldehyde  1. The starting  material 3,3',5,5'-tetraformyl-4,4'-biphenyldiol  (1) was prepared according to a literature method.[4]Synthesis of tetraaldehyde 2. 4,4'-Methylenediphenol (3.00 g, 14.98  mmol) and 10~15 equiv of hexamethylenetetramine  (HMT)  were mixed in a 250 mL round-bottomd flask, then trifluoroacetic acid (60~80 mL) was added. The mixture was heated at 100 ～C under Ar atmosphere for 24 h via an oil bath.  After being colded to room temperuture,  4 M HCl (~100  mL) was poured  into the resultant red viscous  solution  and refluxed  at 100 ～C for 3 h. The mixture was then cooled to room temperuture,  and the precipitated yellow product  was filtered,  dried under a vacuum and recrystalized  from DMSO  (< 20 mL) to give orange  microcrystals 2 in a yield of 1.50 g (32 %). 1H NMR (400 MHz, DMSO-d 6, TMS, ppm) 汛 10.22  (s, CHO, 4H), 7.96 (s, ArH, 4H), 4.09 (s, CH 2, 2H); 13C NMR  (101 MHz, DMSO-d 6, TMS, ppm) 汛:192.56, 161.38, 137.42,  133.06, 124.18, 38.22. FT-IR  (KBr pellet, cm-1) 糸 2873  (m), 1688 (vs), 1655 (vs), 1619 (w), 1596 (s), 1450  (s), 1404  (w), 1343 (w), 1320  (w), 1297 (w), 1261 (m), 1223  (s), 1158 (w), 1002 (s), 923 (s), 812 (w), 770 (m), 750 (m),  628 (m), 497(m).",comprehensive synthesis
"OH HO+hexamethylenetetramineNNNNTFA100⊥10~15 equivOH HOOO OOBisphenol F 2Synthesis of tetraaldehyde 3. 2,2-Bis(4-hydroxyphenyl)propane (3.40 g, 14.89 mmol) and 10~15 equiv of hexamethylenetetramine (HMT) were dissolved in trifluoroacetic  acid (60~80  ml). The mixture  was heated at 100 ～C under Ar atmosphere  for 24 h via an oil bath. After being colded to room temperuture, 4 M HCl (~100 mL) was poured  into the resultant red viscous solution and refluxed at 100 ～C for 3 h. After being cooled  to room temperature, the mixture was filtered and the filtrate was extracted with500 mL dichoromethane,  dried  over magnesium sulfate, and filtered  again. The crude yellow powder or oil was afforded by rotary  evaporation of the filtrate, and purified  by recrystalization from EtOH/H 2O to give pale yellow powder 3 (1.80 g, 35 %). 1H NMR (400 MHz, CDCl 3, TMS, ppm) 汛 11.56 (s, OH, 2H), 10.22 (s, CHO, 4H), 7.83 (s, ArH, 4H), 1.78 (s, CH 3, 6H); 13C NMR (101 MHz, CDCl 3, TMS, ppm) 汛 192.03, 162.11,  141.23, 135.51,  122.98, 41.99, 30.50. FT-IR  (KBr pellet, cm-1) 糸 3268 (w), 2980 (m), 2894  (m), 1687 (vs), 1662  (vs), 1601 (s), 1524  (w), 1457 (s), 1426 (w), 1396 (m), 1301 (m), 1267 (m), 1200  (s), 1120  (w), 1011  (w), 977 (s), 902 (w), 810 (w), 768 (m), 732 (m), 654 (w), 615(m), 517 (w).",comprehensive synthesis
"OH HO+hexamethylenetetramineNNNNTFA100⊥10~15 equivOH HOOO OOBisphenol A 3Synthesis of Tp. The starting material 1,3,5-triformylphloroglucinol wasprepared according to a literature method.[5]SUPPORTING INFORMATION7Synthesis of NC1-S. Tetraaldehyde  1 (150 mg, 0.50 mmol) and 2~6 equiv KOH  (or CsOH)  were dissolved in a mixture of water/ethanol (20~100/100  mL, v/v) and refluxed for 1 h. A 50 mL ethanol solution of (1S,2S)-cyclohexanediamine (126 mg, 2.2 equiv relative  to tetraaldehyde 1) was added into the mixture and refluxed  for additional 24 h. The resulting clear solution was filtered and the filtrate was allowed to slow evaporation to afford red crystals of NC1-S  within  24 hours (~98 mg, 43 %). 1H NMR  (400 MHz, CDCl 3, TMS, ppm) 汛14.09  (s, OH, 6H), 8.53 (s, 6H), 8.49 (s, 6H), 8.20 (s, 6H), 7.69 (s, 6H), 3.40 (s, CHN, 6H) 3.09 (s, CHN, 6H), 1.81~0.97  (m, CH 2, 48H);  13C NMR (101 MHz, CDCl 3, TMS, ppm) 汛 165.25,  161.87, 157.99, 129.18,  126.51, 124.91, 123.86, 118.51, 74.65, 72.56, 32.49, 31.69,  29.69,  24.17,  24.06; FT-IR (KBr pellet, cm-1) 糸 3445  (m), 2933 (m), 2863 (m), 1643(vs),  1597(s), 1531(w),  1449 (vs), 1380  (m), 1344 (w), 1288 (m), 1255 (m), 1147 (m), 1094  (m), 1012  (m), 980 (w), 939 (w), 870 (m), 844 (w), 764 (w), 678 (m), 628 (w), 591 (w), 535 (w), 481 (w), 459 (w); Positive ESI-MS  in CH 3OH, m/z = 1364.17 ([M+H]+), Calad. for C84H91N12O6: 1363.71; 1386.17 ([M+Na]+), Calad. for C84H90N12O6Na: 1385.70.  Anal.Calcld. For C84H90N12O6: C, 73.98; H, 6.65,;  N, 12.33; found : C:74.11; H, 6.64;  N, 12.61.",comprehensive synthesis
"Scalable synthesis:  The scalable  synthetic  protocol for NC1- S is as followed: Tetraaldehyde 1 (1 g, 3.35 mmol)  and 2 equiv  KOH were  dissolved in a mixture of water/ethanol (100/250 mL, v/v) and refluxed  for 0.5 h. A 300 mL ethanol solution of (1S,2S )-cyclohexanediamine (840 mg,  2.2 equiv  relative to tetraaldehyde 1) was added into the mixture and refluxed for additional 12 h. The resulting  clear solution  was filtered and the filtrate  was allowed to slow evaporation  to afford red crystals of NC1-S within 24 hours.",comprehensive synthesis
"Syntheses of NC2- R and NC3-R. Tetraaldehyde 2 (150 mg, 0.48 mmol) and 2~6 equiv  KOH (or NaOH, CsOH) were dissolved  in a mixture of water and ethanol (50~100/80~120 mL, v/v) and refluxed for 1 h. A 20~50 mL ethanol solution of (1R,2R)-cyclohexanediamine (137 mg, 2.5 equiv  relative to tetraaldehyde 2) was added into the mixture,  and refluxed for additional 24 h. The resulting  clear solution  was filtered and the filtrate was allowed to slow evaporation at higher ambient  temperature (above  approximate 30 oC) to afford cage crystals of NC2-R (>80 mg, 35%),  whereas lower environmental temperature favors  to crystallize NC3- R (> 100 mg, 44%). It is found that crystals of NC2-R and NC3-R have different growing habit  and they are easy to be distinghished. Namely,  the former  has polyhedral morphology and the latter is needle-like.",comprehensive synthesis
"Scalable synthesis:  The scalable synthetic protocol for NC2-R and NC2-R is as followed: Tetraaldehyde 2 (1 g, 3.20 mmol)  and 2 equiv KOH were dissolved in a mixture of water  and ethanol (100/200 mL, v/v) and refluxed for 1 h. A 100 mL ethanol solution of (1R,2R )-cyclohexanediamine (802 mg, 2.2 equiv  relative to tetraaldehyde 2) was added into the mixture, and refluxed for additional 12 h. The resulting clear solution  was filtered and the filtrate was allowed to slow evaporation to afford cage  crystals  of NC2- R or NC3-R .",comprehensive synthesis
"Synthesis of NC4-R. Tetraaldehyde 3 (100 mg, 0.29 mmol) and 2~6 equiv KOH or NaOH,  CsOH were  dissolved in a mixture of water and ethanol (50~100/80~120  mL, v/v) and refluxed for 1 h. A 20~50 mL ethanol  solution of (1R,2R)-cyclohexanediamine (84 mg, 2.5 equiv relative to tetraaldehyde  3) was added into the mixture and refluxed for additional 24 h.",comprehensive synthesis
"Theresulting clear solution was filtered  and the filtrate was allowed to slow evaporation for weeks to afford yellow crystals of NC4- R in a yield of 43 mg (30 %). 1H NMR (400 MHz, CDCl 3, TMS, ppm) 汛 14.31 (s, 8H), 8.70 (s, 4H), 8.60 (s, 4H), 8.32 (s, 4H), 8.13 (s, 4H), 7.97 (s, 4H), 7.51 (s, 8H), 6.99 (s, 4H), 3.38 (m, 12H), 3.24 (m, 4H), 2.03~1.26  (m, 88H); 13C NMR (101 MHz, CDCl 3, TMS, ppm) 汛 164.99, 164.87,  159.47,  159.07, 155.77, 155.02, 139.13, 138.40,  133.72, 130.53, 127.60, 126.62, 124.14, 122.62, 118.63, 118.50, 76.36, 75.23,  73.62, 42.11,  40.19, 33.78, 32.89, 32.45, 29.17,  24.75,  24.49,  24.30, 24.16. FT-IR (KBr pellet, cm-1) 糸3413 (w), 2935 (m), 2864 (m), 1634 (s), 1530  (w), 1457 (s), 1373 (w), 1306 (w), 1262 (w), 1196 (w), 1140 (w), 1091  (w), 1047 (w); Positive  ESI-MS  in CH 3OH, m/z = 1987.75  ([M+H]+), Calad. for C124H145N16O8: 1987.15; m/z = 994.08 ([M/2+H]+), Calad.  for C124H144N16O8: 994.31.  Anal.  SUPPORTING INFORMATION9Calcld. C124H144N16O8: C, 74.97; H, 7.31; N, 11.28; found:  C, 75.22; H, 7.01; N, 10.95.",comprehensive synthesis
"Scalable synthesis: The scalable  synthetic  protocol for NC4- R is as followed: Tetraaldehyde 3 (1 g, 2.94 mmol)  and 2 equiv KOH were  dissolved in a mixture of water  and ethanol (100/200 mL, v/v) and refluxed for 1 h. A 100 mL ethanol  solution  of (1R,2R)-cyclohexanediamine (737 mg, 2.2 equiv relative to tetraaldehyde 3) was added into the mixture, and refluxed  for additional 12 h. The resulting clear solution was filtered and the filtrate  was allowed  to slow evaporation to afford cage crystals of NC4-R.",comprehensive synthesis
