content,category
"1每6Although a few examples ofboronic ester cages, or those based on disulphide formation orother DCC reactions are known,7每18,19 每21,22 每26no doubt, thevast majority of shape-persistent organic cages is relying onthe use of multiple imine condensation reactions,1which bearthe advantage to be transformed further to convert these tochemically robust cages,27每31which is for the other type ofDCC reactions di ?cult or even impossible.32Among thoseimine cages, shapes, such as trigonal prisms,33每35tetrahedra,36每39truncated tetrahedra,40,41cubes,42每46tetra-pods,47adamantoids48每50and even more complexstructures51每57have been realized as well as tubular structures,based on linear tetraaldehydes.58每61,62Here we introduce [3 + 6] imine cages based on the conden-sation of triptycene tetraaldehydes with 1,2-cyclohexyl-diamines. Due to the inherent 120～ angle of the triptyceneblades, the resulting imine cage contains concave 羽-wallsgiving the overall structure the shape comparable to those ofcucurbiturils,63每67thus we call the compounds cucurbitimines(Fig. 1).Results and discussionA key-step in the achievement of cucurbitimines is the syn-thesis of a triptycene-based tetraaldehyde precursor, having ontwo aromatic blades two aldehyde units each and at the thirdone none. Therefore, we developed a route where electrondensity of one blade was diminished by turning it into a phe-nazine unit and in addition allowed us to install long solubil-izing hexyl-sidechains (Scheme 1). To achieve this first syn-thetic goal, hexamethoxytriptycene 1was partially oxidized tothe quinone 268每70and condensed with phenylene diamine 371to give phenazine 4in 79% yield.72The next step is the intro-duction of the aldehyde groups. Finally, the tetraaldehyde pre-cursor was achieved by a three-step-method, which was basedon the fourfold chloromethylation to 5(60% yield), followedby basic substitution of chlorine by hydroxyl groups to giveFig. 1 Schematic representation of literature-known tubular [3 + 6]imine cages (left)58每61and the cucurbitimines presented herein. Pleasenote that any further functional groups or substituents present in themolecular structures have been omitted for clarity.?Electronic supplementary information (ESI) available. CCDC 2072797 ( 4),2072798 ( 5), and 2072799 (( R,R)-9). For ESI and crystallographic data in CIF orother electronic format see DOI: 10.1039/d1qo00478f?Current address. Institut f邦r Organische Chemie, Julius-Maximilians-Universit?t W邦rzburg, Am Hubland, 97074 W邦rzburg, GermanyOrganisch-Chemisches Institut, Ruprecht-Karls-Universit?t Heidelberg,Im Neuenheimer Feld 270, 69120 Heidelberg, Germany.E-mail: michael.mastalerz@oci.uni-heidelberg.de3668 |Org. Chem. Front. ,2 0 2 1 , 8, 3668 每3674 This journal is ? the Partner Organisations 2021Open Access Article. Published on 17 May 2021. Downloaded on 11/3/2023 3:40:42 AM.",CCDC
"S3  2.   Experimental Procedures  2.1. 2,3,6,7 -Tetramethoxytriptycene -14,15 -dione  (2)  To a solution of 1 (573 mg, 1.32  mmol, 1  eq) in dichloromethane and acetic acid (7.5 mL, 1:1,  v:v), n itric acid (485  米L, 68%) was added dropwise. The reaction mixture was stirred for 5  min and then poured on ice -water (50  mL). The organic layer was separated and the aqueous layer was extracted with dichloromethane (3 x 30  mL) and the organic layers combin ed. The organic layer was washed with sodium bicarbonate solution (30%, 20  mL), dried over anhydrous Na 2SO 4 and the solvent was removed in vacuo . After column chromatography (SiO 2, PE/EA 1:1, Rf = 0.21), 2 was obtained as a dark red solid (486  mg, 1.20  mmo l, 91%).  M.p.:  260 ～C. 1H NMR  (CDCl 3, 300 MHz): 汛 (ppm) = 6.97 (s, 4H, Ar-H-1,4,5,8 ), 6.28 (s, 2H, Ar-H-13,16), 4.97 (s, 2H, bridgehead -H-9,10), 3.90 (s, 12H, Ar-OCH3). 13C NMR (CDCl 3, 75 MHz): 汛 (ppm) = 1 80.3 (Ar-C-14,15), 152.7 (Ar-C-11,12), 14 9.1 (Ar-C-2,3,6,7-OCH 3), 131.2 (Ar-C-4a,5a,8a,9a), 120.4 (Ar-C-13,16), 108.1 (Ar-C-1,4,5,8), 56. 3 (Ar-OCH3), 51.3 (bridgehead -C-9,10).",comprehensive synthesis
"S4  2.2. (7s,12s)-2,3-Dihexyl -9,10,18,19 -tetramethoxy -7,12- dihydro -7,12-[1,2]benz enonaphto[2,3 -b]phenazine ( 4)  A solution of triptycene  2 (997 mg, 2.4 7 mmol, 1 .00 eq) and diamine 3 (1.02  g, 3.70 mmol, 1.5 0 eq.) in CHCl 3 (9 mL) and glacial acetic acid (9 mL) was stirred  for 7 h at 80  ～C. After cooling to room temperature,  DCM (80 mL) was added, the organic phase washed with water (30  mL) and NaHCO 3 (30 %, 30 mL) and dried over MgSO 4.",comprehensive synthesis
"Fluorescence (DCM) : 竹em (竹ex) = 559  nm (406) . MS (HR-MALDI) : m/z c alculated  for [M]+: 645.364 8, found:  645.3697 . Elem. Anal. : calculated for C42H48N2O4 + 12 H2O: C 77.17% , H 7.55% , N 4.29% ; found: C 77.19% , H 7.72% , N 4.06% .  S5  2.3. (7s,12s)-8,11,17,20 -Tetrakis(chloromethyl) -2,3-dihexyl -9,10,18,19 -tetramethoxy -7,12-dihydro -7,12-[1,2]benzenonaphth o[2,3 -b]phenazine ( 5)  Triptycene 4 (200 mg, 0.31  mmol, 1 .00 eq.) was dissolved in chloromethyl  methyl  ether (1.07  mL, 13.6  mmol, 44 .0 eq.) and methanesulfonic acid (0 .90 mL, 13 .6 mmol, 44.0 eq.) and conc. H 2SO 4 (0.08  mL, 1 .55 mmol, 5 .00 eq.) were added dropwise. The dark green solution was stirred for 16  h at 60  ～C. After cooling to room temperature, solvent was removed by reduced pressure and collected into a cooling trap. The residue was take n up in DCM (50  mL), washed with water (20  mL), sat. NaHCO 3 (20 mL) and brine (20  mL) and dried over MgSO 4. After column chromatography (SiO 2, DCM, R f = 0.23) triptycene 5 (157 mg, 0.19  mmol, 60%) was obtained as a yellow solid.",comprehensive synthesis
"2.4. ((7s,12s)-2,3-Dihexyl -9,10,18,19 -tetramethoxy -7,12-dihydro -7,12-[1,2]benzenonaphtho[2,3 -b]phenazine -8,11,17,20 -tetrayl)tetramethanol ( 6)  A reaction tube with magnetic rotating lid was charged with  triptycene 5 (1.61 g, 1.92 mmol, 1.00  eq.) and Cs 2CO 3 (20.0 g, 61.40  mmol, 32.0  eq.). A dioxane/water mixture (38  mL, 1:1, v:v) was added and the reaction mixture was stirred vigorously for 3 d at 140  ～C. After cooling down to room temperature , aqueous HCl (6  M, 30  mL) was added and the solution was extracted  with ethyl acetate (3  x 75 mL). The combined extrac t was  washed with water (20  mL) and dried over MgSO 4. After column chromatography (SiO 2, DCM/MeOH 20:1, R f = 0.11) triptycene 6 was obtained  as a yellow solid ( 1.14 g, 1.49  mmol, 77% ). M.p: 279 ～C. 1H NMR (DMSO -d6, 600  MHz):  汛 (ppm) =  8.10 (s, 2H, Ar-H-6,13), 7.88 (s, 2H, Ar-H-1,4), 6. 54 (s, 2H, bridgehead -H-7,12), 5. 23 (t, 3JH-H = 5.6 Hz, 4H, Ar -CH 2-OH), 4.82 (qd, 3JH-H = 11.2 Hz, 3JH-H = 5.7 Hz, 8H, Ar -CH2-OH), 3. 68 (s, 12H, Ar-OCH3), 2.80 (t, 3JH-H = 7.9 Hz, 4H, Ar?CH2?(CH2)4-CH 3), 1.66 (p, 3JH-H = 7.9 Hz, 4H, Ar-CH 2-CH2-(CH 2)3-CH 3), 1.41 (p, 3JH-H = 7.7 Hz, 4H, Ar-(CH 2)2-CH2-(CH 2)2-CH 3), 1.33 每 1.26 (m, 8H, Ar?(CH 2)3?(CH2)2?CH 3), 0.85 (t, 3JH?H = 7.0 Hz, 6H, Ar?(CH 2)5?CH3). 13C NMR (DMSO -d6, 151 MHz):  汛 (ppm) = 148. 2 (Ar-C-9,10,18,19), 14 6.7 (Ar-C-2,3), 14 4.6 (Ar-C-6a,12a), 142. 0 (Ar-C-5a,13a), 14 1.5 (Ar-C-4a,14a), 1 39.6 (Ar-C-7a,11a,15,16), 13 0.5 (Ar-C-8,11,17,20), 12 6.9 (Ar-C-1,4), 121.9 (Ar-C-6,13), 6 1.3 (Ar-OCH3), 54. 1 (Ar-CH2-OH), 4 5.3 (bridgehead -C-7,12), 32. 1 (Ar-CH2-(CH2)4-CH 3), 31. 1 (Ar-(CH 2)3-CH2-CH 2-CH 3), 29.9 (Ar-CH 2?CH2?(CH 2)3?CH 3), 28.8 (Ar-(CH 2)2-CH2-(CH 2)2-CH 3), 22. 1 (Ar-(CH 2)4-CH2-CH 3), 14. 0 (Ar-(CH 2)5-CH3). IR (ATR, FT): ? (cm-1) = 3322 (w), 2955 (m), 2927 (m), 2854 (m), 1683 (w), 1589 (w), S7  1514 (s), 1441 (s), 1406 (m) 1360 (m), 1312 (m), 1257 (m), 1219 (w), 119 1 (w), 1164 (w), 1082 (s), 1027 (s), 999 (s), 936 (w), 880 (w), 803 (w), 758 (w), 727 (w), 702 (w), 686 (w), 632 (w). UV/Vis (DCM):  ?? (log ??) = 395 nm (4.45), 384 (sh., 4.35), 310 (3.64), 266 (5.08). MS (HR -MALDI): m/z calculated for [M+H]+: 765.4115, fo und: 765.4117 .",comprehensive synthesis
"2.5. (7s,12s)-2,3-Dihexyl -9,10,18,19 -tetramethoxy -7,12-dihydro -7,12-[1,2]benzenonaphtho[2,3 -b]phenazine -8,11,17,20 -tetracarbald ehyde ( 7)  Diatomaceous earth  (33 mg) and triptycene 6 (28.6 mg, 37.4 米mol,  1.00 eq.) were suspended in DCM (4 mL) and PCC ( 136 mg, 0.63 mmol,  16.8 eq.) was added in portions. The suspension was stirred for 6  h at room temperature. Af ter a short filtration over silica gel ( eluent: EA) , triptycene 7 was obtained  as a yellow solid (24.1  mg, 31.9 米mol, 85%).  M.p: 123 ～C. 1H NMR (CDCl 3, 600  MHz):  汛 (ppm) = 10. 63 (s, 4H, Ar-CH=O), 8.20 (s, 2H, Ar-H-6,13), 8. 10 (s, 2H, bridgehead -H-7,12), 7.92 (s, 2H, Ar-H-1,4), 3.92 (s, 12H, Ar-OCH3), 2.84 每 2.82 (m, 4H, Ar?CH2?(CH2)4-CH 3), 1.78 每 1.72 (m, 4H, Ar-CH 2-CH2-(CH 2)3-CH 3), 1.49 每 1.44 (m, 4H, Ar-(CH 2)2-CH2-(CH 2)2-CH 3), 1.37 每 1.33 (m, 8H, Ar?(CH 2)3?(CH2)2?CH 3), 0.90 (t, 3JH-H = 6.8 Hz, 6H, Ar?(CH 2)5?CH3).",comprehensive synthesis
"2.6. R,R-Cyclohexane Cage s ((R,R)-9 and (R,R)-10)  Triptycene  7 (91.2 mg, 120 米mol, 3 .00 eq.) wa s dissolved in DCM ( 1.8 mL) and a solution of TFA in DCM ( 0.1 M, 72.0 米L, 2 mol% ) was added. A solution of (1 R,2R)-(-)-1,2-Diaminocyclohexane  (R,R)-8 (27.6 mg, 240 米mol, 6 .00 eq.) in DCM  (1.8 mL) was layered onto this. The reaction mixture was left standing  at room temperature without stirring for 7  d. The solvent was evaporated and the residue suspended in methanol  (8 mL), filtered and washed with methanol  (2 x 3 mL). The crude produ ct was subjected to GPC ( SDV column, THF, 5  mL/min, fraction 1: 368  min, fraction 2: S9  380 min) and two fractions could be collected in which the first fraction is the [4+8]-cage ( (R,R)-10) and the second fraction is the [3+6]-cage ( (R,R)-9). Each  fraction w as afterwards again suspended in methanol  (6 mL), filtered and washed with methanol  (2 x 4 mL). (R,R)-9 was obtained  as a light  yellow solid (54.7  mg, 20 .0 米mol, 49% ) and (R,R)-10 was obtained as a light yellow solid  (6.50 mg, 1.78 mol, 5%, not pure ). (R,R)-9) M.p: <350  ～C (decomposition). 1H NMR ( CD 2Cl2, 700 MHz):  汛 (ppm)  = 9.20 (s, 6H, Ar-CH=N), 8.61 (s, 6H, Ar-CH=N), 7.84 (s, 6H, Ar-H-1,4), 7.74  (s, 6H, bridgehead -H-7,12), 7.71 (s, 6H, Ar-H-6,13), 4.34 每 4.31 (m, 6H, Ar-H-C1), 3.6 1 (s, 24H, Ar-OCH3, Ar-H-C6), 3.56 (s, 18H, Ar -OCH3), 2.84 每 2.82 (m, 12H, Ar?CH2?(CH2)4-CH 3), 2.21 每 2.17 (m, 12 H, cyclohexane -H), 2.13 每 2.11 (m, 20 H, cyclohexane -H), 2.05 每 2.00 (m, 8H, cyclohexane -H), 1.95 每 1.90 (m, 8 H, cyclohexane -H), 1.74 每 2.72 (m, 12H, Ar?CH 2?CH2?(CH 2)3-CH 3), 1.47 每 1.45 (m, 12H, Ar-(CH 2)2-CH2-(CH 2)2-CH 3), 1.37 每 1.33 (m, 24H, Ar?(CH 2)3?(CH2)2?CH 3), 0.90  (t, 3JH-H = 6.9  Hz, 18H, Ar?(CH 2)5?CH3).",comprehensive synthesis
"ORGANIC CHEMISTRYFRONTIERSRESEARCH ARTICLECite this: Org. Chem. Front. , 2021, 8,3668Received 30th March 2021,Accepted 29th April 2021DOI: 10.1039/d1qo00478frsc.li/frontiers-organicCucurbitimines 每imine cages with concave walls ?Christine Bourguignon, Dorothee Schindler, ?Gangxiang Zhou, Frank Romingerand Michael Mastalerz *",this paper's author
"Colloid Interface Sci. 2017 ,485, 223?231.Inorganic Chemistry pubs.acs.org/IC Articlehttps://doi.org/10.1021/acs.inorgchem.1c01723Inorg. Chem. 2021, 60, 12517 ?1252512525     Supporting Information   Cucurbitimines  每 Imine Cages with Concave Walls  Christine Bourguignon , Dorothee Schindler, Gangxiang Zhou, Frank Rominger, and Michael Mastalerz*",this paper's author
"With tetraaldehyde 7in hand, condensation reactions with(R,R)-1,2-cyclohexyldiamine 8were investigated under variousconditions (Scheme 2). Solvents, such as MeOH, MeCN, DCM,THF, toluene or CHCl3were used and the reactants withthe addition of a small amount of TFA (2 mol%) were stirred atroom temperature or under reflux. Although in all cases the[3 + 6] cucurbitimine cage was formed, as detected byMALDI-TOF mass spectrometry ( m/z= 2739), the corres-ponding1H NMR spectra revealed that only in DCM the purityof the crude material was high enough to allow isolation andpurification of the cage 9in 10% yield. However, the bestresults were achieved by layering solutions of the two reactantsand let them di ?use into each other, which has been widelyused by Cooper et al.",topology
