content,category
"View Article OnlineS-1   ¡¬?State Key Laboratory of Structural Chemistry , Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences , Fuzhou, 350002, China  ?University of the Chinese Academy of Sciences, Beijing, 100049, China  ¡ìCollege of Chemistry and Materials Science, Fujian Normal University, Fuzhou , 350007, China  ¡¬Chemical Refining Laboratory, Refining Department, Egyptian Petroleum Research Institute, Nasr City, 11727, Egypt  E-mail: *skz@fjirsm.ac.cn and *ydq@fjirsm.ac.cn    S-2  Additional  Figures  Note: As all the CPOC -101 solvato morphs contain the same dimeric calix[4]resorcinarene -based  organic cage, we just take  the 1H NMR,  FT-IR, ESI-TOF-MS and  TGA characterizations  of CPOC -101¦Â as an example for clarity.",affiliation
"CO2and C 2H2Uptake. The removal of coexisting CO 2impurities from C 2H2to produce high-purity C 2H2is highlyimportant in the ?ne chemical industry. However, theseparation of CO 2and C 2H2is di?cult because they havesimilar molecular sizes and physical characteristics.62,63Theintrinsic porosity, abundant electron-rich ¦Ðcalix[4]-resorcinarene cavities, and oxygen and nitrogen sites inCPOC-101 crystals prompt us to investigate the correspond-ing CO2and C2H2gas sorption and separation. Moreover, weare also interested in how solvatomorphism in ?uences CO2and C 2H2sorption capacities and separation abilities. Figure 4demonstrates that the adsorption capacity of CO 2for activatedCPOC-101 ¦Áreaches up to 63 cm3g?1at 298 K and 1 bar,Table 1. Summary of CPOC-101 with Di ?erent Aromatic Guests: Crystal Data and Structure Re ?nement Resultsasolvent Sp. Gr. a(?) b(?) c(?) ¦Á(deg) ¦Â(deg) ¦Ã(deg) V(?3) R1(%) CCDC¦ÁbPhMe P-1 18.9644(14) 21.3587(16) 24.0976(14) 102.656(5) 106.031(6) 114.606(7) 7881.4(9) 15.22 2055643¦ÂcPhNO 2 I2/a 20.4736(2) 22.3662(3) 30.2829(3) 90 93.3220(1) 90 13843.7(3) 15.85 2014916¦ÃcPhEt P-1 15.3502(10) 15.3692(7) 16.3714(10) 70.070(5) 87.677(5) 63.770(6) 3229.3(3) 8.91 2055646¦Ä PhCH¬­CH 2P-1 13.9535(4) 14.4086(5) 17.9367(5) 87.885(3) 81.166(3) 70.556(3) 3359.78(19) 10.52 2055647¦Å o-PhMe 2 P-1 17.2006(5) 19.4445(7) 21.6853(5) 86.642(2) 74.203(2) 81.661(3) 6903.7(4) 6.72 2055648¦Æ m-PhMe 2 P21/n 18.7447(3) 16.0246(2) 21.7600(3) 90 99.0976(1) 90 6453.96(2) 7.13 2055649¦Ç o-PhCl 2 P-1 14.1695(8) 14.2942(5) 19.3519(10) 104.046(4) 101.716(4) 111.158(4) 3358.1(3) 8.71 2055650¦È m-PhCl 2 P-1 14.1928(5) 14.8249(5) 17.5646(7) 97.157(3) 106.347(3) 101.210(3) 3415.0(2) 11.27 2055651aUnless stated, the crystals were attained using slow vapor di ?usion of MeOH into a mixture of CHCl3and its related solvent.bReplacement ofPhMe by p-PhMe 2can also a ?ord this solvatomorph.cCrystallized from PhNO 2or PhEt solvent only.",CCDC
CPOC -101 ¦Á ¦Â ¦Ã ¦Ä Formula  C108H136N8O16 C132H148N12O25 C150H190N8O18 C117H145N8O16Cl3 Mr / g mol-1 1802.32  2302.70  2393.21  2025.85  T / K  150 100 100 100 Crystal system  triclinic  monoclinic  triclinic  triclinic  Space group  P-1 I2/a P-1 P-1 a / ? 18.9644(14)  20.4736(2)  15.3502(10)  13.9535(4)  b / ? 21.3587(16)  22.3662(3)  15.3692(7)  14.4086(5)  c / ? 24.0976(14)  30.2829(3)  16.3714(10)  17.9367(5)  ¦Á (¡ã) 102.656(5)  90 70.070(5)  87.885(3)  ¦Â (¡ã) 106.031(6)  93.3220(10)  87.677(5)  81.166(3)  ¦Ã (¡ã) 114.606(7)  90 63.770(6)  70.556(3)  V / ?3 7881.4(9)  13843.7(3)  3229.3(3)  3359.78(19)  Z 2 4 1 1 ¦Ì (mm-1) 0.409  0.617  0.634  1.060  Data measured  51073  28427  22992  24214  Ind. reflns  27238  13496  13095  11844  Parameters  1173  945 808 675 GOF on F2 1.071  1.072  1.092  1.351  R1a [I ?¦Ò(I)]  0.1522  0.1585  0.0891  0.1052  wR2b  0.3940  0.4472  0.2864  0.3244  CCDC number  2055643  2014916  2055646  2055647  aR1 = ¡Æ||F o| - |Fc||/¡Æ|F o|. bwR2 = {¡Æ[w(F o2 - Fc2)2]/ ¡Æ[w( F o2)2]}1/2   S-17   Table S 4. Crystallographic Data and Structure Refinement for CPOC -101 polymorphs.,CCDC
"CPOC -101 ¦Å ¦Æ ¦Ç ¦È Formula  C156H193N8O16 C140H174N8O16 C144H152N8O16Cl12 C120H140N8O16Cl4 M / g mol-1 2436.30  2224.97  2676.28  2092.29  T / K  150 100 100 100 Crystal system  triclinic  monoclinic  triclinic  triclinic  Space group  P-1 P21/n P-1 P-1 a / ? 17.2006(5)  18.7447(3)  14.1695(8)  14.1928(5)  b / ? 19.4445(7)  16.0246(2)  14.2942(5)  14.8249(5)  c / ? 21.6853(5)  21.7600(3)  19.3519(10)  17.5646(7)  ¦Á (¡ã) 86.642(2)  90 104.046(4)  97.157(3)  ¦Â (¡ã) 74.203(2)  99.0976(1)  101.716(4)  106.347(3)  ¦Ã (¡ã) 81.661(3)  90 111.158(4)  101.210(3)  V / ?3 6903.7(4)  6453.96(2)  3358.1(3)  3415.0(2)  Z 2 2 1 1 ¦Ì (mm-1) 0.591  0.587  2.804  1.232  Data measured  43808  26206  21391  20489  Ind. reflns  23906  12112  11736  12818  Parameters  1649  761 906 693 GOF on F2 0.717  1.133  1.038  1.752  R1a [I ?¦Ò(I)]  0.0672  0.0713  0.0871  0.1127  wR2b  0.1851  0.2445  0.2357  0.3747  CCDC number  2055648  2055649  2055650  2055651  aR1 = ¡Æ||F o| - |Fc||/¡Æ|F o|. bwR2 = {¡Æ[w(F o2 - Fc2)2]/ ¡Æ[w( F o2)2]}1/2   Reference   S1. Su, K.; Wang, W .; Du, S.; Ji, C.; Zhou, M.; Yuan, D., Reticular Chemistry in the Construction of Porous Organic Cages. J. Am. Chem. Soc. 2020,  142 (42), 18060 -18072.",CCDC
"Synthesis of CPOC-101 ¦Á.Method A: First, 41 mg (0.05 mmol)of C4RACHO was dissolved in 8 mL of hot CHCl 3in a 35 mLpressure vial; then, a solution of 7.4 mg (0.1 mmol) of 1,3-diaminopropane in 2 mL of CHCl 3was slowly introduced. Aftersealing the obtained mixture, it was stirred at 65 ¡ãC for 12 h. Uponcooling to ambient temperature, the PhMe (2 mL) solvent wasintroduced, followed by slow vapor di ?usion of MeOH into theabovementioned mixture for 7 days. The resulting CPOC-101 ¦Áwithred block single crystals was subjected to washing using MeOH,a?ording ¡«87% yield. Method B: The synthesis was similar to that ofMethod A, except that 2 mL of p-PhMe 2was used instead of PhMe.",comprehensive synthesis
The yield was 75%.,comprehensive synthesis
"Synthesis of CPOC-101 ¦Â.This solvatomorph was synthesizedaccording to our previously published procedure.55First, 82 mg (0.10mmol) of C4RACHO and 14.8 mg (0.2 mmol) of 1,3-diaminopropane were added into 6 mL of PhNO2solvent. Aftersealing in a glass vial (20 mL), heating at 100 ¡ãC for 72 h, followed bynatural cooling, CPOC-101 ¦Âwith red block single crystals a ?ordedabout 38% yield. This obtained yield could be enhanced using slowconcentration of the ?ltrate at room temperature for 7 days, leading toCPOC-101 ¦Âwith an improved yield of 87%.",comprehensive synthesis
"Synthesis of CPOC-101 ¦Ã.In 4 mL of PhEt solvent, 41 mg (0.05mmol) of C4RACHO and 7.4 mg (0.1 mmol) of 1,3-diaminopropanewere added. After sealing in a glass vial (8 mL) and heating at 100 ¡ãCfor one day, the mixture was cooled down naturally. By conductingslow vapor di ?usion of MeOH into the above mixture for 7 days,CPOC-101 ¦Ãwith red block single crystals a ?orded about 74% yield.",comprehensive synthesis
"Synthesis of CPOC-101 ¦Ä.The synthesis was similar to that ofCPOC-101 ¦Á, except that 2 mL of PhCH ¬­CH2was used instead ofPhMe. The yield was 71%.",comprehensive synthesis
"Synthesis of CPOC-101 ¦Å.The synthesis was similar to that ofCPOC-101 ¦Á, except that 2 mL of o-PhMe2was used instead ofPhMe. The yield was 77%.",comprehensive synthesis
"Synthesis of CPOC-101 ¦Æ.The synthesis was similar to that ofCPOC-101 ¦Á, except that 2 mL of m-PhMe2was used instead ofPhMe. The yield was 80%.",comprehensive synthesis
"Synthesis of CPOC-101 ¦Ç.The synthesis was similar to that ofCPOC-101 ¦Á, except that 2 mL o-PhCl2was used instead of PhMe.",comprehensive synthesis
"Synthesis of CPOC-101 ¦È.The synthesis was similar to that ofCPOC-101 ¦Á, except that 2 mL of m-PhCl 2was used instead ofPhMe. The yield was 75%.",comprehensive synthesis
