content,category
"38,39aSmart Hybrid Materials (SHMs) Laboratory, Advanced Membranes and PorousMaterials Center, King Abdullah University of Science and Technology (KAUST),Thuwal 23955-6900, Kingdom of Saudi Arabia. E-mail: niveen.khashab@kaust.edu.sabKing Abdullah University of Science and Technology, Biological and EnvironmentalScience and Engineering Division, Thuwal 23955-6900, Saudi Arabia?Electronic supplementary information (ESI) available. CCDC 2144153. For ESIand crystallographic data in CIF or other electronic format seehttps://doi.org/10.1039/d2sc00836j?D. K and A. D contributed equally to this work.Cite this: Chem. Sci. , 2022, 13,7 3 4 1All publication charges for this articlehave been paid for by the Royal Societyof ChemistryReceived 10th February 2022Accepted 1st June 2022DOI: 10.1039/d2sc00836jrsc.li/chemical-science? 2022 The Author(s). Published by the Royal Society of Chemistry Chem. Sci. , 2022, 13,7 3 4 1 每7346 | 7341ChemicalScienceEDGE ARTICLEOpen Access Article. Published on 01 June 2022. Downloaded on 5/29/2023 3:17:33 AM.",affiliation
"[a] Smart Hybrid Materials (SHMs) Laboratory, Advanced Membranes and Porous Materials Center, King Abdullah University  of Science and Technology (KAUST),  Thuwal  23955-6900, Kingdom of Saudi Arabia.",affiliation
"[b] Molecular Imaging and Microscopy Lab, Bioscience Program,  Biological and Environmental  Science  and Engineering Division, Thuwal 23955-6900, Saudi  Arabia.",affiliation
"Data availabilityFull experimental and crystallographic details are provided aspart of the ESI. CCDC 2144153. ?Author contributionsDK: investigation, validation, data collection, formal analysis,writing original dra 徇. AD: conceptualization, synthesis, valida-tion, investigation, data collection, formal analysis, writingoriginal dra 徇, review & editing. LA: formal analysis. HP: formalanalysis, data collection. SH: discussion. NMK: supervision theproject, funding acquisition, writing, review & editing.",CCDC
"Identification code OC1 Reported OC1Empirical formula C75.5H85.5Cl10.5N12O12 C36H42N6O6.3(CHCl 3)Formula weight 1725.28 1012.86Temperature (K) 120(2) 100(2)Radiation Mo-K汐 Mo-K汐Wave length (竹) 0.71073 0.71073Crystal system Triclinic MonoclinicSpace  group P1 C2a [?] 12.733(4) 19.477(2)b [ ?] 13.433(5) 24.208(2)c [ ?] 14.738(5) 13.2882(16)汐 [～] 63.059(8) 90汕 [～] 71.223(9) 131.418(6)S24污 [～] 73.702(9) 90Volume  [?3] 2100.3(1) 4698.5(9)Z 1 4Density  (calculated)[g  cm-3] 1.364 1.432Absorption coefficient [mm-1] 0.413 0.587F(000) 897 -Refl.  used [I >2考(I)] 14326 7680Independent  reflections 53661 11328Rint 0.1454 0.0268Refinement method F2F2GOF 0.971 1.034Final R indices [I>2考(I)] R1 = 0.0873, wR 2 = 0.2043 R1 = 0.0844,  wR 2 = 0.1957CCDC Number 2144153 Ref 2References:1)Chong, J. H.; Sauer, M.; Patrick, B. O.; MacLachlan, M. J. Org. Lett. 2003, 5, 3823-3825.",CCDC
"1,3,5-triformylphloroglucinol has been  prepared  according  to literature reports.1,2 To 30 ml trifluoroacetic acid (TFA) was added hexamethylene tetraamine (5.032  g) and dried  phloroglucinol (2.004  g). The solution  was heated at 100 oC for 6 h. Approximately 50 mL of 3 M HCl was added  and the solution  was heated at 100 oC for 3 h. After cooling to room temperature, the solution was extracted with ca. 350 mL dichloromethane, dried over sodium sulfate, and filtered. Rotary evaporation of the solution afforded  light yellow  powder. Finally, washing with ethanol  afforded the pure product.",comprehensive synthesis
"42 mg (0.2 mmol) of 1,3,5-triformylglucinol and 34 mg (0.3mmol) of (1R, 2R)-1,2-  diaminocyclohexane were  refluxed for 48 h in 50 mL of chloroform. The mixture was cooled down,  filtered  and evaporated. The pure product OC1 recrystallized from DMSO/chloroform with 48% yield. 1H NMR (400MHz NMR, CDCl 3) ? 10.47-10.53 (dd, 6H, NH); 7.64-7.67 (d, 6H, C=CH-NH); 2.90 (m, 6H, cyclohexane Hc); 2.27 (m, 6H, cyclohexane Hd); 1.91 (m, 6H, cyclohexane Hd＊); 1.54 (m, 6H, cyclohexane He), 1.42 (m, 6H, cyclohexane  He＊); 13C NMR (100 MHz, CDCl 3): ??184.80  (C=O),  156.24 (C=CH-NH), 107.0 (C=CH), 68.0 (cyclohexane  Cc), 31.62 (cyclohexane  Cd), 24.75(cyclohexane Ce).",comprehensive synthesis
"2-hydroxy-1,3,5-triformylbenzene was prepared from phenol and hexamethylenetatraamine (HMTA).3 Phenol (5.93 g) and HMTA (17.2  g) were placed in a round-bottomed flask,  and 60 mL of trifluoroacetic acid was added. The resulting mixture was stirred at 130 ～C for about  24 h. Then the reaction  mixture was then heated  to 150 ～C and stirred for 3 h. The mixture was cooled to 100 ～C, treated with 100 mL of 4M HCl, heated  at 105 ～C for 30 min and cooled to room temperature overnight. The precipitated yellowish  solid was filtered  off, washed with water, ethanol, and dichloromethane and dried  in air.",comprehensive synthesis
"Trans-(1R,2R)-diaminocyclohexane (0.171 g, 1.5 mmol) and 2-hydroxy-1,3,5-triformylbenzene (0.178 g, 1 mmol) were  dissolved in 50 ml of chloroform  and refluxed for 72 h. The solvent was evaporated under  vacuum  and the solid product was obtained quantitatively. The crystalline  solid OC2 was obtained  from a DMSO/chloroform  solution in 40% yield.  1H NMR of OC2 (400 MHz, CDCl 3). 汛 14.69-14.55 (d, 4H), 8.65 每 8.62 (m, 4H), 8.35 每 8.33 (m, 4H), 8.12 (d, 4H), 7.99 (d, 8H), 3.43-8.33 (d, , 12H), 1.84 (m, 12H), 1.86-1.74 (s, 24H),  1.48 (s, 12H); 13C NMR (100 MHz, CDCl 3) 汛 164.75 (C=N),  160.35 (C-OH), 155.41  (C-C=N,), 132.24 (C-C), 126.18-  123.40 (C-C=N),), 119.18 (m), 74.30 (cyclohexane C), 33.12 (cyclohexane  C), 24.26 (cyclohexane C); TOF-MS Calcd for C72H85N12O4 [M+H]+: 1181.6817;  Found 1181.6695.",comprehensive synthesis
"To 1,3,5 Trimethoxy benzene  (252 mg, 2 mmol)  in a round bottom flask was added 20 ml of ethyl acetate. The solution was placed in an ice bath followed  by slow addition  (~1ml/12min) of (1R, 2R) 1,2- diamino  cyclohexane (3 mmol, 171 mg, 3mmol)  in 20 ml of DCM. During the addition, temperature should be maintained  at near to 0 ～C. A catalytic  amount (~5?L) of TFA was added after the complete addition. The reaction mixture was then allowed to stay overnight for slow evaporation.  The microcrystalline  product was isolated and recrystallized from 1:1 mixture of chloroform and acetonitrile.4 1H NMR (400MHz NMR, CDCl 3); ? 8.55 (s, 12H),  3.55 (s, 36H), 3.43 (s, 12H), 1.51-1.86 (m, 48H)  ppm. 13C NMR (100MHz NMR, CDCl 3): ? 162.57 (C=N), 153.80 (C-OMe), 120.85 (C-C=N), 62.60 (O-Me),  33.70 (cyclohexane C), 24.61 (cyclohexane  C) ppm. TOF MS m/z: [M+H]+ Calcd for C84H108N12O12 1477.8288;  Found 1477.8490.",comprehensive synthesis
"Photostable polymorphic organic cages fortargeted live cell imaging ?Dana Al Kelabi, ?aAvishek Dey, ?aLukman O. Alimi,aHubert Piwo ∩nski,bSatoshi Habuchiband Niveen M. Khashab *aFluorescent microscopy is a powerful tool for studying the cellular dynamics of biological systems. Small-molecule organic ?uorophores are the most commonly used for live cell imaging; however, they oftensu?er from low solubility, limited photostability and variable targetability. Herein, we demonstrate thata tautomeric organic cage, OC1 , has high cell permeability, photostability and selectivity towards themitochondria. We further performed a structure 每activity study to investigate the role of the keto 每enoltautomerization, which a ?ords strong and consistent ?uorescence in dilute solutions throughsupramolecular self-assembly. Signi ?cantly, OC1 can passively di ?use through the cell membranedirectly targeting the mitochondria without going through the endosomes or the lysosomes. Weenvisage that designing highly stable and biocompatible self-assembled ?uorophores that can passivelydi?use through the cell membrane while selectively targeting speci ?c organelles will push theboundaries of ?uorescent microscopy to visualize intricate cellular processes at the single molecule levelin live samples.",this paper's author
"View Article OnlineS1Supporting  InformationPhotostable Polymorphic  Organic Cages for Targeted Live Cell Imaging Dana Al Kelabi,a,∫ Avishek Dey,a,∫ Lukman O. Alimi,a Hubert  Piwo里ski,b Satoshi Habuchi,b Niveen M. Khashaba*",this paper's author
"OC1, a [2 + 3] cage, was synthesized following a reportedprocedure and its structure was con 祈rmed by1H NuclearMagnetic Resonance (NMR) and TOF-Mass analysis (Fig. S1 每S4?).32Dynamic light scattering (DLS) of OC1 revealed anaverage size of 30 每50 nm in DMSO 每H2O( 2 每5%) with a negativezeta potential of /C05 mV (Fig. S5 ?). Single crystal X-ray analysisrevealed that OC1 crystallizes in a triclinic crystal system withchiral P1 space group and the asymmetric unit consists of twomolecules of [2 + 3] cages (Fig. S6 ?). Crystal structure analysissuggests that the imine cage crystallizes as the keto tautomericform (Fig. 2a). This results in the formation of intramolecularN每H/O hydrogen bonding between the imine (N 每H) hydrogenand the keto (C ]O) oxygen ( dC每OH actual ?1.36 ?A;dC]O actual ?1.25 每1.26 ?Avs. d C]O for OC1 ?1.260 ?A and dC]N actual ?1.25 ?Avs.",topology
"41 M. Petryk, J. Szymkowiak, B. Gierczyk, G. Sp ∩olnik,?. Popenda, A. Janiak and M. Kwit, Chiral,triformylphenol-derived salen-type [4 + 6] organic cages,Org. Biomol. Chem. , 2016, 14, 7495 每7499.",topology
