content,category
"b. University of the  Chinese Academy of Sciences, Beijing, 100049, Chinac. Fujian  Science  and Technology Innovation  Laboratory for Optoelectronic Information of China, Fuzhou, 350002, Fujian, China.",affiliation
"d. Chemical Refining Laboratory,  Refining Department, Egyptian  Petroleum Research Institute, Nasr City, 11727, Egypt.",affiliation
"60¨C64To date, utilization of chiral building units toaState Key Laboratory of Structural Chemistry, Fujian Institute of Research on theStructure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, Fujian, China.E-mail: ydq@ «Ýirsm.ac.cnbUniversity of the Chinese Academy of Sciences, Beijing, 100049, ChinacFujian Science and Technology Innovation Laboratory for Optoelectronic Informationof China, Fuzhou, 350002, Fujian, ChinadChemical Re ¬èning Laboratory, Re ¬èning Department, Egyptian Petroleum ResearchInstitute, Nasr City, 11727, Egypt?Electronic supplementary information (ESI) available. CCDC 2113144 and2113665. For ESI and crystallographic data in CIF or other electronic format seeDOI: 10.1039/d2sc00395cCite this: Chem. Sci. , 2022, 13,3 5 8 2All publication charges for this articlehave been paid for by the Royal Societyof ChemistryReceived 21st January 2022Accepted 3rd March 2022DOI: 10.1039/d2sc00395crsc.li/chemical-science3582 |Chem. Sci. , 2022, 13,3 5 8 2 ¨C3588 ? 2022 The Author(s). Published by the Royal Society of ChemistryChemicalScienceEDGE ARTICLEOpen Access Article. Published on 03 March 2022. Downloaded on 11/27/2023 4:06:48 AM.",CCDC
"CPOC-302-Pro CPOC-401-ProCCDC No. 2113144 2113665Empirical formula C492H528N48O60 C280H320N32O40Formula weight 8073.59 4773.66Temperature (K) 100.0(1) 100.0(1)Wavelength (?) 1.54184 1.54184Crystal system trigonal triclinicSpace group P3c1 P1a (?) 32.5182(19) 28.4101(12)b ?) 32.5182(19) 30.2731(13)c (?) 51.424(4) 32.7364(15)¦Á (¡ã) 90 82.444(4)¦Â (¡ã) 90 81.795(4)¦Ã (¡ã) 120 63.273(4)Volume (?3) 47092(7) 24818(2)Z 2 2Calculated density  (g cm-3) 0.569 0.639Absorption coefficient (mm-1) 0.302 0.347F000 8592 5088Crystal size (mm3) 0.10¡Á0.05¡Á0.03 0.23¡Á0.18¡Á0.15? range for data collection (¡ã) 2.327 to 77.023? 2.075 to 78.085Reflections collected 183245 330746Independent reflections 58296 142785Max. and min. transmission 0.92486 and 1.00000 0.87204 and 1.00000Refinement method Full-matrix least-squares on F2Full-matrix least-squares on F2Data / restraints / parameters 58296 / 2020 / 1336 142785 / 15362 / 4273Goodness-of-fit on F20.793 1.377Final R indices [I©ƒ2¦Ò( I)] R1 = 0.1220, wR2 = 0.2206 R1 = 0.2292, wR2 = 0.4808R indices (all data) R1 = 0.4055, wR2 = 0.3757 R1 = 0.3500, wR2 = 0.5579Largest diff. peak  and hole (e ?-3) 0.309 and -0.157 1.624 and -0.875Absolute structure parameter 0.2(3) 0.53(12)aR1 = ¡Æ||F o| - |Fc||/¡Æ|F o|. bwR 2 = {¡Æ[w(F o2 - Fc2)2]/ ¡Æ[w( Fo2)2]}1/2SUPPORTING INFORMATION        544. Geometry Optimized ModelsThe initial structures of CPOC-302-Pro and CPOC-401-Pro were  token from their crystal structures and modified using Materials Studio to add the substituent group. The geometry optimizations were employed  the GFN1-xTB methodS13, S14 with Grimme¡¯s D3 van der Waals  dispersion correction  using the CP2K  codeS15. GFN-xTB is a method of self-consistent, third-order, density functional  tight-binding (DFTB3), suitable  for the calculation of structures,  vibrational frequencies,  and non-covalent interactions in large  molecular systems. Only atomic coordinates of the periodic systems were  optimized, and the cell parameters  were fixed.)  A convergence threshold of 3.0 ¡Á 10?6 Hartree was used for all self-consistent field (SCF)  calculations. The structural optimizations were considered converged if the maximum  force on all atoms  falls below 4.5 ¡Á 10?4 Hartree Bohr?1.",CCDC
"Subsequently to illustrate the generality of the chiral POCcatalysts, we investigated the scope of substrates. The productsthat were obtained catalyzed by CPOC-302-Pro are presented inTable 2. It was found that aromatic aldehydes substituted withvarious electron-withdrawing groups such as nitro, cyano, tri-¬éuoromethyl and pyridine can be employed with cyclohexanoneleading to the corresponding products with excellent yields (90 ¨C99%) and stereoselectivities (80 : 20 ¨C97 : 3 dr values, 87 ¨C92% eevalues). Substituted cyclohexanones and tetrahydropyran-4-onewere also found to be well-tolerated, a ?ording the desiredproducts in high yields with good stereoselectivity. In order toacquire higher enantioselectivity, the reactions of substrates,including cyclopentanone and acetone, with smaller molecularvolume, were studied at 0/C14C. It was observed that cyclo-pentanone could react with p-nitrobenzaldehyde to provide theproduct with good enantio-selectivity (86% ee), while the reac-tion between acetone and p-nitrobenzaldehyde a ?ords onlymoderate enantioselectivity (64% ee). CPOC-401-Pro can alsoe?ciently catalyze this series of reactions, but the a ?ordedTable 1 Asymmetric aldol reactions catalyzed by chiral POCs andrelated catalystsaEntryaCatalyst Time (d) Yieldb(%) anti/synceed(%)1 CPOC-401-Pro 1 98 88 : 12 832 CPOC-302-Pro 2 99 93 : 7 923 BPP 4 96 89 : 11 884L-Proline 10 80 45 : 55 775eCPOC-401-Pro 1 97 88 : 12 /C0836fCPOC-302-Pro 2 98 93 : 7 /C091aReaction conditions: aldehyde (0.20 mmol), ketone (2.0 mmol),10 mol% catalyst (related to the quantity of proline in the material),4-nitrobenzoic acid (4-NBA) (20 mol%), H2O (0.01 mL), and MTBE(1.0 mL).bIsolated yield.cDetermined by1H NMR.dDetermined bychiral HPLC.eCatalyzed by D-proline-substituted CPOC-401-Pro.",comprehensive synthesis
"To a solution of Boc-L-proline  (1.27 g, 5.9 mmol) in 20 mL dry THF was added triethylamine (0.82 mL, 5.9 mmol) under argon atmosphere. After the mixture was cooled to 0 ¡ãC, isobutyl chloroformate (0.78 mL, 6.0 mmol) was added dropwise followed by stirring for 1 h. After  that, 2,4-dinitroaniline  (0.99 g, 5.4 mmol) was added to the solution in small portions.  The resulting  mixture was stirred at 0 ¡ãC for 1 h, at room temperature for 2 h, and then heated at reflux for 24 h. Upon cooling down,  the mixture was filtered and the filtrate was concentrated.  The residue was purified by column chromatography  with dichloromethane  as the SUPPORTING INFORMATION        4eluent to give compound A1 as light yellow oil in 85% yield. 1H NMR (400 MHz, CDCl 3): ¦Ä (ppm)= 10.62 (s, 1H), 8.67 (s, 2H), 8.61 (s, 1H), 4.58 (s, 1H), 3.43-3.57 (m, 2H), 2.45 (s, 1H), 1.98-2.05 (m, 3H), 1.57 (s, 9H).",comprehensive synthesis
"The above product  A1 (1.9 g, 5.0 mmol) was dissolved in dry dichloromethane  (30 mL) and cooled  to 0 ¡ãC. Then,  trifluoroacetic  acid (15 mL) was slowly added  to the solution. The mixture was stirred  at room temperature for two days and concentrated under reduced pressure. Dichloromethane (10 mL) and H2O (10 mL) were added, the resulting mixture was basified  with NH 4OH and extracted with dichloromethane  (3 ¡Á 50 mL). The obtained  organic layer was collected, washed with brine, and dried  over anhydrous MgSO 4. After  removing the organic  solvent under reduced  pressure, the residue was purified  by column chromatography with dichloromethane/ethyl acetate  (3/1, v/v) as the eluent  to afford compound A2 as light yellow solids in 90% yield. 1H NMR  (400 MHz, CDCl 3): ¦Ä (ppm)=  10.51 (s, 1H), 8.87 (s, 2H), 8.71 (s, 1H), 3.94-3.98 (m, 1H), 3.13-3.19 (m, 1H), 3.00-3.06 (m, 1H), 2.23-2.30 (m, 2H), 1.79-1.84 (m, 2H). 13C NMR (100 MHz,  CDCl 3): ¦Ä (ppm)= 174.52, 148.70,  140.17, 118.68, 113.08, 60.80, 47.36, 30.67, 26.30.",comprehensive synthesis
"Compound A2 (1.4 g, 5.0 mmol), 5% Pd/C  (1.0 g) and dry THF (30 mL) were mixed in a 100 mL round bottom flask. After vacuumized and refilled with H2 for three times,  the mixture was stirred at room  temperature for two days. After that, the reaction mixture was filtered through Celite and the filtrate was concentrated to give the product A3 as white solids in 92% yield,  mp: 125.4-127.1 ¡ãC; 1H NMR (400 MHz, DMSO-d 6): ¦Ä (ppm)= 9.41 (s, 1H), 6.09 (d, 2H), 5.54 (s, 1H), 4.70 (s, 4H), 3.56-3.60 (m, 1H), 2.79-2.90 (m, 2H), 1.95-2.04 (m, 1H), 1.67-1.76 (m, 1H), 1.58-1.64  (m, 2H). 13C NMR  (100 MHz, DMSO- d6): ¦Ä (ppm)= 172.95, 149.88, 139.75,  96.33,  94.81,  61.24, 47.26, 30.99, 26.48.  Anal.  calcd (%): C, 59.98; H, 7.32; N, 25.44. Found (%): C, 59.95; H, 7.38; N, 25.46.  IR (KBr, cm?1) ¦Í 3366, 3303, 3217, 2958, 1666, 1611, 1534, 1493, 1452, 1185, 1080, 922, 835, 712, 681. ESI-TOF-MS: calcd. for C11H16N4O [M+H]+ 221.1397, found 221.1384.",comprehensive synthesis
"2-Bromo-5-nitroaniline (2.17 g, 10.0 mmol), 4-nitrophenylboronic acid (1.67  g, 10.0 mmol), Pd(PPh 3)4 (0.58 g, 0.5 mmol) and K3PO 4 (6.37 g, 30.0 mmol) were mixed in a 200 mL Schlenk  flask.  After  vacuumed and refilled with argon  for three times,  toluene-water-ethanol  (30 ml, 20 ml, 10 ml) was added. The mixture was stirred at 95 oC for 24 h and then cooled to room temperature. The organic  phase was separated  and the aqueous  phase was extracted with dichloromethane  (3 ¡Á 50 mL). The combined  organic phases were washed with brine,  and dried  over anhydrous MgSO 4. The solvent  was evaporated  under  reduced pressure and purified by column chromatography with petroleum ether/dichloromethane (1/1, v/v) as eluent to afford 4,4'-dinitro-[1,1'-biphenyl]-2-amine in 90% yield.  1H NMR (400 MHz, DMSO-d 6): ¦Ä (ppm)= 8.33 (d, 2H), 7.75 (d, 2H), 7.65 (d, 1H), 7.43-7.46 (m, 1H), 7.29 (d, 1H), 5.75 (s, 2H). 13C NMR  (100 MHz,  DMSO-d 6): ¦Ä (ppm)= 148.82, 147.34, 147.25,  145.23, 131.81, 130.53, 129.64,  124.55,  111.00,  109.70.",comprehensive synthesis
"To a solution of Boc-L-proline  (1.27 g, 5.9 mmol) in 20 mL dry THF was added triethylamine (0.82 mL, 5.9 mmol) under argon atmosphere. After the mixture was cooled to 0 ¡ãC, isobutyl chloroformate (0.78 mL, 6.0 mmol) was added dropwise followed by stirring  for 1 h. Subsequently, 4,4'-dinitro-[1,1'-biphenyl]-2-amine (1.4 g, 5.4 mmol) was added to the solution in small portions. The resulting  mixture was stirred  at 0 ¡ãC for 1 h, at room temperature for 2 h, and then heated  at reflux for 24 h. After  cooling, the mixture  was filtered  and the filtrate  was concentrated. The residue was purified by column chromatography with dichloromethane as the eluent  to give compound B1 as light yellow solids in 80% yield,  mp: 62.5-63.4 ¡ãC; 1H NMR  (400 MHz, CDCl 3): ¦Ä (ppm)= 9.39 (s, 1H), 9.23 (s, 1H), 8.38 (d, 2H), 8.05 (d, 1H), 7.57 (d, 2H), 7.40 (d, 1H), 4.30 (d, 1H), 3.24 (s, 2H), 2.48 (s, 1H), 1.88 (s, 3H), 1.31 (s, 9H). 13C NMR  (100 MHz, CDCl 3): ¦Ä (ppm)= 172.99, 153.57, 147.93, 147.68, 142.97, 136.33, 136.21, 130.48, 129.96, 124.06, 118.69, 116.57, 80.61, 70.66, 47.01, 30.64, 27.88, 23.29. Anal. calcd  (%): C, 57.89; H, 5.30; N, 12.27. Found (%): C, 57.94; H, 5.21; N, 12.24. IR (KBr, cm?1) ¦Í 2976,  1693, 1592, 1521, 1389,  1338, 1303, 1158, 1086, 8564, 741, 695. ESI-TOF-MS: calcd. for C22H24N4NaO 7 [M+Na]+ 479.1537,  found 479.1539.",comprehensive synthesis
"To a solution  of B1 (2.74 g, 6.0 mmol) in dry dichloromethane  (40 mL) at 0 ¡ãC was added trifluoroacetic acid (25 mL). The mixture was stirred at room  temperature for two days  and concentrated  under  reduced SUPPORTING INFORMATION        6pressure. After the addition  of dichloromethane (10 mL) and H2O (10 mL), the resulting mixture was basified with NH 4OH and extracted with dichloromethane (3 ¡Á 50 mL). The combined  organic  layer was washed with brine, dried over anhydrous MgSO 4, and then concentrated to dryness. The crude product was purified by chromatography on silica  gel with dichloromethane/ethyl acetate (3/1, v/v) as the eluent to afford compound B2 as white solids in 85% yield, mp: 95.3-96.9 ¡ãC; 1H NMR (400 MHz, CDCl 3): ¦Ä (ppm)=  10.21 (s, 1H), 9.37 (d, 1H), 8.40 (d, 2H), 8.03-8.06 (m, 1H), 7.60 (d, 2H), 7.41 (d, 1H), 3.80-3.84  (m, 1H), 2.88-2.94  (m, 1H), 2.55-2.60 (m, 1H), 2.12-2.19 (m, 1H),1.99-2.05  (m, 1H), 1.59-1.75 (m, 2H). 13C NMR  (100 MHz,  CDCl 3): ¦Ä (ppm)= 173.85, 148.31,  147.81, 143.13, 135.97, 135.35, 130.39, 130.09, 124.09,  118.45,  115.31, 60.82,  47.09, 30.56, 26.15. Anal. calcd (%): C, 57.30; H, 4.53; N, 15.72. Found (%): C, 57.33; H, 4.54; N, 15.62. IR (KBr, cm?1) ¦Í 3122, 2867, 1698, 1598, 1512, 1452, 1344, 1081, 904, 855, 732, 700, 614. ESI-TOF-MS:  calcd. for C17H16N4O5 [M+H]+ 357.1154, found 357.1191.",comprehensive synthesis
"Compound B2 (1.78 g, 5.0 mmol), 5% Pd/C (1.2 g) and dry THF (40 mL) were mixed in a 100 mL round  bottom flask. After vacuumized and refilled with H2 for three times,  the mixture was stirred at room  temperature for two days. After that, the reaction mixture was filtered through Celite and the filtrate was concentrated to give the product B3 as white  solids in 96% yield, mp: 83.2-84.6 ¡ãC; 1H NMR  (400 MHz, DMSO-d 6): ¦Ä (ppm)= 10.07 (s, 1H), 7.72 (d, 1H), 7.03 (d, 2H), 6.90 (d, 1H), 6.71 (d, 2H), 6.39-6.41 (m, 1H), 5.20 (d, 4H), 3.67-3.72 (m, 1H), 2.85-2.91 (m, 1H), 2.65-2.71 (m, 1H), 2.01-2.08  (m, 1H), 1.85-1.90 (m, 1H), 1.61-1.70 (m, 2H). 13C NMR  (100 MHz, DMSO-d 6): ¦Ä (ppm)= 173.18,  148.19,  147.85,  135.75,  130.80,  130.21, 126.25,  120.90,  114.52, 110.09,  105.76, 61.16, 46.96, 31.02, 26.24. Anal.  calcd (%): C, 68.90; H, 6.80; N, 18.90.  Found (%): C, 68.85;  H, 6.88; N, 18.93. IR (KBr,  cm?1) ¦Í 3438, 3343, 3216, 2967, 2866,  1665, 1606, 1511, 1470, 1288, 1243, 1180, 812, 556. ESI-TOF-MS: calcd. for C17H20N4O [M+H]+ 297.1710, found 297.1690.",comprehensive synthesis
