content,category
"HRMS experiments were carried out on a Fourier Transform Ion Cyclotron Resonance (FTICR) mass spectrometer ApexQe  (Bruker Daltonik GmbH, Bremen,  Germany) equipped with a 9.4 T superconducting magnet equipped  with an Apollo II MTP ion source which can be switched from ESI to MALDI operation . MALDI -TOF MS experiments were carried out on a Bruker AutoFlex Speed  TOF with DCTB ( trans -2-[3-(4-tert-butylphenyl) -2-methyl -2-propenylidene]malononitrile)  as matrix.  Elemental an alysis was performed by the Microanalytical Laboratory of the University of Heidelberg using an Elementar vario MICRO cube  machine. Crystal structure  analysis was accomplished on a STOE Stadivari diffra ctometer with a copper source ( Cu K¦Á = 1.54178  ?) or a Bruker APEX II Quazar diffractometer with a molybdenum source (Mo K¦Á = 0.71073 ?).  All crystallographic information files (CCDC: 2154545 -2154563 ) have been deposited in the Cambridge Crystallographic Data Centre and can be downloaded fr ee of charge v ia www.ccdc.camac.uk/data_request/cif .",CCDC
S79     CCDC number  2154545   Datablock  jol19   Empirical formula  C18H27Br3O3   Formula  weight  531.12   Temperature  200(2) K   Wavelength  0.71073 ?   Crystal system  triclinic   Space group  P1  Z 2   Unit cell dimensions  a =9.8809(6) ?  ? =62.1477(12) deg.,CCDC
S81     CCDC number  2154546   Datablock  jol62   Empirical formula  C40.65H29Br6Cl2N9O0.65   Formula weight  1204.28   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  triclinic   Space group  P1  Z 2   Unit cell dimensions  a = 12.4487(4) ?  ? =102.976(2) deg.,CCDC
S83     CCDC number  2154562    Datablock  avb8   Empirical formula  C59H82N6O12   Formula weight  1067.30   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  triclinic   Space group  P1?   Z 2   Unit cell dimensions  a = 13.9033(8) ?  ? =69.634(4) deg.,CCDC
S85     CCDC number  2154552   Datablock  jol71   Empirical formula  C70H96N8O12.28   Formula weight  1245.98   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P2/n   Z 4   Unit cell dimensions  a = 17.0578(5) ?  ? = 90 deg.,CCDC
S87     CCDC number  2154550   Datablock  jol69   Empirical formula  C59H73N9O10   Formula weight  1068.26   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P21/n   Z 4   Unit cell dimensions  a = 19.2356(6) ?  ? = 90 deg.,CCDC
S89     CCDC number  2154563   Datablock  avb14   Empirical formula  C58H85N9O14.50   Formula weight  1140.34   Temperature  200(2) K   Wavelength  0.71073 ?   Crystal system  triclinic   Space group  P1  Z 4   Unit cell dimensions  a = 13.6868(9) ?  ? =94.0110(16) deg.,CCDC
S91     CCDC number  2154553   Datablock  jol72   Empirical formula  C59H79N11O11   Formula weight  1118.33   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P2/c   Z 2   Unit cell dimensions  a = 12.2979(4) ?  ? = 90 deg.,CCDC
S93     CCDC number  2154549   Datablock  jol67   Empirical formula  C57H69N9O12   Formula weight  1072.21   Temperature  200(2) K   Wavelength  0.71073 ?   Crystal system  hexagonal   Space group  P63/m   Z 2   Unit cell dimensions  a = 14.6797(1) ?  ? = 90 deg.,CCDC
S95     CCDC number  2154551   Datablock  jol70   Empirical formula  C73H105N11O15   Formula weight  1376.67   Temperature  200(2) K   Wavelength  0.71073 ?   Crystal system  monoclinic   Space group  P21   Z 2   Unit cell dimensions  a = 12.7782(3) ?  ? = 90 deg.,CCDC
