content,category
"¡ûACKNOWLEDGMENTSThisworkwassupported bytheKeyProjectofNaturalScienceFoundation ofYunnan(Grant202201AS070011),High-Level TalentsIntroduction inYunnanProvince (GrantC619300A025), MajorScienceandTechnology ProjectofPrecious MetalMaterials GeneticEngineering inYunnanProvince (Grants 2019ZE001-1 and202002AB080001),YunnanUniversity (GrantC176220100005), andUniversityofColorado Boulder. TheauthorsthanktheAdvancedAnalysisandMeasurement CenterofYunnanUniversity forthesampletestingservice.",affiliation
Table S1. Crystal data and structure refinement for Phos -cage  (CCDC number: 2089511)  Identification code  global  Empirical formula  C60H88N6O8P2  Formula weight  1083.30  Temperature  100(2) K  Wavelength  1.54178 ?  Crystal system  Cubic  Space group  P213 Unit cell dimensions  a = 18.9001(4) ?  Ï« = 90¡«.,CCDC
"2. Experimental procedure   Synthesis of Imi -cage . The mixture of TFTPP (300 mg, 0.86 mmol), (1S, 2S)-(+)-1,2-cyclohexanediamine (148.3 mg, 1.30 mmol) and MgSO 4 (834.0 mg, 6.93 mmol) in CHCl 3 (17 mL) was stirred at room temperature  for 48 h under nitrogen atmosphere. Then the organic liquid was collected by low -pressure filtration. The solvent was remo ved under vacuum to give the crude product, which was then dissolved in 1 mL of CHCl 3. A white precipitate was obtained upon addition of MeOH. The resulting solid was collected by centrifugation, and dried at 35 ¡«C under vacuum overnight to yield white tar get product S3   (361 mg , 90%): 1H NMR (600 MHz, CDC l3) Ñ´ (ppm) 7.67 (s, 6H), 7.31(d, J = 7.51 Hz, 12H), 6.99 (t, J = 7.49 Hz, 12H), 3.19 (d, J = 9.75 Hz, 6H), 2.13 (d, J = 12.00 Hz, 6H), 1.92 (M, 12H), 1.51 (M, 6H).",comprehensive synthesis
"Synthesis of Phos -cage . Add TFTPP ( 300 mg, 0.86 mmol) and (1S, 2S) -(+)-1,2-cyclohexanediamine  (148.3  mg, 1.30 mmol) in to CHCl 3 (17 mL) under nitrogen atmosphere.",comprehensive synthesis
"MeOH ( 17 mL) and NaBH 4 (1.31 g, 34.65  mmol) were added into the reaction mixture  after stirring at room temperature (r.t.) for 48 h. Then the mixture was stirred at r.t. for another 12 h. Subsequently,  H2O (50 mL) was added and the resulting mixture was extracted with CH 2Cl2 (20 mL, 3 times). The combined organic extracts were washed with water ( 30 mL) and saturated brine ( 30 mL) successively, dried over anhydrous Na 2SO 4. The volatiles were removed under vacuum to give the crude product. The residue was purified by flash column chromatography using CH 2Cl2-MeOH as the eluent to afford t he product as a white solid ( 386 m g, 97 %): 1H NMR (600 MHz, DMSO) Ñ´  (ppm)  7.26 (d, J = 7.66 Hz, 12H), 7.16 (t, J = 7.79 Hz, 12H), 3.66 (d, J = 14.09 Hz, 6H), 3,53 (d, J = 14.12 Hz, 6H), 2.39 (s, 6H), 2.20 (d, J = 8.76 Hz, 6H), 2.01 (d, J = 11.91 Hz, 6H), 1.64 (d, J = 7.12 Hz, 6H), 1.15 (t, J = 9.57 Hz, 6H) .",comprehensive synthesis
"Synthesis of Semicage . The mixture of TFTPP (300 mg, 0.86 mmol) , cyclohexylamine (515.4 mg, 5.19 mmol) and MgSO 4 (834.0 mg, 6.93 mmol) in CHCl 3 (17 mL)  was stirred at r.t. for 48 h  under nitrogen atmosphere . Then  the organic liquid was collected by low -pressure filtration . The solvent was removed  under vacuum  to give the crude product, S4   which  was then dissolved in ~ 1 mL of CHCl 3. A white precipitate was then obtained upon addition o f MeOH.  The resulting solid  was isolated through centrifugation, washed with MeOH and n-hexnane three times, and then dried at 35 ¡«C under vacuum overnight to yield white target product  (449 mg, 88%): 1H NMR  (600 MHz, CDC l3) Ñ´ (ppm)  8.30 (s, 3H), 7.68(d, J = 7. 60 Hz, 6H), 7.32 (t, J = 7.70 Hz, 6H), 3.19 (M, 3H), 1.83 (d, J = 13.08  Hz, 6H), 1.73 (d, J = 10.71  Hz, 6H), 1.61 (d, J = 12. 58 Hz, 3H), 1.57 (t, J = 1 3.01 Hz, 6H), 1.37 (t, J = 12. 68 Hz, 6H). 13C NMR (600 MHz, CDC l3) Ñ´ (ppm) 157.05 , 136.14, 132.78 , 127.08 , 69.01 , 33.37 , 24.53 , 23.88 ; 31P NMR  (600 MHz, CDC l3) Ñ´ (ppm)  -5.4. ESI-MS: m/z for C39H48N3P, [M+H]+ 590.3658 (calcd 590.3659).",comprehensive synthesis
"Synthesis of N -[8+12] -cage . The experimental procedure was followed a reported manuscript.2 To a round bottom flask was added (1S, 2S) -(+)-1,2-cyclohexanediamine (54 mg, 0.455 mmol) and CHC l3 (180 mL) under nitrogen atmosphere, a solution of tri(4 -formylphenyl)amine  (100 mg, 0.303 mmol) in  CHC l3 (90 mL) was added  slowly. The resulting mixture was heated  to reflux for 48 h. After completion of the reaction, solvent was removed . The obtained pale -yellow solid was washed with M eOH (5 ¨G 3 mL), and afforded as pure imine -based product  in an 80% yield (108 mg). T hen, the obtained solid was dissolved in the mixed solution of CHCl 3/MeOH=1/5 ( by volume)  under nitrogen atmosphere, NaBH 4 (115 mg,  3.03 mmol) was subsequently added slowly, stirred for another 12 hours at room temperature  The combined organic extracts were  then washed with water and saturated brine, dried over anhydrous Na 2SO 4, filtered and concentrated by vacuum. The N-[8+12] -cage was afforded as  yellow powder (110 mg, 87%). 1H NMR (600 MHz, CDC l3) Ñ´ (ppm)  7.14 (broad, m, 48H) , 6.86  (broad, m, 48H) , 3.85 (broad, m, 24H) , 3.63 (broad, m, 24H) , 2.18 -2.47 (broad, m, 48H) , 1.74 (broad, m, 24H), 1.25 (broad, m, 72H) .",comprehensive synthesis
"S5   Culti vation of Single Crystal of Phos -cage . 500 mg Phos -cage  purified by flash chromatography column was added to a 100 ml round -bottomed flask, subsequently a mixture of CH 2Cl2 and EtOH (5/1, by volume) was added to dissolve it completely. After standing still without disturba nce for ~36 hours, cubic white crystal s began to precipitate and many flower -shaped white crystals appeared on the bottom of the bottle standing for another 24 hours. Crystal data for Phos -cage  solvate: C 60H72N6P2?8(H 2O), M = 1083.30, a = 18.9001(4) ?, b = 18.9001(4) ?, c = 18.9001(4) ?, Ï« = 9 0¡«, ÉÇ = 90¡«, ÎÛ = 90¡«, V = 6751.4(4) ?3, T = 100.(2) K, space group P2 13, Z = 4, Ã×(Cu KÏ«) = 0.988 mm -1, 106670 reflections measured, 4487 independent reflections (R int = 0.0698). The final R 1 values were 0.1039 (I > 2¿¼(I)). The final wR(F2) values were 0.27 21 (I > 2¿¼(I)). The final R 1 values were 0.1067 (all data). The final wR(F2) values were 0.2799 (all data). The goodness of fit on F2 was 1.307. Flack parameter = 0.020(8).",comprehensive synthesis
"Cultivation of Crystalline TPP. 200 mg commercialized TPP was added to a  25 ml round -bottomed flask, subsequently a 6 ml mixture of CH 2Cl2 and EtOH (5/1, by volume) was added to dissolve it completely. After standing still without disturba nce for ~36 hours,  block y colorless  crystals appeared in the bottom . Lumpy solid was collect ed after standing for another 24 hours .",comprehensive synthesis
"S18    Cage-Confinement Induced Emission EnhancementRaoTao,XinZhao,TianshuZhao,Miaomiao Zhao,RuiyangLi,TianfuYang,LizhiTang,YinghuaJin,WeiZhang,*andLiQiu*",this paper's author
