content,category
"＊AUTHOR INFORMATIONCorresponding AuthorQi-Qiang Wang ?Beijing National Laboratory for MolecularSciences, CAS Key Laboratory of Molecular Recognition andFunction, Institute of Chemistry, Chinese Academy ofSciences, Beijing 100190, China; University of ChineseAcademy of Sciences, Beijing 100049, China;orcid.org/0000-0001-5988-1293 ; Email: qiqiangw@iccas.ac.cnAuthorsHuan Zhang ?Beijing National Laboratory for MolecularSciences, CAS Key Laboratory of Molecular Recognition andFunction, Institute of Chemistry, Chinese Academy ofSciences, Beijing 100190, China; University of ChineseAcademy of Sciences, Beijing 100049, ChinaYu-Fei Ao ?Beijing National Laboratory for MolecularSciences, CAS Key Laboratory of Molecular Recognition andFunction, Institute of Chemistry, Chinese Academy ofSciences, Beijing 100190, China; University of ChineseAcademy of Sciences, Beijing 100049, China;orcid.org/0000-0002-9415-2181De-Xian Wang ?Beijing National Laboratory for MolecularSciences, CAS Key Laboratory of Molecular Recognition andFunction, Institute of Chemistry, Chinese Academy ofSciences, Beijing 100190, China; University of ChineseAcademy of Sciences, Beijing 100049, China;orcid.org/0000-0002-9059-5022Complete contact information is available at:https://pubs.acs.org/10.1021/acs.joc.1c03052NotesThe authors declare no competing ?nancial interest.",affiliation
"NMR, MS, and CD data ( PDF)Accession CodesCCDC 2124147 ?2124150 contain the supplementary crys-tallographic data for this paper. These data can be obtainedfree of charge via www.ccdc.cam.ac.uk/data_request/cif ,o rb yemailing data_request@ccdc.cam.ac.uk , or by contacting TheCambridge Crystallographic Data Centre, 12 Union Road,Cambridge CB2 1EZ, UK; fax: +44 1223 336033.",CCDC
"(S,S)-M?THF  CCDC no.  2124147  Empirical formula  C50H32Cl2N6O5 Formula weight  867.71  Temperature  169.98(10) K  Wavelength  1.54184 ?  Crystal system  Orthorhombic  Space group  P21212 a 7.03846(4) ?  b 23.46836(14) ?  c 12.66458(8) ?  α 90＜ β 90＜ γ 90＜ Volume  2091.95(2) ? 3 Z 2 Density (calculated)  1.378 Mg/m 3 Absorption coefficient  1.869 mm -1 F(000)  896 Crystal size  0.7 x 0.18 x 0.15 mm 3 Theta range for data collection  3.490 to 75.518＜ .",CCDC
"(S,R)-M?CH 2Cl2 CCDC no.  2124149  Empirical formula  C47H26Cl4N6O4 Formula weight  880.54  Temperature  170.00(10) K  Wavelength  1.54184 ?  Crystal system  Orthorhombic  Space group  Pbca  a 14.18490(10) ?  b 22.6540(2) ?  c 25.2028(2) ?  α 90＜ β 90＜ γ 90＜ Volume  8098.79(11) ? 3 Z 8 Density (calculated)  1.444 Mg/m 3 Absorption coefficient  3.107 mm -1 F(000)  3600  Crystal size  0.6 x 0.3 x 0.1 mm 3 Theta range for data collection  3.507 to 75.350＜ .",CCDC
"(S,S,S )-Cage ?3CH 2Cl2 CCDC no.  2124148  Empirical formula  C69H42Cl6N6O6 Formula weight  1263.78  Temperature  170.00(12) K  Wavelength  1.54184 ?  Crystal system  Trigonal  Space group  R3 a 27.7137(3) ?  b 27.7137(3) ?  c 7.00670(10) ?  α 90＜ β 90＜ γ 120＜ Volume  4660.51(12) ? 3 Z 3 Density (calculated)  1.351 Mg/m 3 Absorption coefficient  2.995 mm -1 F(000)  1944  Crystal size  0.4 x 0.2 x 0.1 mm 3 Theta range for data collection  3.189 to 75.193＜ .",CCDC
Cage ?3Cl2CHCHCl 2 CCDC no.  2124150  Empirical formula  C72H42Cl12N6O6 Formula weight  1512.51  Temperature  170.00(16) K  Wavelength  1.54184 ?  Crystal system  Triclinic  Space group  P-1 a 15.0435(2) ?  b 15.5230(2) ?  c 16.3121(2) ?  α 77.1590(10)＜  β 73.0460(10)＜  γ 87.1620(10)＜  Volume  3552.05(8) ? 3 Z 2 Density (calculated)  1.414 Mg/m 3 Absorption coefficient  4.743 mm -1 F(000)  1536  Crystal size  0.7 x 0.4 x 0.1 mm 3 Theta range for data collection  2.902 to 75.265＜ .,CCDC
"＊RESULTS AND DISCUSSIONWe?rst employed a fragment coupling approach by takingadvantages of the three progressive and controllable reactionsites of cyanuric chloride.20Reaction of ( S)-binaphthol (( S)-1)with 2.5 equiv of cyanuric chloride ( 2) in THF at 0 ＜C withdiisopropylethylamine (DIPEA) as an acid scavenger a ?ordedthe trimer ( S)-3in an 89% yield ( Scheme 1 ). Macrocyclizationbetween equimolar amounts of ( S)-3and ( S)-binaphthol wentsmoothly in acetone at rt and gave the desired product of(S,S)-Min a 52% yield, which was better than that of areported protocol35(33% yield, acetonitrile as solvent). Thefurther reaction of the macrocycle with another equivalent of(S)-binaphthol in acetonitrile via heating at re ?ux for 12 h inthe presence of K2CO3a?orded ( S,S,S)-Cage in a high yield of85%.",comprehensive synthesis
"With the success of the fragment coupling approach, wewondered if a direct one-pot approach would work. To ourdelight both the macrocycle and the cage could be readilyobtained in even higher yields by just mixing ( S)-binaphtholand cyanuric chloride in a given ratio ( Scheme 2 ). Thereaction of a 1:1 mixture in DIPEA/acetone at rt for 4 da?orded the macrocycle in a 42% yield. The yield was furtherimproved to 63% under K2CO 3/CH 3CN conditions within ashorter time (12 h) ( Scheme 2 a). Alternatively, the reaction ofa 3:2 mixture under K 2CO 3/CH 3CN conditions via heating atre?ux for 12 h a ?orded the cage in a 91% yield ( Scheme 2 b)!The simple operation and high e ?ciency allow multigram-scalemacrocycle and cage products to be a ?orded very easily. Theenantiomers, namely ( R,R)-Mand ( R,R,R)-Cage ,w e r esimilarly synthesized from ( R)-binaphthol. All the productsare essentially enantiopure (>99% ee) as determined by chiralHPLC (see the Supporting Information ).",comprehensive synthesis
"35To a solution of 2(9.23 g,50.0 mmol) in THF (100 mL) at 0 ＜C was added dropwise a solutionFigure 4. Crystal structures of (a) ( S,S,S)-Cage ，3CH2Cl2and (b)(S,S,R)-Cage ，3Cl2CHCHCl2(crystallized in a racemic form, the otherenantiomer is not shown). Only the solvent molecules inside thecavity are shown.",comprehensive synthesis
"Figure 5. Self-assembly motifs in crystals of (a) ( S,S)-M，THF and (b)(S,S,S)-Cage ，3CH2Cl2.The Journal of Organic Chemistry pubs.acs.org/joc Articlehttps://doi.org/10.1021/acs.joc.1c03052J. Org. Chem. 2022, 87, 3491 ?34973494of (S)-1(5.73 g, 20.0 mmol) and diisopropylethylamine (DIPEA)(6.46 g, 50.0 mmol) in THF (100 mL). The resulting mixture wasstirred at 0 ＜C for another 12 h. The solvent was evaporated underreduced pressure, and the residue was subjected to columnchromatography on silica gel (petroleum ether/ethyl acetate = 5:1)to give ( S)-3as a pale yellow solid in an 89% yield (11.3 g).",comprehensive synthesis
