content,category
"1002/chem.202302116 ""> 2270170 (for 1), 2270171 (for 2), 2270172 (for 3¦Á) and 2270173 (for 3¦Â)</url> contain( s) the supplementary crystallographic data for this paper. These data are provided free of charge by the joint Cambridge Crystallographic Data Centre and Fachinformationszentrum Karlsruhe <url href="" http://www.ccdc.cam.ac.uk/structures "">Access Structures service</url>.",CCDC
"CCDC  2270170  Empirical formula  C128H80N12O6   Formula weight  1882.04  Temperature [K]  240(2)  ¦Ë(Cu K¦Á) [?] 1.54178  Crystal system  triclinic  Space group  P1? Z 2 a [?] 19.8065(5)  b [?] 21.0710(5)  c [?] 21.8861(6)  ¦Á [¡ã] 85.977(2)  ¦Â [¡ã] 82.401(2)  ¦Ã [¡ã] 65.258(2)  Volume [?3] 8221.6(4)  ¦Ñ (calculated) [mg mm-3] 0.76  ¦Ì [mm-1] 0.38 Crystal shape  plate  Crystal size [mm3] 0.860 x 0.170 x 0.158  Crystal colour  orange  ¦¨ range for data collection [¡ã]  3.0 to 57.0  Index ranges  -21 ¡Ü h ¡Ü 21, -17 ¡Ü k ¡Ü 22, -23 ¡Ü l ¡Ü 23 Reflections collected  51871  Independent reflections  21062 (Rint = 0.0230)  Observed reflections  13719 (I > 2¦Ò(I)) Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  0.96 and 0.55  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  21062 / 3471 / 1321  Goodness -of-fit on F2 1.03 Final R indices (I > 2 ¦Ò(I)) R1 = 0.069, wR 2 = 0.224  Largest diff. peak and hole [e ?-3] 0.25 and -0.21  Resolution [?]  0.92 10   Figure S 17. X-ray crystal structure of [4+6] -exo-cage 2. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, blue: nitrogen, red: oxygen. Crystals were obtained via synthesis of 2 in DMAc at 2 20¡ãC without stirring.",CCDC
"CCDC  2270171  Empirical formula  C134H92N12O12 Formula weight  2062.19  Temperature [K]  260(2)  ¦Ë(Cu K¦Á) [?] 1.54178  Crystal system  trigonal  Space group  R3? Z 6 a [?] 21.4284(8)  b [?] 21.4284(8)  c [?] 68.262(5)  ¦Á [¡ã] 90 ¦Â [¡ã] 90 ¦Ã [¡ã] 120 Volume [?3] 27145(3)  ¦Ñ (calculated) [mg mm-3] 0.76  ¦Ì [mm-1] 0.39 Crystal shape  cuboid  Crystal size [mm3] 0.076 x 0.075 x 0.060  Crystal colour  orange  ¦¨ range for data collection [¡ã]  4.8 to 36.4  Index ranges  -16 ¡Ü h ¡Ü 13, -12 ¡Ü k ¡Ü 16, -52 ¡Ü l ¡Ü 52 Reflections collected  10075  Independent reflections  2866  (Rint = 0.0709)  Observed reflections  1144 (I > 2 ¦Ò(I)) Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  0.98 and 0.97  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  2866 / 657 / 477  Goodness -of-fit on F2 0.94 Final R indices (I > 2 ¦Ò(I)) R1 = 0.069, wR 2 = 0.202  Largest diff. peak and hole [e ?-3] 0.10 and -0.14  Resolution [?]  1.30  11   Figure S 18. X-ray crystal structure of modification ¦Â of [4+4] cube 3¦Á. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, blue: nitrogen, red: oxygen. Crystals were obtained via synthesis of  3 in DMF at 20 0 ¡ãC (set hot plate temperature) without stirring.",CCDC
"CCDC  2270172  Empirical formula  C172H100N12O12 Formula weight  2526.63  Temperature [K]  200(2)  ¦Ë(Cu K¦Á) [?] 1.54178  Crystal system  tetragonal  Space group  I41/a Z 8 a [?] 27.9247(4)  b [?] 27.9247(4)  c [?] 69.6635(16)  ¦Á [¡ã] 90 ¦Â [¡ã] 90 ¦Ã [¡ã] 90 Volume [?3] 54322.8(18)  ¦Ñ (calculated) [mg mm-3] 0.62  ¦Ì [mm-1] 0.31 Crystal shape  polyhedron  Crystal size [mm3] 0.075 x 0.063 x 0.063  Crystal colour  orange  ¦¨ range for data collection [¡ã]  1.7 to 55.1  Index ranges  -27 ¡Ü h ¡Ü 29, -29 ¡Ü k ¡Ü 25, -74 ¡Ü l ¡Ü 41 Reflections collected  64559  Independent reflections  17049 (Rint = 0.0822)  Observed reflections  9357 (I > 2¦Ò(I)) Absorption correction  Semi -empirical from  equivalents  Max. and min. transmission  0.71 and 0.60  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  17049 / 900 / 883  Goodness -of-fit on F2 2.11 Final R indices (I > 2 ¦Ò(I)) R1 = 0.136, wR 2 = 0.363  Largest diff. peak and  hole [e ?-3] 1.49 and -0.41  Resolution [?]  0.94   12   Figure S 19. X-ray crystal structure of [4+4] cube 3¦Â. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, blue: nitrogen, red: oxygen. Crystals were obtained via synthesis of 3 in DMF at 150 ¡ãC (set hot plate temperature) without stirring.",CCDC
"CCDC  2270173  Empirical  formula  C172H100N12O12 + 8 C 3H7NO  Formula weight  3111.40  Temperature [K]  180(2)  ¦Ë(Cu K¦Á) [?] 1.54178  Crystal system  monoclinic  Space group  C2/c Z 4 a [?] 43.1922(8)  b [?] 20.8586(5)  c [?] 33.0348(10)  ¦Á [¡ã] 90 ¦Â [¡ã] 128.8969(10)  ¦Ã [¡ã] 90 Volume [?3] 23163.0(10)  ¦Ñ (calculated) [mg mm-3] 0.89  ¦Ì [mm-1] 0.47 Crystal shape  cuboid  Crystal size [mm3] 0.120 x 0.107 x 0.053  Crystal colour  orange  ¦¨ range for data collection [¡ã]  2.5 to 66.6  Index ranges  -51 ¡Ü h ¡Ü 38, -21 ¡Ü k ¡Ü 24, -26 ¡Ü l ¡Ü 39 Reflections collected  76483  Independent reflections  20105 (Rint = 0.0650)  Observed reflections  12906 (I > 2¦Ò(I)) Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  0.98 and 0.45  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  20105 / 80 / 1069  Goodness -of-fit on F2 1.02 Final R indices (I > 2 ¦Ò(I)) R1 = 0.088, wR 2 = 0.261  Largest diff. peak and hole [e ?-3] 0.44 and -0.43  Resolution [?]  0.84   13  5 Powder -X-Ray-Diffraction Data   Figure S 20. PXRD spectr a of [4+ 6]-endo  cage  1cr before and after activation with calculated PXRD spectr um based on obtained single -crystal  X-ray structure data of 1cr. Signals which could b e assigned to calculated spectrum  are highlighted.",CCDC
"[4+6] -endo -cage 1:  In a flat-bottom 25 mL screw -capped vials triaminotriptycene 4 (10 mg, 38 ¦Ìmol) and 2,6 -diformylphenol 5 (8.0 mg, 53 ¦Ìmol, 1.55 equiv.) were combined under argon atmosphere. Dry tetrahydrofuran (24 mL) was added and the orange solution was allowed to stand on a hot plate at 75 ¡ãC (setting temperature) for 2 weeks. Du ring this time, orange crystals were obtained. 10 reactions were run at the same time and crystals combined for workup. The crystals were washed with dry tetrahydrofuran (20 mL) and dry diethyl ether (20 mL) and dried under an argon stream in vacuo . Crysta lline 1cr was obtained in 18% yield (29 mg, 16 ¦Ìmol) as orange powder. Melting point: > 410 ¡ãC. HR MS (LDI -TOF+): [M+H]+: m/z calcd. for  C128H81N12O6+: 1881.6402, found: 1881.6428. IR: (ATR, FT) ? = 3067 (vw), 2964 (vw), 1684 (vw), 1622 (s), 1601 (m), 1576 (s), 1485 (w), 1466 (s), 1441 (m), 1375 (w), 1358 (w), 1312 (w), 1288 (w), 1259 (m), 1225 (w), 1207 (w), 1192 (w), 1163 (w), 1138 (w), 1109 (vw), 1078 (w), 1003 (m), 982 (w), 949 (m), 883 (w), 860 (m), 822 (m), 797 (m), 777 (m), 748 (vs), 696 (w), 654 (w),  623 (m) cm-1. Elemental Anal. Calcd.",comprehensive synthesis
"Cage  1am was obtained by using a procedure published before :[21] A screw capped tube was filled with triaminotriptycene 4 (87 mg, 0.29 mmol) and was dissolved in dry tetrahydrofuran (75 mL) before 2,6 -diformylphenol 5 (66 mg, 0.44 mmol, 1.5 equiv.) and trifluoroacetic acid (0.58 mL, 0.01 mol L-1) were added. The orange solution was stirred at 75 ¡ãC for 8 days under argon atm osphere. After cooling to room temperature, the obtained orange suspension was filt ered through a frit funnel, washed with dry tetrahydrofuran and the filter residue was dried in vacuo  to obtain cage 1am as an orange solid in 92% yield (126  mg, 67  ¦Ìmol). Melting point: T > 410 ¡ãC. 13C-CP-MAS NMR: (126 MHz, rotational frequency: 10 kHz) ?? = 160.7, 144.9, 133.4, 123.2, 118.6, 111.8, 53.1 ppm. HRMS (LDI -TOF+): [M+H]+: m/z calcd. for  C128H81N12O6+: 1881.6402, found: 1881.6436. IR: (ATR, FT) ? = 3067 (vw), 2961 (vw), 2878 (vw), 1620 (s), 1599 (s), 1578 (s), 1485 (w), 1468 (s), 1441 (m), 1375 (w), 1360 (w), 1312 (w), 1288 (w), 1261 (w), 1196 (w), 1165 (w), 1140 (vw), 1078 (w), 1038 (w), 1003 (m), 980 (w), 951 (w), 887 (w), 854 (m), 824 (w), 793 (m ), 777 (m), 750 ( vs), 694 (vw), 652 (m), 623 (w)  cm-1. Elemental Anal. Calcd. for C128H80N12O6 ¡¤ 6 H 2O: C, 77.25; H, 4.66; N, 8.45. Found: C, 77.51; H, 4.88; N, 8.36.",comprehensive synthesis
"[4+6] -exo-cage 2: For SCXRD:  In a 25 mL screw -capped vial triaminotriptycene 4 (5.2 mg, 1 7 ¦Ìmol was dissolved in N,N-dimethylacetamide (12 mL) and 3,5 -diformyl -2,6-dihydroxytoluene 6 (4.6 mg, 26  ¦Ìmol) was added under argon atmosphere. The yellow solution was heated on a heating plate at 220 ¡ãC (setting temperature) and was allowed to stand for  6 days without stirring. After cooling to room temperature the obtained orange crystals were submitted for single crystal X-ray diffraction measurements. To obtain 2cr1: in a screw capped tube triaminotriptycene 4 (42 mg, 0.14  mmol ) was dissolved in  N,N-dimethylacetamide (96 mL) and  3,5-diformyl -2,6-dihydroxytoluene 6 (37 mg, 0.20  mmol) was added . The tube was purged with argon and the yellow solution was heated  on a hot plate (220 ¡ãC set temperature) for 28 days. After cooling to  room temperature the or ange crystalline material was separated by decantation and washed with fresh N,N-dimethylacetamide (20 mL) and dry diethyl ether (20  mL) and dried under an argon stream as well as in vacuo  to obtain 2cr1 in 53% yield (38 mg, 18 ¦Ìmol) as orange microcrystal s. Melting point: T > 410 ¡ãC. 13C-CP-MAS NMR: (126 MHz, rotational frequency: 10 kHz) ?? = 163.9, 155.4, 143.7, 132.9, 123.2, 109.5, 54.3, 5.5   ppm. HRMS (LDI -TOF+): [M+H]+: m/z calcd.",comprehensive synthesis
"To obtain 2cr2,[21] triaminotriptycene 4 (110 mg, 0.37 m mol) was dissolved in dry N,N-dimethylformamide (52 mL) and 3,5-diformyl -2,6-dihydroxytoluene 6 (99 mg, 0.55 mmol) and trifluoroacetic acid (0.81 mL, 0.01 mol L-1 in dry N,N-dimethylformamide)  was added. T he resulting yellow solution was stirred under argon atmosphere at 110 ¡ãC for 4 days.",comprehensive synthesis
"After  cooling to room temperature, the obtained suspension was filtered  through a frit funnel  and the orange residue was washed with dry N,N-dimethylformamide (15 mL) and dry diethyl ether (5 mL) a nd immersed  in dry diethyl ether. On a daily basis the liquid phase was exchanged with dry diethyl ether over 5 days. After drying in vacuo  [4+6] -exo cage 2cr2 was obtained as orange microcrystalline solid in 80% yield (151 mg, 73 ¦Ìmol).",comprehensive synthesis
