content,category
"a Instituto de Productos Naturales y Agrobiolog¨ªa, Consejo Superior de Investigaciones Cient¨ªficas (IPNA -CSIC), Avda. Astrof¨ªsico Francisco S¨¢nchez, 3, 38206 La Laguna, Tenerife, Spain  b Doctoral and Postgraduate School, University of La Laguna, Avda. Astrof ¨ªsico Francisco S¨¢nchez, 38203 La Laguna, Tenerife, Spain  c Instituto Universitario de Bio -Org¨¢nica ¡°Antonio Gonz¨¢lez¡±, Universidad de La Laguna, Avda. Astrof¨ªsico Francisco S¨¢nchez, 2, 38206 La Laguna, Tenerife, Spain   *Email: adaranas@ipna.csic.es ; tmartin@ipna.csic.es       S2  Table of Contents  1. General Methods  ................................ ................................ ...........................  S3 2. Abbreviations  ................................ ................................ ................................  S4 3. Synthesis of Building Blocks  ................................ ................................ ...........  S5 4. NMR Spectra  ................................ ................................ ...............................  S18 5. Synthesis and Characterization of Tetrahedral Cages  ................................ ... S41 6. Yield quantification  ................................ ................................ .....................  S63 7. DOSY Experiments and Volume Approximation  ................................ ............  S67 8. Computational Calculations  ................................ ................................ .........  S76 8.1 Volume calculation of precursors and cages  ................................ .....................  S76 8.2 DFT-optimized structures of tripodal buildin g blocks  ................................ ........  S79 8.3 DFT-optimized structures of tetrahedral cages  ................................ .................  S81 8.4 Boltzmann distribution of tripods 2a and 2b  ................................ .....................  S87 8.5 Molecular dynamics ................................ ................................ .........................  S89 8.6 Coordinate Scans  ................................ ................................ .............................  S94 9. Crystallographic Data  ................................ ................................ ..................  S97 10. Cartesian coordinates and Energies of molecular models based on force field calculations  ................................ ................................ ................................ ........  S101 11. Cartesian Coordinates and Energies of DFT optimized structures  ................  S123 12. References  ................................ ................................ ................................ . S149      S3 1. General Methods  All reactions were performed under N 2 atmosphere in oven -dried glassware with magnetic stirring . For all reactions requiring heat, heated magnetic stirrers were used as a heat source, and Heat -On blocks were used to transfer heat to the round bottom flasks.",affiliation
"Detailsforexperimental proceduresforthesynthesisandcharacterization ofthelinearandtripodbuildingblocks,synthesisandcharacterization ofthetetrahedralcages,NMRspectra,DOSYexperiments, molecularmodeling,andcrystallographic data(PDF)AccessionCodesCCDC2124239(compound 2a)and2124240(compound2b)containthesupplementary crystallographic dataforthispaper.Thesedatacanbeobtainedfreeofchargeviawww.ccdc.cam.ac.uk/data_request/cif, orbyemailingdata_request@ccdc.cam.ac.uk, orbycontactingTheCambridgeCrystallographic DataCentre,12UnionRoad,CambridgeCB21EZ,U.K.;fax:+441223336033.",CCDC
"Deposition numbers 2124239 (compound 2a) and 2124240 (compound 2b) contain the supplementary crystallographic data for this paper. These  data can be obtained free of charge via  http://www.ccdc.cam.ac.uk/data_request/cif , or by emailing data_request@ccdc.cam.ac.uk , or by contacting The Cambridge Crystallographic Data Centre, 12 Union Road, Cambridge CB2 1EZ, UK; fax: +44 1223 336033.",CCDC
"S4 2. Abbreviations   MALD I: matrix assisted laser desorption ionization  ESI: electro -spray ionization  ApCi: atmospheric pressure chemical ionization  TOF : time of flight  MS: mass spectrometry  TCE : 1,1,2,2, -tetrachloroethane  NMR : nuclear magnetic resonance  CDCl 3: deuterated chloroform  DCTB : trans -2-[3-(4-tert-Butylphenyl) -2-methyl -2-propenylidene]malononitrile  TFA : trifluoroacet ate HR: high -resolution  DOSY : diffusion -ordered spectroscopy  DFT: density functional theory  HF: Hartree -Fock  MM: molecular modeling  FF: force field   S5 3. Synthesis of Building Blocks     1,3,5 -tripentylbenzene.  According to the literature procedur e,1 a solution of pentylmagnesium bromide prepared from magnesium turnings (883 mg, 36.6 mmol) and pentyl bromide (3.0 mL, 24.3 mmol) in anhydrous diethyl ether (24.0 mL) was added at dropwise to a solution of 1,3,5 -trichlorobenzene (708 mg, 3.9 mmol) and NiC l2(dppe) (20.6 mg, 39.0 ¦Ìmol) in anhydrous diethyl ether (8.0 mL). The resulting mixture was heated to reflux overnight. Upon completion, the reaction was quenched with aqueous 1N HCl (10 mL), diluted with water and the organic phase was extracted with CH 2Cl2.",comprehensive synthesis
"1,3,5 -tris(chloromethyl) -2,4,6 -tripentylbenzene . Following the literature procedure ,1 1,3,5 -tripentylbenzene (1.5 g, 5.20 mmol, 1.0 equiv.) was dissolved in 10 mL anhydrous CH 2Cl2 (0.5 M) and MOMCl (5.92 mL, 78.0 mmol, 15.0 equiv.) was added. The resulting mixture was cooled to -78 ¡ãC and a 1.0 M solution of SnCl 4 in CH 2Cl2 (62.4 mL, 62.5 mmol, 12.0 equiv.) was added dropwise. The reaction mixture was stirred 20 minutes at -78 ¡ãC and subsequently allowed to reach room temperature and stirred overnight. Upon completion, the reaction was carefully quenched with water and extracted with CH 2Cl2.",comprehensive synthesis
"Purification by column chromatography (CH 2Cl2/Hexane = 5/95) gave the product as a white, wax-like solid (830 mg, 37 %).",comprehensive synthesis
"S6  4,4',4'' -(((2,4,6 -Tris(chloromethyl)benzene -1,3,5 -triyl)tris(methylene))tris(oxy))tris -(pentylbenzene) . 1,3,5 -Tris(bromomethyl) -2,4,6 - tris(chloromethyl) benzene (3.0 g, 5.97 mmol, 1.0 equiv.) along with 4 -pentylphenol  (3.24 g, 3.37 mL, 19.71 mmol, 3.3 equiv.) were dissolved  in dry THF (200 mL, 0.03 M) at 70 ¡ãC and anhydrous potassium carbonate (4.95 g, 35.8 mmol) was added. The reaction mixture was stirred at that temperature for 10 days. The reaction mixture was poured into water (400 mL) and extracted with dichloromethane.  The combined organic solutions were dried over Na 2SO 4, and the resulting solution was concentrated and purified by column chromatography  on silica gel ( CH 2Cl2/Hexane = 80/20 to 40/60 ), yielding the 4,4',4'' -(((2,4,6 -tris(chloromethyl)benzene -1,3,5 -triyl)t ris(methylene))tris(oxy))tris -(pentylbenzene) (1.76 g, 39 % yield) as a white solid.",comprehensive synthesis
"S49 Tetrahedral cage Tb   Tetrahedral cage (T b). General procedure A was applied to triboronic acid precursor 3b (9.5 mg, 16.8 ¦Ìmol, 1.0 equiv. ), benzene -1,2,4,5 -tetraol ( THB ) (3.6 mg, 25.3 ¦Ìmol, 1.5 equiv. ) using 3.4 mL anhydrous CDCl 3 (0.005 M) with H 2O (1.8 ¦ÌL, 101.1 ¦Ìmol, 6.0 equiv. ). The product formed after 3 days with an average yield of 38 ¡À 2 %. (See Chapter 6 for details).",comprehensive synthesis
"Purification of Tb was carried out by size -exclusion chromatography using a Ultrastyragel ? 500? (19x300mm) column on a Waters 600 E with UV detection  at 254 nm and CH 2Cl2 as solvent. The fractions containing the product were joined and the volume was reduced to approx. 1 m L by rotary evaporation. 2 m L of CCl 4 were added and the volume was reduced to approx. 0.5 m L. This procedure was repeated for a total of five times. In the last cycle, CDCl 3 was employed instead of CCl 4 and the solution was directly used for NMR spectroscopy.",comprehensive synthesis
"S54 Tetrahedral cage T c     Tetrahedral cage (T c). General procedure A was applied to triboronic acid precursor 3c (10.1 mg, 10.0 ¦Ìmol, 1.0 equiv. ), benzene -1,2,4,5 -tetraol ( THB ) (2.1 mg, 15.0 ¦Ìmol, 1.5 equiv. ) using 2.0 mL anhydrous CDCl 3 (0.005 M) with H 2O (1.1 ¦ÌL, 60.0 ¦Ìmol, 6.0 equiv. ). The product formed after 2 days with an average  yield of 82 ¡À 2% (See Chapter 6 for details ).",comprehensive synthesis
