content,category
"[a]Dr.M.A.Little, Dr.S.Y.Chong, T.Hasell, Dr.M.E.Briggs, Prof. A.I.Coope rDepar tment ofChem istry and Materi alsInnov ation Factor yUniversi tyofLiver pool ,Crown Street, Liverpool, L697ZD (UK)E-mail :mebrig gs@liverpo ol.ac.ukaicoope r@liverpo ol.ac.u k[b]Dr.P.S.ReissGreen Chemist ryCentre ofExcellen ceDepar tment ofChem istry,University ofYorkHeslin gton, York,YO10 5DD (UK)[c]V.Santoli ni,Dr.K.E.JelfsDepar tment ofChem istry,Imperi alCollege Lond onSout hKensingto n,London, SW7 2AZ (UK)Supportin ginformat ionforthisarticle isavailab leontheWWW underhttp://dx.doi.or g/10.10 02/chem.20 1603593.",affiliation
"Single crystal X-ray data forCC16 -Rwas measured atbeamline I19,Diamond Light Source, Didcot, UKusing silicon double crystalmonochromated synchrotron radiation (l=0.6889 /C138,RigakuSaturn724 +detector) ;[23]forCC17 -RonaBruker D8Venture Ad-vance diffract ometer equipped with anImSmicrofocus source (Cu每Ka radiation, l=1.54178 /C138,K appa 4-circle goniometer ,PHOTON1 00CMOS detector) ;andforCC18 -Satbeamline 11.3.1,Advanced Light Source, Berkeley ,USAusing silicon monochromat-edsynchrotron radiation (l=0.7749 /C138,PHOT ON100 CMOS detec-tor). Solvated single crystals, isolated from the crystallization sol-vent, were immersed inprotective oil,mounted onaM iTeGenloop, and flash cooled under adrynitrogen gasflow.Empirical ab-sorption corrections, using themulti-scan method, were performedwith the program SADABS.[24]Structures were solved withSHELXD,[25]SHELXT ,[26]orbydirect methods using SHELXS,[27]andreined byfull-matrix least squares on jFj2bySHELXL,[28]interfacedthrough OLEX2.[29]CCDC 1481844, 1481845, and 1481846 forCC16 ,CC17 ,andCC18 ,respectively ,contain thesupplementary crystallo-graphic data forthis paper .These data areprovided free ofchargebyThe Cambridge Crystallographic Data Centre.",CCDC
"Formula  (CC16 -R)? (CH 2Cl2)0.5?(H2O)3.5 (CC17 -R)? (CH 3OH)13.75?(H2O)10.5 (CC18 -S)? (CH 2Cl2)16.3?(C3H6O)16.3[a] Crystalli zation Solvent  CH 2Cl2 EtOAc  MeOH  CH 2Cl2 Acetone  Wavelength [?]  0.6889  1.54178  0.7749  Collection Temperature  100 K  100 K  100 K  Formula  C84.50H120ClN 12O3.50 C85.75H160N12O36.25 C329.2H322.4Cl16.3N24O32.7 Mr [g mol-1] 1395.37  1939.25  5715.93  Crystal Size [mm]  0.08 x 0.05 x 0.05  0.37 x 0.24 x 0.16  0.21 x 0.17 x 0.16  Crystal System  Cubic  Tetragonal  Trigonal  Space Group  F4132 P43212 P321 a [?] 26.295(7)  20.4170(14)  31.0991(13)  c [?] - 56.059(4)  26.2844(13)  V [?3] 18181(14)  23368(4)  22015(2)  Z 8 8 2 Dcalcd [g cm-3] 1.020  1.102  0.862  米[mm-1] 0.083  0.716  0.158  F(000)  6048  8388  6009  2牟 range [～]  2.60 每 44.96  5.35 每 149.31  4.36 每 45.65  Reflections collected  10123  237628  74501  Independent reflections, Rint 1109, 0.0647  23909 , 0.0460  15344, 0.0461  Obs. Data [ I > 2考(I)] 816 22528  7924  Data /  restraints /  parameters  1109 / 93 / 146  23909  / 13 / 1208  15344 / 843 / 769  Final R1 values ( I > 2考(I)) 0.1127  0.0816  0.0698  Final R1 values (all data)  0.1371  0.0843  0.1054  Final wR(F2) values (all data)  0.2992  0.2334  0.2125  Goodness -of-fit on F2 2.034  1.056  0.875  Largest difference peak and hole [ e.A-3] 0.385 / -0.184  0.718 / -0.537  0.126 / -0.185  CCDC  1481844  1481845  1481846  [a] Structure refined with solvent mask that was calculated using the SQUEEZE routine in Platon.[5]     8.1 Single Crystal Data for CC16  (CC16 -R)?(CH 2Cl2)0.5?(H2O)3.5 crystalli zed from CH 2Cl2-ethyl acetate in the chiral cubic space group F4132. In the crystal structure , CC16 -R is disorder ed over two positions ( Figure S21c) and site occupancies for the disordered parts were determined using a free variable. Single crystals of CC16  were very small and weakly diffracting  (PLAT089_ALERT_3_B ) and synchrotron radiation was therefore required for structure solution. During refinement , a  0.9 ? resolution limit was applied (THETM01_ALERT_3_B ), and a rigid-bond  restraint was used  (RIGU in SHELX). In addition, 1, 2 and 1,  3 bond distance restraints (D FIX and DANG in SHELX), and a planarity restraint  (FLAT in SHELX)  were used during refinement.",CCDC
"Synthe ticprocedures(1R,2R,4S,5S)-4,5-Bis(( tert-butyldimethylsilyl)ox y)-N,N＊-bis(( S)-1-phenylethyl)cyclohexane-1,2-diamine (6):[19]Asolution oftert-bu-tyldimethylsilyl chloride (0.86 g,5.71 mmol) inCH2Cl2(2mL) wasadded toacooled solution of5(0.81 g,2.28 mmol) and imidazole(0.39 g,5.73 mmol) inCH2Cl2(6mL). The reaction mixture wasstirred atroom temperature for16h.After this time, water (8mL)was added. The organic phase was isolated and the aqueousphase extracted with CH2Cl2(3/C14815mL). The organic phases werecombined and washed with water (15mL) and asaturated solutionofsodium hydrogen carbonate (15mL), dried over anhydrous mag-nesium sulfate, filtered, and the filtrate concentrated todrynessunder vacuum toafford thecrude product asawhite solid. Thiswas purified bycolumn chromatography (hexane/ethyl acetate,93:7to50:50) toyield 6asawhite solid (1.18 g,2.02 mmol, 89%).",comprehensive synthesis
"(1R,2R,4S,5S)-4,5-Bis(( tert-butyldimethylsilyl)oxy)cyclohexane-1,2-diamine (7):Toanautoclave under anitrogen atmosphere wasadded 20%p alladium hydroxide oncarbon (0.81 g),6(2.00 g,3.43 mmol) and methanol (145 mL). The reaction mixture wasstirred vigorously atroom temperature under hydrogen at10atmpressure for72h.After this time, thereaction mixture was filteredthrough Whatman Microfibre GF/F filter paper and theautoclaverinsed with methanol. The rinses and filtrate were combined andconcentrated todryness under vacuum toyield 7asacolourlessoil(1.27 g,3.39 mmol, 99%).1HNMR(400 MHz, CDCl3)d=3.48 (m,2H,CH/C0O),2.35 (m,2H,CH2),1.99 (m,2H,CH/C0NH2),1.26 (m,2H,CH2),0.89 (s,18H,CH3),0.08 (s,6H,CH3),0.06 ppm (s,6H,CH3);13CNMR (100.6 MHz, CDCl3)d=74.5, 55.2, 41.1, 26.2, 18.2,/C03.8,/C04.6ppm ;FT-IR(neat): v?=2952, 2928, 2856, 1578, 1472, 1388,1360, 1250, 1104,1065, 1005 cm/C01;MS(ESI): m/z:375[M++H]+.",comprehensive synthesis
"CC16 :Toasolution of(1R,2R,4R,5R)-4,5-dimethylcyclohexane-1,2-diamine dihydrochloride (0.58 g,2.70 mmol) inmethanol (15mL)was added triethylamine (0.55 g,5.44 mmol) and theresulting so-lution was stirred for20min. After this time, thesolution was lay-ered slowly using aPasteur pipette onto asuspension ofTFB(0.28 g,1.73 mmol) inCH2Cl2(12mL). The reaction mixture wassealed and left standing atroom temperature for5d.After thistime, thevolume ofthehomogeneous, green reaction mixture wasreduced under vacuum (<20 8C)until precipitation was induced.",comprehensive synthesis
"The white precipitate was isolated byvacuum filtration, washedwith methanol (2/C1485mL)and dried under vacuum toyield CC16 asapowdery white solid (0.44 g,0.34 mmol, 79%).1HNMR(400 MHz,CDCl3)d=8.16 (s,12H,CH=N),7.89 (s,12H,ArH),3.54 (m,12H,CH/C0N),2.12 (m,12H,CH2),1.83 (m,12H,CH2),1.30 (m,12H,CH/C0CH3),1.19 ppm (d,36H,CH3);13CNMR (100.6 MHz, CDCl3)d=159.6, 136.0, 129.5, 69.4, 32.8, 32.7, 19.5 ppm ;FT-IR(neat): v?=2960,2922, 2875, 1647, 1457, 1376, 1156,1099, 1001, 961cm/C01;MS(MALDI-TO F,dithranol): m/z:1286 [M++H]+;elemental analysiscalcd. (%)forC84H108N12:C78.46, H8.47,N13.07;found :C73.62, H8.33, N12.17.",comprehensive synthesis
"CC17 :Route 1.Toasuspension of(1S,2S,4R,5R)-4,5-diaminocyclo-hexane-1,2-diol dihydrochloride (0.40 g,1.83 mmol) inmethanol(40mL) was added triethylamine (0.37 g,3.65 mmol) and the re-sulting solution was stirred for20min. After this time, thesolutionwas layered slowly using aPasteur pipette onto asolution ofTFB(0.19 g,1.17 mmol) inmethanol (40mL). The reaction mixture wassealed and leftstanding for4d.After this time, both amorphousand crystalline precipitate was observable. The reaction mixturewas concentrated todryness under anitrogen flow,atwhich pointthecrude solid was washed with aCH2Cl2每methanol mixture (95:5,2/C14810mL), isolated byfiltration and then dried under vacuum toyield thecrude product asabrown solid (0.36 g).Separate sampleswere combined, with thecrude product dissolved inDMSO每meth-anol (2:1,24mL), and the resulting solution was syringe filtered(0.45 mm)and purified bypreparative HPLC. The product-contain-ingfractions were concentrated todryness under vacuum toyieldCC17 asapowdery white solid (0.11g,0.08mmol, 17%).Route2.[20]With stirring, TBAF (1minTHF,0.90mL, 0.90 mmol) wasadded dropwise toacooled solution ofCC19 (0.10 g,0.04 mmol)inTHF (12mL). After stirring atroom temperature for24h,there-action mixture was quenched with 1mNH4Cl(1.5mL) and theTHFwas removed under vacuum (<20 8C)toleave awhite suspension.",comprehensive synthesis
"This was transferred toaCorning/C24Spin-X/C24UFcentrifugal concen-trator (30KM WCO) and the white precipitate was successivelywashed with awater每acetonitrile mixture (95:5,12mL) and water(3/C14812mL). The collected white solid was suspended inaminimumamount ofwater and then freeze-dried for2d toyield CC17 asapowdery white solid (0.03 g,0.02 mmol, 61%).1HNMR(400 MHz,[D6]DMSO) d=8.23 (s,12H,CH=N),7.82 (s,12H,ArH),4.79 (br.s,12H,CH/C0OH), 3.44 (m,24H,CH/C0N+CH/C0OH),1.68 ppm (m,24H,CH2);13CNMR (100.6 MHz, [D7]DMF ,)d=160.3, 137.9, 130.1, 74.3,73.6, 40.2 ppm ;FT-IR(neat): v?=3358, 2929, 2866, 1646, 1449, 1378,1325, 1160, 1110,1037, 1007, 919, 696cm/C01;MS(MALDI-TO F,DCTB): m/z:1310 [M+H]+;elemental analysis calcd (%) forC72H84N12O12:C66.04, H6.47, N12.84 ;found :C59.64, H6.63, N11.15.",comprehensive synthesis
"CC18 :Asolution of4(0.25 g,1.06 mmol) inCH2Cl2(20mL) wasadded slowly using aPasteur pipette onto asolution ofTFB(0.11g,0.68mmol) and acatalytic amount oftrifluoroacetic acid inCH2Cl2(20mL). The reaction mixture was sealed and leftstandingatroom temperature for7d.After this time, asmall amount ofwhite precipitate was observable. With stirring, the reaction mix-ture was diluted with CH2Cl2(40mL) and quenched with excesssodium hydrogen carbonate. The suspension was filtered undervacuum and the filtrate reduced toavolume of10mL undervacuum (<20 8C).Acetone (20mL) was added and the reactionmixture stirred under icefor20min toleave awhite turbid solu-tion. This was reduced toavolume of10mLunder vacuum (<20 8C)and the precipitate was isolated byvacuum filtration,washed with cold acetone (2/C1485mL)and dried under vacuum toyield CC18 asapowdery white solid (0.10 g,0.03 mmol, 32%).",comprehensive synthesis
"CC19 :Asolution of7(0.64 g,1.71 mmol) inCH2Cl2(30mL) wasadded slowly viaPasteur pipette onto asolution ofTFB (0.18 g,1.11mmol) inCH2Cl2(35mL) and leftstanding atroom tempera-ture for7d.After this time, awhite precipitate was observable.",comprehensive synthesis
"1.2 Syntheses  N,N'-Bis-((S)-1-phenylethyl )ethane -1,2-diimine[1]   A mixture of glyoxal trimer dihydrate (2.13 g, 10.2 mmol), anhydrous magnesium sulfate (4.60 g) and ( S)-1-phenylethylamine (2.46 g, 20.3 mmol) in anhydrous CH 2Cl2 (20 mL) was stirred under a nitrogen atmosphere at rt for 7 h. The yellow reaction mixture was filtered and the filtrate was concentrated to dryness under vacuum to yield the desired product  as a yellow oil (2.69 g,  10.2 mmol,  100%).",comprehensive synthesis
"(4R,5R)-N,N'-Bis((S)-1-phenylethyl)octa -1,7-diene -4,5-diamine    With stirring, zinc powder (3.29 g, 50.3 mmol) was heated for 5 min at 150 ～C under a nitrogen atmosphere. Once cooled to rt, anhydrous tetrahydrofuran (THF, 15 mL) and allyl bromide (2.73 g, 22.6 mmol) were added and the reaction mixture stirred for 2 h. After this time, stirring was stopped and excess zinc powder allowed to deposit on the bottom of the flask. The allylzinc bromide soluti on was decanted using a syringe and added dropwise via syringe pump over 20 min to a stirred solution of N,N'-bis-((S)-1-phenylethyl )ethane -1,2-diimine  (1.99 g, 7. 53 mmol) in anhydrous THF (20 mL) at -78 ～C under a nitrogen atmosphere. The reaction mixture  was stirred for a further 1.5 h and quenched with a solution obtained by mixing 1 M NH 4Cl (6 mL) and 30 % NH 4OH (6 mL). The organic phase was isolated and the aqueous phase extracted with ethyl acetate (3 ℅ 30 mL). The organic phases were combined, dried o ver anhydrous magnesium sulfate, filtered and the filtrate concentrated to dryness under vacuum to afford the crude product as an orange solid. This was purified by column chromatography (hexane -ethyl acetate, 95:5 to 80:20) to yield the desired product  as a crystalline white solid (1.82 g,  5.22 mmol , 69%).",comprehensive synthesis
"(1R,2R,4R,5R)-4,5-Dimethyl -N,N'-bis(( S)-1-phenylethyl)cyclohexane -1,2-diamine  dihydrochloride[2]    To a mixture of bis -(cyclopentadienyl)zirconium (IV) dichloride (0.36 g, 1.23 mmol) and anhydrous diethyl ether (110 mL) was added n-butylmagnesium chloride (2 M in diethyl ether, 15.1 mL, 30.3 mmol). With stirring, the reaction mixture was stirred at rt  under a nitrogen atmosphere for 30 min. After this time, a solution of  (4R,5R)-N,N'-bis((S)-1-phenylethyl)octa -1,7-diene -4,5-diamine  (2.11 g, 6.05 mmol)  in anhydrous diethyl ether (10 mL) was added dropwise via syringe pump over 15 min and the resulting mixture was stirred for 48 h. The reaction was then quenched with a saturated solution of ammonium chloride (60 mL). The organic layer was separated and the aqueous layer was extracted with diethyl ether (3 ℅ 60 mL). The combined organic layers were washed  with brine (120 mL), dried over anhydrous magnesium sulfate, filtered and the filtrate concentrated to dryness under vacuum to afford the crude product as a yellow oil. This was purified by column chromatography (hexane -ethyl acetate, 95:5 to 80:20) to af ford a pale yellow oil (1.59 g).",comprehensive synthesis
"This was  then dissolved in CH 2Cl2 (5 mL) and HCl (4 M in dioxane, 2.38 mL, 9.53 mmol) was added dropwise. After stirring at rt  for 30 min, the resultant white precipitate was isolated by filtration and dried under vacuum to yield the desired product  as a powdery white solid  (1.65 g,  3.90 mmol,  64%).",comprehensive synthesis
"(1R,2R,4R,5R)-4,5-Dimethylcyclohexane -1,2-diamine  dihydrochloride    To an autoclave under a nitrogen atmosphere was added (1R,2R,4R,5R)-4,5-dimethyl -N,N'-bis((S)-1-phenylethyl)cyclohexane -1,2-diamine dihydrochloride  (0.96 g, 2. 27 mmol) , 20% palladium hydroxide on carbon (0.3 2 g) and methanol (75 mL). The reaction mixture was stirred vigorously at rt under hydrogen  at 8 atmospheres pressure for 48 h. After this ti me, the reaction mixture was filtered through Whatman Microfibre GF/F filter paper and the autoclave rinsed with methanol. The rinses and filtrate were combined and concentrated to dryness under vacuum to yield the desired product  as a yellow -green solid (0.48 g , 2.23 mmol,  98%).",comprehensive synthesis
"(4R,5R)-N,N'-Bis((S)-1-phenylethyl)octa -1,7-diene -4,5-diamine  dihydrochloride    With stirring, HCl (2 M in diethyl ether, 7.01 mL, 14.0 mmol) was added to a solution of  (4R,5R)-N,N'-bis((S)-1-phenylethyl)octa -1,7-diene -4,5-diamine  (2.33 g, 6. 69 mmol) in CH 2Cl2 (8 mL), resulting in the precipitation of a white solid. After stirring at rt for 30 min, the reaction mixture was concentrated to dryness under va cuum to yield the desired product  as a powdery white solid (2.81 g,  6.67 mmol,  100%).",comprehensive synthesis
"(1R,2R)-N,N'-Bis((S)-1-phenylethyl)cyclohex -4-ene-1,2-diamine[3]   A solution of (4R,5R)-N,N'-bis((S)-1-phenylethyl)octa -1,7-diene -4,5-diamine dihydrochloride  (1.49 g, 3. 54 mmol) in anhydrou s CH 2Cl2 (35 mL) was degassed for 15 min with nitrogen gas, then Grubbs 2nd Generation catalys t (0.12 g, 0.14 mmol) was added  and the reaction mixture was degassed for a further 5 min. The reaction mixture  was stirred under reflux for 3 h under a nitrogen atmosphere. After this time, the reaction mixture was allowed to cool to rt and concentrated to dryness under vacuum to leave a brown solid. The residue was re -dissolved in water (40 mL), basified with 1 M NaOH and extracted with CH 2Cl2 (3 ℅ 50 mL).",comprehensive synthesis
"The organic phases were combined, dried over anhydrous magnesium sulfate, filtered and the filtrate concentrated to dryness under vacuum to afford the crude product as a brown solid. This was purified by column chromatography (hexane -ethyl acetate, 95:5 to 80:20) to yield the desired product  as a white solid (1.01 g,  3.15 mmol,  89%).",comprehensive synthesis
"(1S,2S,4R,5R)-4,5-Bis(((S)-1-phenylethyl)amino)cyclohexane -1,2-diol[4]   TFA (4.27 g, 37.5 mmol) and then mCPBA (1.72 g, 7.49 mmol) were added to a solution of  (1R,2R)-N,N'-bis((S)-1-phenylethyl)cyclohex -4-ene-1,2-diamine  (1.20 g, 3.74 mmol) in anhydrous CH 2Cl2 (6 mL). After stirring at rt for 4 h, a white precipitate had formed . The reaction mixture was quenched with a saturated solution of sodium sulfite  (20 mL) and stirred for 10 min, at  which point THF (20 mL) and 20 % w/v Na 2CO 3 (aq) (50 mL) were added and the reaction mixture stirred for a further 2 h. After this time, the reaction mixture was extracted with ethyl acetate (3 ℅ 80 mL) and the organic la yers were combined and washed with 1 M NaOH (2 ℅ 100 mL), dried over anhydrous magnesium sulfate, filtered and the filtrate concentrated to dryness under vacuum to afford the crude product as a white solid.",comprehensive synthesis
"This was purified by column chromatography (ethyl  acetate -methanol, 100:0 to 85:15) to yield the desired product  as a flaky white solid (0.92 g,  2.60 mmol,  70%).",comprehensive synthesis
"(1S,2S,4R,5R)-4,5-Bis(((S)-1-phenylethyl)amino)cyclohexane -1,2-diol dihydrochloride    With stirring, HCl (2 M in diethyl ether, 5.16 mL, 2.58 mmol) was added to a solution of  (1S,2S,4R,5R)-4,5-bis(((S)-1-phenylethyl)amino)cyclohexane -1,2-diol (0.87 g, 2. 45 mmol) in methanol (4 mL), resulting in the precipitation of a white solid. After stirring at rt for 30 min, the reaction mixture was concentrated to dryness under vacuum to yield the desired product  as a powdery white solid (1.02 g,  2.39 mmol,  98%).",comprehensive synthesis
"(1S,2S,4R,5R)-4,5-diaminocyclohexane -1,2-diol dihydrochloride    To an autoclave under a nitrogen atmosphere was added (1S,2S,4R,5R)-4,5-bis(((S)-1-phenylethyl)amino)cyclohexane -1,2-diol dihydrochloride  (0.75 g, 1.75 mmol) , 20% palladium hydroxide on carbon (0.61 g ) and methanol (60 mL). The reaction mixture was stirred vigorously at rt under hydrogen  at 8 atmospheres pressure for 48 h. After this time, the reaction mixture was filtered through Whatman Microfibre GF/F filter paper and the autoclave rinsed with water and methanol. The rinses and filtrate were combined and concentrated to dryness under vacuum to yield  the desired product  as a brown solid (0.38 g,  1.73 mmol,  99%).",comprehensive synthesis
"Nitrog ensorption meas ureme ntsforCC16 at77Kand1barshowe da TypeIisother mw ith atotal gas upta keof20.03 mmol g/C01and an apparent BET surface area of1023 m2g/C01;that is,more than double the surfac eareaob-served forhighly crystal lineCC3 (Table 1).[3]The increa seinsur-face area and overall N2and H2uptakes forCC16isaconse-quenc eoftheperiphe ralmethy lgroups, which generate extraaccessi blespace betwe enthecage molec ules.",surface area
"Howev er,inthecrystal line state, more sterica llydeman dingperiphe ralsubstitu ents imparted aloweraccessible surfac earea. Despi tebecoming amorpho usupon desolv ation, hydrox-yl-sub stituted CC17 displayed at otal N2upta ke of7.06 mmo lg/C01and anapparent BETsurfac eareaof423m2g/C01(Table 1).This surfac eareaislower than foramorp housCC3.[3]This could beaconsequence ofhydro gen bonding betwe enthe hydroxyl groups ,which maypromote adenser packing,rathe rthan generat ingadditional extrins icporos ity.CC17 ad-sorbs less CO2than CC3,even though the polar hydro xylgroups might beexpected topromote theadsorption ofacidicCO2molecules, asdemo nstrated previou slybySchneider etal.,who showed that capping interi orhydro xyl groups withmeth ylgroups resulted inareduction inCO2uptake intheircage materia l.[15]ForCC17 ,itispossible that CO2cannot gainaccess tothe polar groups. Nitroge nsorption measu reme ntsforCC18 at77Kand1barmirror edthe findings forotherlarge imine cages :itwasnon-poro ustoN2,consisten twiththecollapse ofthe cage structu reupon desolva tion (Figure 3).",surface area
"SABET[m2g/C01]N2[mmol g/C01]H2[mm olg/C01]C O2[mmol g/C01]77K 77K 77K 273KCC3[3 ]4 09 4.50 5.00 2.01CC16 1023 20.03 5.92 2.00CC17 423 7.06 4.15 1.81CC18 10 0.45 2.61 1.03Figu re3.N2adso rptionisotherm sforCC3 and enantio merically pure CC16每CC18at77Kand1bar.Adsorpti onand desorptio nisotherms arerepre sent-edbyclosedand opensymb ols,respectively.",surface area
