content,category
"Here, wedescribe thesynthesis and characterization ofsoluble congeners ofcages1每3andinvestigations oftheimineexchange reactions withtheir deuterated derivatives.[a]M.Holsten, S.Feierabend, Dr.S.M.Elbert, Dr.F.Rominger, Dr.T.Oeser,Prof. Dr.M.MastalerzOrganisch-Chemisches InstitutRuprecht-Karls-Universit?t HeidelbergImNeuenheimer Feld 270, 69120Heidelberg (Germany)E-mail: michael.mastalerz@oci.uni-heidelberg.deSupporting information forthis article isavailable onthe WWW underhttps://doi.org/10.1002/chem.202100666?2021 The Authors. Chemistry -AEuropean Journal published byWiley-VCH GmbH. This isanopen access article under theterms oftheCreativeCommons Attribution Non-Commercial NoDerivs License, which permits useand distribution inany medium, provided theoriginal work isproperly cited,theuseisnon-commercial and nomodifications oradaptations aremade.",affiliation
"Deposition Number(s) 2060523 (5),2060524 (6),2060525 (12),2060526 (11), and 2060527 (13) contain thesupplementarycrystallographic dataforthispaper. These dataareprovided freeofcharge bythejoint Cambridge Crystallographic Data Centre andFachinformationszentrum Karlsruhe Access Structures servicewww.ccdc.cam.ac.uk/structures.",CCDC
"Figure S 133. GPC  chromatogram of tert-butylated [4+6] -endo  cage 14 after stirring with molecular sieves (3 ?) and  filtration through Celite . S112  9 Crystallographic Data    CCDC  2060523  Empirical formula  C38H50O3   Formula weight  554.78  Temperature [K]  200(2)  竹(Cu K汐) [?] 1.54178  Crystal system  monoclinic  Space group  P21 Z 2 a [?] 13.9339(12)  b [?] 8.0969(6)  c [?] 14.6140(13)  汐 [～] 90 汕 [～] 100.695(7)  污 [～] 90 Volume [?3] 1620.1(2)  老 (calculated) [mg mm-3] 1.14  米 [mm-1] 0.54 Crystal shape  plate  Crystal size [mm3] 0.057 x 0.041 x 0.012  Crystal colour  colourless  成 range for data collection [～]  3.1 to 69.5  Index ranges  -16 ≒ h ≒ 10, -9 ≒ k ≒ 8, -16 ≒ l ≒ 17  Reflections collected  11486  Independent reflections  4884  (Rint = 0.1139 ) Observed reflections  2824  (I > 2考(I))  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.41 and 0. 73 Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  4884  / 1 / 373 Goodness -of-fit on F2 1.07 Final R indices (I > 2考(I))  R1 = 0.073, wR 2 = 0.122 Largest diff. peak and hole [e ?-3] 0.24 and -0.25  Resolution [?]  0.82   Figure S 134. X-ray crystal structure of compound 5. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, red: oxygen. Crystals were obtained via slow evaporation of a 5 containing CDCl 3 solution in an NMR tube at room temperature.  S113    CCDC  2060524  Empirical formula  C58H85B3Cl6O9   Formula weight  1171.39  Temperature [K]  200(2)  竹(Mo K汐) [?] 0.71073 ?  Crystal system  triclinic  Space group  P1? Z 2 a [?] 12.652(4)  b [?] 12.778(4)  c [?] 22.927(7)  汐 [～] 77.132(8)  汕 [～] 79.236(8)  污 [～] 60.982(7)  Volume [?3] 3146.4(17)  老 (calculated) [mg mm-3] 1.24  米 [mm-1] 0.32 Crystal shape  polyhedron  Crystal size [mm3] 0.200 x 0.110 x 0.080  Crystal colour  colourless  成 range for data collection [～]  0.9 to 19.4  Index ranges  -11 ≒ h ≒ 11, -11 ≒ k ≒ 11, -21 ≒ l ≒ 21  Reflections collected  17297  Independent reflections  5362  (Rint = 0.1292)  Observed reflections  3063 (I > 2考(I))  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  0.96 and 0.66  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  5362 / 1644 / 685  Goodness -of-fit on F2 1.75 Final R indices (I > 2考(I))  R1 = 0.202, wR 2 = 0.491  Largest diff. peak and hole [e ?-3]  0.91 and -0.92 Resolution [?]  1.07     Figure S 135. X-ray crystal structure of compound 6 co-crystallised with two chloroform molecules. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, red: oxygen, pink: boron, green: chlorine. Crystals were obtained via the rmal recrystallization of 6 in ethanol by adding chloroform under reflux conditions.  S114    CCDC  2060526  Empirical formula  C488H488N24O48   Formula weight  7457.00  Temperature [K]  200(2)  竹(CuK汐) [?] 1.54178  Crystal system  triclinic  Space group  P1? Z 2 a [?] 25.1707(5)  b [?] 32.4180(6)  c [?] 40.0124(8)  汐 [～] 85.230(2)  汕 [～] 85.835(2)  污 [～] 71.082(1)  Volume [?3] 30742.8(11)  老 (calculated) [mg mm-3] 0.81  米 [mm-1] 0.41 Crystal shape  brick  Crystal size [mm3] 0.158 x 0.133 x 0.068  Crystal colour  orange  成 range for data collection [～]  2.2 to 49.1  Index ranges  -24 ≒ h ≒ 24, -31 ≒ k ≒ 24, -39 ≒ l ≒ 39  Reflections collected  154010  Independent reflections  59090 ( Rint = 0.0799)  Observed reflections  26500 (I > 2考(I))  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.44 and 0.66  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  59090 / 26804 / 4870  Goodness -of-fit on F2 1.45 Final R indices (I > 2考(I))  R1 = 0.099, wR 2 = 0.281  Largest diff. peak and hole [e ?-3] 0.60 and -0.26 Resolution [?]  1.02    Figure S 136: X-ray crystal structure of [4+4] cube 11. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, blue: nitrogen, red: oxygen. Crystals were obtained via gas phase diffusion of methanol in a solution of [4+4] cube in ethyl acetate at room temperature.  S115    CCDC  2060525  Empirical formula  C210H236N12O24   Formula weight  3312.09  Temperature [K]  200(2)  竹(CuK汐) [?] 1.54178  Crystal system  triclinic  Space group  P1? Z 2 a [?] 23.9115(7)  b [?] 26.0674(8)  c [?] 27.8715(8)  汐 [～] 63.665(2)  汕 [～] 74.083(2)  污 [～] 84.127(2)  Volume [?3] 14968.9(8)  老 (calculated) [mg mm-3] 0.74  米 [mm-1] 0.38 Crystal shape  brick  Crystal size [mm3] 0.136 x 0.106 x 0.100  Crystal colour  orange  成 range for data collection [～]  2.4 to 52.6  Index ranges  -24 ≒ h ≒ 22, -26 ≒ k ≒ 19, -28 ≒ l ≒ 27  Reflections collected  95908  Independent reflections  33955 ( Rint = 0.0498)  Observed reflections  21587 (I > 2考(I))  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.56 and 0.58  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  33955 / 9312 / 2257  Goodness -of-fit on F2 1.37 Final R indices (I > 2考(I))  R1 = 0.112, wR 2 = 0.333  Largest diff. peak and hole [e ?-3] 0.72 and -0.36  Resolution [?]  0.97 Figure S 137. X-ray crystal structure of [4+6] -exo-cage 12. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, blue: nitrogen, red: oxygen. Crystals were obtained via slow solvent evaporation of a solution of 12 in DCM at room temperature.  S116     CCDC  2060527  Empirical formula  C200H224N12O18   Formula weight  3083.90  Temperature [K]  200(2)  竹(CuK汐) [?] 1.54178  Crystal system  triclinic  Space group  P1? Z 2 a [?] 21.9869(7)  b [?] 23.7687(6)  c [?] 29.5082(8)  汐 [～] 78.767(2)  汕 [～] 76.553(2)  污 [～] 63.044(2)  Volume [?3] 13297.5(7)  老 (calculated) [mg mm-3] 0.77  米 [mm-1] 0.39 Crystal shape  brick  Crystal size [mm3] 0.280 x 0.210 x 0.130  Crystal colour  orange  成 range for data collection [～]  2.1 to 51.1  Index ranges  -21 ≒ h ≒ 22, -24 ≒ k ≒ 22, -27 ≒ l ≒ 29  Reflections collected  76777  Independent reflections  28074 ( Rint = 0.0464)  Observed reflections  17341 (I > 2考(I))  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.30 and 0.78  Refinement method  Full-matrix least -squares on F2 Data/restraints/parameters  28074 / 9681 / 2255  Goodness -of-fit on F2 2.37 Final R indices (I > 2考(I))  R1 = 0.135, wR 2 = 0.358  Largest diff. peak and hole [e ?-3] 0.55 and -0.43  Resolution [?]  0.99   Figure S 138: X-ray crystal structure of [4+6] -endo  cage 13. Atoms are illustrated as thermal ellipsoids with 50% probability. Grey: carbon, white: hydrogen, blue: nitrogen, red: oxygen. Crystals were obtained via gas phase diffusion of acetonitrile in a solution of [4+6] -endo  cage in DMF at room temperature.  S117  10 Exchange Experiments  Exchange between [4+4] cubes 11 and 11-d156 In an 8 mL screw -capped vial cage 11 (1.0 mg, 0.3 米mol, 1 eq) and cage 11-d156 (1.0 mg, 0.3 米mol , 1 eq)  were combined under argon atmosphere with 0.49 mL dry DMF and TFA, p -toluidine or water (each 10.29 米L, 0.01 mol L-1 in dry DMF , 0.4 eq ).",CCDC
"Synthe sis of Literature -Known Starting Materials  1,8,13 -Trihydroxytriptycene  and 2,7,14 -Triflormyl -1,8,13 -trihydroxytriptycene  have been synthesised by following the synthesis route described from Elbert et al.[S5] 3,5-Diformyl -2,6-dihydroxytoluene  was synthesi sed by a Duff formylation of 2,6 -dihydroxytoluene.[S6]   S4  2 Experimental Procedures  2.1 Synthesis of 1,8,13 -Trihexyloxy -3,6,15 -triaminotriptycene Derivatives  2.1.1  1,8,13 -Trihexyloxytriptycene  5  According to a modified procedure from Kumano et al. ,[S7] 1,8,13 -trihydroxytriptycene  4 (300 mg, 0.99 mmol ), potassi um carbonate (823 mg, 5.95 mmol ) and N,N-dimethylformamide (10 mL) were stirred for 1 h at 80 ～C. To the emerged brown suspension 1 -bromohexane (0.83 mL, 5.95 mmol ) was added dropwise  and the mixture was stirred for further 21 h at 80 ～C. After cooling down to room temperature water (15 mL) was added to the light brown mixture and the precipitate collected by filtration . The solid was washed with water (2 x 30 mL) and methanol (2 x 5 mL) and  dried in vacuo  to give triptycene 5 in 92% yield (506 mg, 0.91  mmol) as off-white  solid.",comprehensive synthesis
"In an additional experiment TFA (10.29 米L, 0.01 mol L-1 in dry DMF, 0.4 eq) and water (61.8 米L, 0.1 mol L-1 in dry DM F, 24 eq) were used.  The orange solutions were stirred at 150  ～C. After 3 and 7 days aliquots were  analysed by mass spectrometry.",comprehensive synthesis
"Exchange between [4+6] -exo cages 12 and 12-d156 In an 8 mL screw -capped vial cage 12 (1.1 mg, 0.3 米mol , 1 eq ) and cage 12-d156 (1.1 mg, 0.3 米mol , 1 eq ) were combined under argon atmosphere with 0.48 mL dry DMF and TFA, p -toluidine or water (each 13.48 米L, 0.01 mol L-1 in dry DMF , 0.4 eq ).",comprehensive synthesis
The orange solutions were stirred at 120 ～C. After 3 and 7 days  aliquots were  analysed by mass spectrometry.,comprehensive synthesis
"Exchange between [4+6] -endo cages 14 and 14-d156 In an 8 mL screw -capped  vial cage 14 (1.0 mg, 0.3 米mol , 1 eq ) and cage 14-d156 (1.0 mg, 0.3 米mol , 1 eq ) were combined under argon atmosphere with 0.35 mL dry THF and TFA, p -toluidine or water (each 4.68 米L, 0.01 mol L-1 in dry THF , 0.16 eq ). In an additional experiment TFA (4.68  米L, 0.01 mol L-1 in dry THF, 0.16 eq) and water (70.2 米L, 0.1 mol L-1 in dry THF, 24 eq) were used.  The orange solutions were stirred at room temperature. After 3 and 7 days  aliquots were  analysed by mass spectrometry.",comprehensive synthesis
"*#*S124  Formation  of [4+6] exo cage 12  An 8 mL screw -capped vial was charged with triaminotriptycene  7a (20.0 mg, 33 米mol ), 3,5-diformyl -2,6-dihydroxytoluene 9 (9.0 mg, 50  米mol ) and 1,3,5 -trimethoxybenzene (1.8 mg, 10.7 米mol)  as internal standard . Under argon atmosphere DMF -d7 (6 mL) and TFA (167 米L, 0.01 mol L-1 in CDCl 3, 1.67 米mol ) were added and the orange solution was stirred at 120  ～C. After 1h, 2 h, 4h, 8 h, 24 h, 48 h, 72 h and 96 h aliquots  of 0.5 mL were  taken and analysed by GPC and 1H NMR spectroscopy .",comprehensive synthesis
"#S128  Formation of  [4+6] endo  cage 13  An 8 mL screw -capped vial was charged with triaminotriptycene  7a (20.1 mg, 34 米mol ), 2,6-diformylphenol 10a (7.8 mg, 52 米mol ) and 1,3,5 -trimethoxybenzene (1.7 mg, 10.11 米mol)  as internal standard . Under argon atmosphere THF-d8 (5 mL) and TFA (67 米L, 0.01 mol L-1 in CDCl 3, 0.67 米mol ) were added and the orange solution was stirred at room temperature. After 1h, 2 h, 4h, 8  h, 24 h, 48 h, 72 h and 96 h aliquots of 0.5 mL were  taken and a nalyse d by GPC and 1H NMR spectroscopy.",comprehensive synthesis
"Melting point : T = 226 ～C. 1H NMR:  (400 MHz, CDCl 3) 汛 (ppm) 7.00 (d, J = 7.2 Hz, 3H, Ar H-4,5,16),  6.92 (s, 1H, H9), 6.88 (dd, J = 8.2, 7.3 Hz, 3H, Ar H-3,6,15), 6.56 (dd, J = 8.3, 0.9 Hz, 3H, Ar H-2,7,14), 5.37 (s, 1H, H10), 3.97 (t, J = 6.4 Hz, 6H, -O-CH2-), 1.94 每 1.80 (m, 6H, -O-CH 2-CH2-), 1.66 -1.56 (m, 6H, -O-CH 2-CH 2-CH2-), 1.47 -1.33 (m, 12H, -CH2-CH2-CH 3), 1.03 -0.88 (m, 9H, -CH3). 13C{1H} NMR : (100 MHz, CDCl 3) 汛 (ppm) 154.3 (Ar C-1,8,13), 148.7 (Ar C-4a,10a,11), 134.0 (Ar C-8a,9a,12),  125.6 (Ar C-3,6,15), 116.6 (Ar C-4,5,16), 110.4 (Ar C-2,7,14), 69.0 ( -O-CH2-), 54.8 ( C-10), 33.7 ( C-9), 32.0 ( -CH2-CH 2-CH 3), 29.8 ( -O-CH 2-CH2-), 25.9 ( -O-CH 2-CH 2-CH2-), 22.8 ( -CH 2-CH2-CH 3), 14.3 ( -CH3). HRMS (MALDI -TOF+, DCTB):  [M]+: m/z calcd. for C 38H50O3+: 554.3760, found: 554.3763. IR: (ATR, FT) ? (cm-1) 3047 (w), 3032 (w), 3015 (w), 2949 (m), 2928 (m), 2866 (m), 1597 (s), 1485 (m), 1468 (s), 1439 (m), 1394 (m), 1377 (w), 1346 (w), 1323 (w), 1277 (vs), 1234 (m), 1198 (m), 1161 (w), 1124 (w), 1097 (s), 1065 (m), 1053 (m), 1024 (m), 991 (w), 949 (w), 916 (m) , 858 (w), 824 (vw), 789 (s), 773 (m), 735 (vs), 683 (vw), 640 (w), 604 (w). Elemental Anal.  Calcd.  for C 38H50O3 ﹞ 1/5 S5  H2O: C, 81.60 ; H, 9.10. Found: C , 81.66 ; H, 8.98.  The analytical data is in accordance with the literature data.[S7] 2.1.2  1,8,13 -Trihexyloxytriptycene -d39 5-d39   According to a modified procedure from Kumano et al.  for the synthesis of 1,8,13 -trihexyloxytriptycene,[S7] 1,8,13 -trihydroxytriptycene 4 (566 mg, 1.87 mmol ), potassi um carbonate (1.56 g, 11.2 mmol ) and dry N,N-dimethylform amide (17 mL) were stirred  under argon atmosphere  for 1 h at 85 ～C. 1-Bromohexane -d13 (1.6 mL, 11.2 mmol ) was added dropwise and  the reaction mixture was stirred for further 24 h at 85 ～C.",comprehensive synthesis
"After coolin g down to room temperature water (40 mL) was added to  the light brown suspension and the precipitate collected by filtration . The solid was washed with water (2 x 40 mL) and methanol (4 x 8 mL) and dried in vacuo  to give tripty cene 5-d39 in 89% yield (987 mg, 1.66  mmol) as off-white  solid. Melting point : T = 226 ～C. 1H NMR:  (400 MHz, CDCl 3) 汛 (ppm) 6.99 (dd, J = 7.2, 0.9 Hz, 3H, Ar H-4,5,16), 6.92 (s, 1H, H9), 6.87 (dd, J = 8.2, 7.3 Hz, 3H, Ar H-3,6,15), 6.55 (dd, J = 8.2, 0.9 Hz, 3H, Ar H-2,7,14), 5.37 (s, 1H, H10). 13C{1H} NMR : (100 MHz, CDCl 3) 汛 (ppm) 154.3  (Ar-C1,8,13), 148.7 (Ar -C4a,10a,11), 134.0 (Ar -C8a,9a,12), 125.6 (Ar -C3,6,15), 116.5 (Ar -C4,5,16), 110.4 (Ar -C2,7,14), 54.8 ( C10), 33.7 ( C9). 2H NMR: (92 MHz, CHCl 3/CDCl 3) 汛 (ppm) 3.95 (s, 6 D, -OCD2-), 1.81 (s, 6 D, -OCD 2-CD2-), 1.53 (s, 6 D, -OCD 2-CD 2-CD2-), 1.33 (s, 12 D, -CD2-CD2-CD 3), 0.89 (s, 9 D, -CD3). HRMS (MALDI -TOF+, DCTB):  [M]+: m/z calcd. for C38H11D39O3+:593.6202 , found:  593.6219 . IR: (ATR, FT) ? (cm-1) 2208 (w), 2097 (w), 2070 (vw), 1595 (m), 1479 (s), 1439 (w), 1325 (vw), 1281 (vs), 1248 (w), 1221 (w), 1165 (m), 1105 (s), 1059 (w), 1028 (m), 961 (vw), 922 (w), 856 (w), 824 (vw), 789 (s), 737 (vs), 644 (w). Elemental Anal.  Calcd.  for C38H11D39O3: C, 76.83; H+D, 8.53 (Value was corrected by detection difference of hydrogen and deuterium. Analyzing a compound containing a known deuterium amou nt resulted in detection of 50. 4% of the apparent deuterium. ). Found: C , 76.52 ; H+D, 8.68. S6  2.1.3  1,8,13 -Trihexyloxytriptycene -3,6,15 -triyltris(4,4,5,5 -tetramethyl -1,3,2 -dioxa)borolane  6  In analogy to a literature procedure[S8] 1,8,13 -trihexyloxytriptycene 5 (3.42 g , 6.16 mmol ) and bis(pinacolato)diboron (9.0 g , 35.44  mmol ) were suspended in d ry tetrahydrofuran  (15 mL) under argon and stirred for  30 min . In another tube bis(pinacolato)diboron (440 mg, 1.73 mmol ), 4,4∩-di-tert-butyl -2,2∩-dipyridine ( 538 mg, 2.0 mmol ) and (1,5 -cyclooctadiene)(methoxy)iridium(I) dimer ( 178 mg, 0.27 mmol ) were  filled under argon atmosphere and dry tetrahydrofuran  (15 mL) was  added . The mixture was st irred for 20 min at room temp erature and turned dark red. The two solutions were combined and stirred for  41 h at 80 ～C. After cooling to room temperature , solvent was evaporated in vacuo  and methanol ( 50 mL) was added and the bro wnish suspension ultrasonicated  for 10  min, before it was collected by filtration .",comprehensive synthesis
"2.1.4  1,8,13 -Trihexyloxytriptycene -3,6,15 -triyltris(4,4,5,5 -tetramethyl -1,3,2 -dioxa)borolane -d39 6-d39  In analogy to a literature procedure[S8] 1,8,13 -trihexyloxytriptycene -d39 5-d39 (901 mg, 1.52 mmol ) and bis(pinacolato)diboron ( 1.62 g, 6.32 mmol ) under argon atmosphere were suspended in d ry tetrahydrofuran  (3.6 mL) and  stirred for 25 min. In another Schlenk tube bis(pinacolato)diboron ( 117 mg, 0.46 mmo l), 4,4∩-di-tert-butyl -2,2∩-dipyridine ( 41 mg, 0.15 mmol ) and (1,5 -cyclooctadiene)(methoxy)iridium(I) dimer ( 51 mg, 0. 08 mmol ) were filled under argon atmosphere and dry tetrahydrofuran  (3.6 mL) was added . The reaction mixture  was stirred for 25 min at room temperature. The mixtures were combined and stirr ed for 69 h at 80 ～C. The dark red reaction mixture was allowed to cool to room temperature , solvent was evaporated in vacuo  and methanol ( 7 mL) was added. The resulting  brown suspension was ultrasonicated  for 10 min, before it was collected by filtration . Recrystallization  from ethanol -chloroform gave boronic ester 6-d39 in 70% yield ( 1.03 g, 1.05 mmol) as colourless crystals .",comprehensive synthesis
"2.1.5  3,6,15 -Triamino -1,8,13 -trihexyloxyt riptycene 7a and 3,6-Diamino -1,8,13 -trihexyloxytriptycene -15-yl(4,4,5,5 -tetramethyl -1,3,2 -dioxa)borolane 7b  In analogy to a literature procedure[S9] trisboronic ester  6 (1.01 g, 1.1  mmol ), hydroxylamine -O-sulfonic acid ( 672 mg, 5.9 mmol ), acetonitrile (32 mL) and aqueous sodium hydroxide solution (16 mL, 1 mol L-1, 16 mmol ) were stirred under argon atmosphere . After 24 h additional amounts of hydroxylamine -O-sulfoni c acid (336 mg, 2.8 mmol ) and aqueous sodium hydroxide solution (8 mL, 1 mol L-1, 8 mmol) were added and stirred for additional 6 h at room temperature . Water ( 40 mL) was added and the mixture extracted with dichloromethane  (3 x 60 mL). The combined organic phase was dried over sodium sulphate  and solvent removed by rotary evaporation.",comprehensive synthesis
"Purification  by silica column chromatography  (dichloromethane/methanol 40:1) gave after drying in vacuum  triamine  7a in 62% yield ( 398 mg, 0. 66 mmol) as off-white  solid and 7b in 9% yield ( 67 mg, 0.0 9 mmol) as dark brown solid.",comprehensive synthesis
