content,category
"8The porosityof some POCs has been shown to match that of COFs.1,6b,9Accordingly, POCs have been exploited in applications that relyon their porous nature, such as gas sorption and separation,10molecular sieving,11sensing,12catalysis13or transport of ions.14However, contrary to COFs, studies that explore the elec-tronic properties of POCs are rather scarce. Yet, organic cagesrepresent well-de 祈ned molecular architectures with buildingblocks arranged spatially with high precision, which is animportant requirement for electronic materials. As a result,properties that typically arise from the interplay of the inter-molecular electronic coupling between molecules in the solid-state could potentially emerge within a single cage due to itsthree-dimensional structure. Importantly, the incorporation ofchromophores or redox-active molecules could also allow theinvestigation of their mutual electronic communication both ina solution or in the solid-state.aDepartment of Chemistry, University of Basel, St. Johanns-Ring 19, CH-4056 Basel,Switzerland. E-mail: tomas.solomek@unibas.chbDepartment of Chemistry, University of Fribourg, Chemin Du Mus ∩ee 9, 1700 Fribourg,Switzerland. E-mail: ali.coskun@unifr.chcDepartment of Physical Chemistry, University of Geneva, CH-1211 Geneva,Switzerland?Electronic supplementary information (ESI) available. CCDC 2031730 and2031731 (CIF). For ESI and crystallographic data in CIF or other electronicformat see DOI: 10.1039/d1sc00347jCite this: Chem. Sci. ,2 0 2 1 , 12,5 2 7 5All publication charges for this articlehave been paid for by the Royal Societyof ChemistryReceived 19th January 2021Accepted 10th February 2021DOI: 10.1039/d1sc00347jrsc.li/chemical-science? 2021 The Author(s). Published by the Royal Society of Chemistry Chem. Sci. ,2 0 2 1 , 12, 5275 每5285 | 5275ChemicalScienceEDGE ARTICLEOpen Access Article. Published on 09 March 2021. Downloaded on 5/11/2024 3:33:12 PM.",affiliation
"(40)Kim,D.-H.;D＊Al谷o,A.;Chen,X.-K.;Sandanayaka, A.D.S.;Yao,D.;Zhao,L.;Komino,T.;Zaborova, E.;Canard,G.;Tsuchiya,Y.;Choi,E.;Wu,J.W.;Fages,F.;Br谷das,J.-L.;Ribierre,J.-C.;Adachi,C.High-efficiency electroluminescence andamplifiedspontaneousemissionfromathermallyactivateddelayedfluorescent near-infraredemitter.Nat.Photonics 2018,12,98?104.ACSMaterialsLetters www.acsmaterialsletters.org Letterhttps://doi.org/10.1021/acsmaterialslett.3c00310ACSMaterials Lett.2023,5,1450?14551455S1  Supporting Information  Porous Shape -Persistent Rylene Imine Cages with Tunable Opto -electronic Properties and Delayed Fluorescence  Hsin -Hua Huang a, Kyung Seob Song b, Alessandro Prescimone a, Alexander Asterc, Gabriel Cohenc, Rajesh Mannancherry a, Eric Vautheyc, Ali Coskun *b, Tom芍? ?olomek *a  a Department of Chemistry , University of Basel , St. Johanns -Ring 19 , 4056 Basel, Switzerland , b Department of Chemistry , University of Fribourg , Chemin du Mus谷e  9, 1700 Fribourg , Switzerland , c Department of Physical Chemistry, University of Geneva, CH -1211 Geneva, Switzerland.",affiliation
2nd Red.  S65  Section H. Single -crystal X -Ray Diffraction  Crystal structure determination of (RRR)-1b crystallized from nitrobenzene; CCDC 2031730 .,CCDC
Crystal structure determination of (SSS)-1b crystallized from nitrobenzene; CCDC 2031731 .,CCDC
"Previously reported compounds:  (1R,2R)-cyclohexane -1,2-diamine ,9 tert-butyl ((1R,2R)-2-aminocyclohexyl)carbama te,10 and (R)-2a7 were prepared following the reported procedures. The corresponding enantiomers were synthesized using (1S,2S)-cyclohexane -1,2-diamine .9 Cage  1a  Diamine ( R)-2a11 (230 mg, 0.5 mmol) was suspended in a solution of benzene -1,3,5-tricarbaldehyde (54 mg, 0.3 mmol) in dry chloroform (100 ml). The mixture was then stirred at room temperature for 72 hours  after which the solvent was filtered through a disposable syringe filter. The filtrate was removed under reduced pressure to ob tain a solid crude product. A small amount of methanol was added and the suspension was sonicated at room temperature for 30 minutes and filtered thereafter. The filter cake was washed with additional methanol followed S9  by a portion of diethyl ether and dri ed in air. The crude cage 1a was purified by HPLC using CH 2Cl2/n-Heptane  (7:3) as eluent to yield  a pure sample of  1a as a white solid (166 mg) in 60 %. The measured 1H, 13C NMR spectra and the mass spectrum of 1a matched those reported in the litera ture.12 Cage 1b  The ditosylate salt of  2b (400 mg, 0.519 mmol) was suspended in a solution of benzene -1,3,5 -tricarbaldehyde (56.1 mg, 0.346 mmol) in dry chloroform (52 ml) and TEA (0.486 ml, 3.46 mmol) was added quickly in one portion to the stirred mixture in a pressure flask at room temperature. The pressure flask  was closed and heated to 80 oC. After 72 hours , the reaction mixture was cooled down to room temperature and filtered through a disposable syringe filter. The filtra te was concentrated under reduced pressure to obtain a white solid product. A small amount of methanol was added, and the solids were sonicated at room temperature for ~30 minutes and filtered. The filter cake was washed with additional methanol followed b y a portion of diethyl ether and dried in air. The crude cage 1b was purified by HPLC using n-heptane/CH 2Cl2 (4:6) as eluent to afford a pure sample of 1b as a white  solid (160 mg) in 62% .",comprehensive synthesis
"Cage  1c  Diamine  2c (67.6 mg, 0.116 mmol) was suspended in a solution of benzene -1,3,5 -tricarbaldehyde (12.5 mg, 0.077 mmol ) in dry chloroform (12 ml). The mixture was stirred at room temperature for 72 hours . The solvent was then filtered through a disposable syringe filter and the filtrate was concentrated under reduced pressure to obtain a red solid product. A small amount of methanol was added and the suspensionwas sonicated at room temperature for 30 minutes and filtered thereafter. The filter cake was washed with additional methanol followed by a portion of diethyl ether and dried in air. The crude cage 1c was purified by  HPLC using CH 2Cl2/i-PrOH (7:3) as eluent to afford a pure sample of  1c as a red solid (14 mg) in 18% .",comprehensive synthesis
"Compound  3c  Diamine  2c (100 mg, 0.171 mmol) was suspended in a solution of benzaldehyde (37.2 mg, 0.351 mmol ) in dry chloroform (20 ml). The mixture was stirred for 24 hours at room temperature. The reaction mixture was then filtered by a disposable syringe filter and the filtrate was concentrated under reduced pressure to obtain a red solid product. A small amo unt of methanol was added and the suspension was sonicated at room temperature for 30 minutes and filtered thereafter. The filter cake was washed with additional methanol followed by a portion of diethyl ether and dried in air yielding 3c as a red solid (9 1 mg) in 70%.  S12  1H NMR  (600 MHz, CD 2Cl2): 汛 8.33每8.26 (m, 6H), 8.08 每8.07 (m, 2H), 7.89 每7.85 (m, 2H), 7.60 每7.53 (m, 4H), 7.16 每7.11 (m, 6H), 5.36 每5.33 (m, 2H), 4.48 -4.46 (br, 2H), 2.59 每2.57 (br, 2H), 2.01每1.95 (m, 2H), 1.95每1.86 (m, 6H), 1.86每1.78 (m, 2H), 1.65每1.61 (m, 4H).",comprehensive synthesis
"Compound 2b ? 2TsOH   A slightly modified previously -reported strategy was followed.13 (1R,2R)-cyclohexane -1,2-diamine  (288 mg, 2.5 mmol ) was added quickly in one portion to a vigorously stirred suspension of pyromellitic dianhydride (273 mg, 1.25 mmol) and p-toluenesulfonic acid monohydrate (476 mg, 2.5 mmol) in glacial AcOH (10 mL) at room temperature. The reaction mixture was stirred at  room temperature for 1 hour under Ar atmosphere. Later, the mixture was refluxed until a homogenous solution was obtained and the stirring was continued for additional 3 hours, after which the homogenous solution had transformed into a suspension.",comprehensive synthesis
"The rea ction mixture was cooled down to room temperature and the solvent was removed under reduced pressure. The crude residue was purified by precipitation followed by filtration from MeOH/Et 2O to afford the ditosylate salt of 2b as a white solid (797 mg) in 81% .  S13  1H NMR (500 MHz, TFA -d1): 汛 8.07 (s, 2H), 7.51 (d, J = 8.0 Hz, 4H), 7.20 (d, J = 8.0 Hz, 4H), 7.02 (br, 4H), 4.43 每4.37 (ddd, J = 12.0, 11.0, 3.0 Hz, 2H), 4.31 每4.28 (m, 2H), 2.40 每2.25 (m, 6H), 2.34 (s, 6H), 1.94 (d, J = 12.0 Hz, 4H), 1.74 每1.65 (m, 2H), 1.54 每1.38 (m, 4H).",comprehensive synthesis
"Compound  2c  Compound 4c (300 mg, 0.382 mmol) was dissolved in a mixture of CH 2Cl2/TFA (50 ml, 1:1 v/v) and the resulting solution was stirred at room temperature for 2 hours. The solvent was removed under reduced pressure. The red solid was dissolved in CH 2Cl2 (200 mL) and a saturated aq. NaHCO 3 solution (200 mL) was added. The resulting suspension was stirred for 16 hours at room temperature. The organic layer was separated, and the aqueous layer was extracted with CH 2Cl2 (3 ℅ 100 mL). The organic layers were combined, dried with Na 2SO 4 and conc entrated under reduced pressure to get 2c as pure red solid  (194 mg) in 87%.   S14  Note: Compound 2c appears as a mixture (~1:1) of syn and anti diastereomers in a d-trifluoroacetic  acid solution at room temperature in the NMR experiments.",comprehensive synthesis
