content,category
"1DepartmentofChemistry,ZhejiangUniversity,Hangzhou310058,P.R.",affiliation
"China.2ZJU-HangzhouGlobalScientificandTechnologicalInnovationCenter,ZhejiangUniversity,Hangzhou311215,P.R.China.3KeyLaboratoryofExcited-StateMaterialsofZhejiangProvince,ZhejiangUniversity,Hangzhou310058,P.R.China.4Theseauthorscontributedequally:QiongChen,ZhaoyongLi.YeLei.*Email:zsnchem@zju.edu.cn;fhuang@zju.edu.cn;ljwang@zju.edu.cn;lihao2015@zju.edu.cn2TableofContents1.Supplementarymaterialsandgeneralmethods...........................................32.Supplementarysyntheticprocedures...........................................................43.Self-assemblyofproducts..........................................................................154.Characterizationof13S6.............................................................................255.Characterizationof22R2S2and22(EDA)4...................................................296.Characterizationof32R2S2,32(EDA)4and33S6..........................................367.Characterizationof42R2S2and42(EDA)4...................................................468.Transformationbetweencages..................................................................529.Theself-assemblyyieldsofcages.............................................................5510.X-rayCrystallography..............................................................................6411.Supplementarytheoreticalcalculations....................................................6912.SupplementaryReferences.....................................................................7031.SupplementarymaterialsandgeneralmethodsAllreagentsandsolventswerepurchasedfromcommercialsourcesandusedwithoutfurtherpurification.TerephthaloylChloride,bromobenzene,triethylsilane,trifluoromethanesulfonicacid,trifluoroaceticacidandbis(pinacolato)diboronwerepurchasedfromEnergyChemicalplatform.4-Bromo-bromophenol,hexamethylenetetramine,1-iodobutane,ethylbromoacetateandtert-butylbromoacetatewerepurchasedfromBidepharmplatform.AlCl3,Pd(dppf)Cl2,Cs2CO3,Pd(PPh3)4and1,2-diaminocyclohexanewerepurchasedfromTansooleplatform.KOAc,K2CO3andhexamethylenetetraminewerepurchasedfromSinopharmChemicalReagentplatform.",affiliation
"22S422R2S2 22S2R20 kcal/mol 5.4 kcal/mol 9.1 kcal/mol ¦¤Gsyn synsyn synsynsynsyn synsynsynsynsynantiantiantiantiantiantianti antiantiantianti antiFig. 6 | The optimized structures (top) and the structural formula (bottom) of 2 2R2S2and its two putative less stable counterparts 2 2S4and 2 2S2R2, with theircorresponding relative free energies. The calculation was performed by using DFT calculations at the level of BP86-D3 functional and 6-311 G(d) basis set.Article https://doi.org/10.1038/s41467-023-40255-4Nature Communications |         (2023) 14:4627 7Data availabilityThe authors declare that all other data supporting the ?ndings of thisstudy are available from the article and its Supplementary Information.Cartesian coordinates and energies of all investigated cage structuresare provided in Supplementary Data 1. The X-ray crystallographiccoordinates for structures reported in this study have been depositedat the Cambridge Crystallographic Data Centre (CCDC), underdeposition numbers 2201823, 2201825, 2203208 and 2203209. Thesedata can be obtained free of charge from The Cambridge Crystal-lographic Data Centre via www.ccdc.cam.ac.uk/structures . Additionaldata are available from the authors upon request.",CCDC
"1.2)Crystaldata[C112H124N8O4](M=1646.18g/mol):monoclinic,spacegroupP121/c1,a=15.5144(3)?,b=27.2953(6)?,c=27.2049(6)?,?=90¡ã,¦Â=105.1580(10)¡ã,?=90¡ã,V=11119.6(4)?3,Z=4,T=213.0K,¦Ì(GaK¦Á)=0.295mm-1,Dcalc=0.983g/cm3,101559reflectionsmeasured(2.817¡ã¡Ü2¦¨¡Ü55.007¡ã),21133unique(Rint=0.0822)whichwereusedinallcalculations.ThefinalR1was0.1029(I>2¦Ò(I))andwR2was0.2952(alldata).CCDCnumber:2201823.",CCDC
"2.2)Crystaldata[C112H116N8O12](M=1766.12g/mol):Monoclinic,spacegroupC12/c1,a=42.8966(11)?,b=18.1515(4)?,c=32.1229(7)?,?=90¡ã,?=106.437(2)¡ã,?=90¡ã,V=23989.9(10)?3,Z=8,T=213.0K,¦Ì(GaK¦Á)=0.325mm-1,Dcalc=0.978Mg/m3,133902reflectionsmeasured(3.205¡ã¡Ü2¦¨¡Ü54.887¡ã),22712unique(Rint=0.0651)whichwereusedinallcalculations.ThefinalR1was0.1167(I>2¦Ò(I))andwR2was0.3279(alldata).CCDCnumber:2201825.",CCDC
ThefinalR1was0.0807(I>2¦Ò(I))andwR2was0.3029(alldata).CCDCnumber:2203208.,CCDC
CCDCnumber:2203209.,CCDC
"MethodsSelf-assembly of 1 3S6A 1:2 mixture of 1(2.77 mg, 0.005 mmol) and ( S,S)-CHDA (1.14 mg,0.01 mmol) was combined and dissolved in CDCl 3(2 mL). The corre-sponding reaction mixture was heated at 50 ¡ãC for 6 h. 13S6was self-assembled as the major product in the corresponding1H NMR spec-trum, without further manipulation. The solid-state sample of 13S6wasobtained by adding MeOH into its solution in chloroform and col-lecting the precipitate via ?ltration. However, it is unsuccessful topurify 13S6via precipitation, accompanied by the generation of someoligomeric or polymeric byproducts. We thus used a NMR yield (60 %)to quantify the production of 13S6, by adding an internal standard inthe NMR sample.",comprehensive synthesis
"e'ebagc c'fkhh'A)8    7   4.5  4   ¦Ä / ppmegc c'e' bak fh'hB)Fig. 5 | The self-assembly of a chiral cage 3 3S6that was transformed into 3 2R2S2upon addition of ( R,R)-CHDA. (A) Structural formula of the cage 33S6,b yc o n -densing a 2:1 mixture of ( S,S)-CHDA and 3. Upon addition of ( R,R)-CHDA, 33S6isconverted into 32R2S2.(B) Partial1H NMR spectrum (600 MHz, CDCl 3,2 9 8K )o f33S6. Some of the key resonances are labeled, which were assigned based on thecorresponding two-dimensional NMR spectra shown in the Supplementary Figs. 60and 61. The full spectrum is shown in the Supplementary Fig. 58.Article https://doi.org/10.1038/s41467-023-40255-4Nature Communications |         (2023) 14:4627 6Self-assembly of 2 2R2S2,32R2S2and 4 2R2S2A 1:2 mixture of the corresponding tetraformyl precursor ( 2, 3 or4,0.005 mmol) and racemic trans -CHDA (1.14 mg, 0.01 mmol) wascombined and dissolved in CDCl 3(2 mL). The corresponding reactionmixture was heated at 50 ¡ãC for 6 h. A [2 + 4] achiral cage ( 22R2S2,32R2S2or42R2S2) was self-assembled as the major product in the1HNMR spectrum, without further manipulation. The solid-state sampleof each cage was obtained by adding MeOH into its solution inchloroform and collecting the precipitate via ?ltration. However, it isalso unsuccessful to purify these cages via precipitation. We thusused NMR yields to quantify the production of 22R2S2(57 %), 32R2S2(75%) and 42R2S2(71 %), by adding an internal standard in the NMRsample.",comprehensive synthesis
"Self-assembly of 2 2(EDA) 4,32(EDA) 4and 4 2(EDA) 4A 1:2 mixture of the corresponding tetraformyl precursor ( 2, 3 or4,0.005 mmol) and EDA (0.60 mg, 0.01 mmol) was combined and dis-solved in CDCl3(2 mL). The corresponding reaction mixture washeated at 50 ¡ãC for 6 h. A [2 + 4] achiral cage ( 22(EDA) 4,32(EDA) 4or42(EDA) 4) was self-assembled as the major product in the1HN M Rspectrum, without further manipulation. The NMR yield of 22(EDA) 4,32(EDA) 4and 42(EDA) 4was determined to be 50%, 85% and 77%,respectively.",comprehensive synthesis
