content,category
"[*] Dr. K. E. Jelfs,[+]Dr. X. F. Wu,[+]Dr. M. Schmidtmann,Dr. J. T. A. Jones, Dr. J. E. Warren, Dr. D. J. Adams, Prof. A. I. CooperDepartment of Chemistry, Centre for Materials DiscoveryUniversity of LiverpoolCrown Street, Liverpool, L69 7ZD (UK)E-mail: aicooper@liv.ac.uk[+] These authors contributed equally.",affiliation
"Experimental SectionSynthesis of CC7: Dichloromethane (200 mL) was added slowly to A(1.32 g, 4 mmol) in an oven-dried 500 mL round-bottom flask at roomtemperature. After 10 min, a solution of B1(689 mg, 6 mmol) indichloromethane (200 mL) was added slowly down by the inside wallof the flask. The resulting mixture was kept at room temperaturewithout stirring. After 48 h, a clear pale-yellow solution was observedwhich contained a large amount of colorless crystals with cubicmorphology floating on the top of the solution. The solids wereremoved by filtration, washed with dichloromethane (3 /C148 5 mL), andafforded pure CC7 after air-drying in 87% yield (1.55 g). Single-crystal data were obtained from a crystal grown in dichloromethane.",comprehensive synthesis
"Synthesis of CC7.  Dichloromethane (200 mL) was added slowly to tri(4-formylphenyl)amine (1.32 g, 4 mmol) in an oven-dried 500 mL round-bottom flask at room temperature. After 10 min, a solution of ( 1R,2R)-1,2-cyclohexanediamine (689 mg, 6 mmol) in DCM (200 mL) was added slowly down by the inside wall of flask. The resulting mixture was kept at room temperature without stirring. After 48 h, a clear pale yellow solution was observed which contained large amount of colorless crystals with cubic morphology floating on the top of solution. The solids were removed by filtration, washed with DCM (3 ¨G 5 mL) and afforded as pure CC7 product after air-drying in an 87% yield (1.55 g). Single crystal data was obtained from a crystal grown in DCM.",comprehensive synthesis
"Synthesis of CC8.  Dichloromethane (100 mL) was added slowly to tri(4-formylphenyl)amine (0.66 g, 2 mmol) in an oven-dried 500 mL round-bottom flask at room temperature. After 10 min, a solution of ( 1R,2R)-1,2-cyclohex-4 -enediamine (0.34 g, 3 mmol) in DCM (100 mL) was added slowly down by the inside wall of flask. The resulting mixture was kept at room temperature without stirring. After 48 h, a clear pale yellow solution was observed which contained large amount of colorless crystals with cubic morphology floating on the top of solution. The solids were removed by filtration, washed with DCM (3 ¨G 5 mL) and afforded as pure CC8 produ ct after air-drying in a 9 0% yield (0 .8 g). Single crystal data was obtained from a crystal grown in DCM.  S3 1H NMR (CDCl 3, 400 MHz,) Ñ´ (ppm): 8.38 (s, 12H), 8.28 (s, 12H), 7.62 (m, 48H), 7.06 (m, 48H), 5.77 (s, 24H), 3.80 (broad m, 24H), 2.47 (broad s, 24H), 2.23 (broad s, 24H). 13C NMR (CDCl 3, 100 MHz) Ñ´ (ppm): 1 60.7, 148. 7, 147.5, 131. 5, 129. 2, 126.7, 125.3, 123.9, 7 0.8, 69.6, 33.5, 30.9.",comprehensive synthesis
"Reduction of CC7. An oven -dried round -bottom flask (500 mL) was cooled down to room temperature  under N 2; to this was added CC7  (350 mg, 0.1 mmol), CHCl 3 (30 mL), and MeOH (150 mL). The result ing suspension was stirred at room temperature  for 10 min, NaBH 4 (185 mg, 50 mmol) was added slowly. The reaction mixture was then stirred at room temperature  under N 2 overnight. A clear solution was formed when the reaction was complete , whereupon t he reaction mixture was diluted by CHCl 3 (100 mL)  and distilled water (50 mL) was added and stirred for anothe r 30 min . The mixture wan then separated using a  separation fun nel and the aqueous layer was extracted with CHCl 3 (3 X 30 mL). The combined organic layer s were then washed with water, dried over Na 2SO 4, filtered, and concentrated by vacuum. Reduced CC7  was afforded as yellow powder in  quantitative yield.",comprehensive synthesis
"Kim E. Jelfs, Xiaofeng Wu, Marc Schmidtmann, James T. A. Jones, John E. Warren,Dave J. Adams, and Andrew I. Cooper*",this paper's author
"Kim E. Jelfs, Xiaofeng Wu, Marc Schmidtmann, James T. A. Jones, John E. Warren,Dave J. Adams, and Andrew I. Cooper*",this paper's author
"[20Ã¿23]This elegant work has led tonanocontainers,[20,21]rhombicuboctahedral nanocapsules,[22]and a chiral nanocube[23]using structurally defined, ¡ùpro-hollow¡ì cavitands as building blocks. These organic moleculescan reach impressive sizes: for example, the [6 +8] giantrhombicuboctahedron[22]was estimated to have a solvody-namic diameter of 3.9 nm, and molecular models suggested acavity volume of around 4700 /C1383. Unfortunately, crystalssuitable for X-ray diffraction could not be obtained andstructures were therefore inferred from a combination ofNMR spectroscopy and molecular mechanics calcula-tions.",topology
"As shown in Figure 3b, there is no longer an interconnectedFigure 1. Single-crystal X-ray structures of CC7 and the [4 +6] tetra-hedral cage CC5[25](1 nm scale bar). The yellow octahedron andtetrahedron are included to visualize the shape of the cavity.",topology
"By contrast, MD simulations for solvent-free crystalstructures of the porous cages that we reported previously(CC2,[6]CC3,[6]andCC5[25]) showed that both the cage shapeand the interconnected porous channels were maintainedduring 5 ns NPT simulations (see the Supporting Informa-tion). This suggests that the force field is reliable and providesinteresting clues as to why some organic cages are shape-persistent and stable to desolvation, and others are not. Thesmaller [4+6] cages CC2 and CC3 lack the additionalflexibility provided by the tris(4-formylphenyl)amine unitsthat allow for bond rotation in the plane of the face. It istherefore highly unfavorable for a vertex to fold into the cagecavity. By contrast, in the larger [4+6] cage, CC5,[25]the sameflexible torsions observed in CC7 are present, and CC5 isindeed observed to be significantly more flexible in MDsimulations. However, the [4 +6] stoichiometry in CC5 resultsin a different topology and a much smaller cage voidcompared to the [8+12] cage, CC7. Although the cavity sizeinCC5 is sufficiently large to allow a vertex to fold inwards,there is no structural possibility of gaining intramolecular p-pstacking interactions between the arene faces (Figure S9).",topology
