content,category
"Department of Inorganic and Physical Chemistry, Indian Institute of Science, Bangalore 560012, India*SSupporting InformationABSTRACT: Two shape-persistent covalent cages ( CC1randCC2r) have been devised from triphenyl amine-basedtrialdehydes and cyclohexane diamine building blocks utilizingthe dynamic imine chemistry followed by imine bondreduction. The cage compounds have been characterized byseveral spectroscopic techniques which suggest that CC1randCC2rare [2+3] and [8+12] self-assembled architectures,respectively. These state-of-the-art molecules have a porousinterior and stable aromatic backbone with multiple palladiumbinding sites to engineer the controlled synthesis andstabilization of ultra ?ne palladium nanoparticles (PdNPs).",affiliation
"Department of  Inorganic and Physical Chemistry, Indian Institute of Science, Bangalore 560012, India.  E-mail: psm@ipc.iisc.ernet.in . Fax: 91 -80-2360 -1552; Tel; 91 -80-2293 -3352 .",affiliation
"¡öRESULTS AND DISCUSSIONSynthesis and Characterization of the Cage Com-pounds. Purely organic trigonal-prismatic cages are relativelyuncommon, although they are one of the simplest possiblearchitectures known to date. The shape-persistent prismaticCC1rwas easily obtained ( ¡«80% yield) via the reaction of atriphenyl amine-based trialdehyde Cwith a chiral diamine D[(S,S)-1,2-cyclohexanediamine]. The aldehyde building block Cwas synthesized by palladium-catalyzed Suzuki ?Miyaura cross-coupling reaction of tris(4-bromophenyl)amine ( A) and 3-formylphenylboronic acid ( B)(Scheme 1 ). The imine-basedcage compound CC1 was isolated as a pale yellow solid bytreating Cwith Din a 2:3 stoichiometric ratio in chloroformunder re ?ux for 48 h. The dynamic nature of imine bonds ensuresthe formation of the thermodynamically most stable product inequilibrium, which herein involves condensation between 3equiv of diamine and 2 equiv of trialdehyde. Among all thepossible architectures, the molecular prism is enthalpicallyfavored owing to its having the least angle strain, as well asentropically favored as it comprises a minimum number ofbuilding blocks.",comprehensive synthesis
"Synthesis of Aldehyde C.In a 100 mL ?ame-dried double-neckround-bottom ?ask, 0.96 g (2.00 mmol) of tris(4-bromophenyl)amine(A) and 1.40 g (9.33 mmol) of 3-formylphenylboronic acid ( B) weretaken in 50 mL of THF, and into that was added 20 mL of an aqueoussolution of 1.40 g (10.00 mmol) of K2CO 3. The resulting mixture wasstirred under nitrogen atmosphere at room temperature for 10 min,followed by addition of 0.12 g (0.10 mmol) of Pd(PPh3)4, and heated to75¡ãC for 48 h. After completion of the reaction, THF was removed, andthe aqueous part was extracted with dichloromethane (50 mL ¡Á3). Theorganic part was then dried over Na 2SO4and completely removed toobtain a pale yellow solid. The resulting solid mass was puri ?ed by silicagel column chromatography in dichloromethane to get a greenish yellowpowder. Isolated yield: 58% (0.65 g, 1.16 mmol). Single crystals of thecompound were obtained from a CHCl3?EtOAc solution by slowevaporation.1H NMR (CDCl3, 400 MHz): ¦Ä10.09 (s, 3H), 8.11 (s,3H), 7.83 ?7.88 (m, 6H), 7.57 ?7.63 (m, 9H), 7.28 (d, 6H).13C NMR(100 MHz, CDCl3):¦Ä192.8, 147.7, 141.9, 137.4, 134.9, 133.0, 130.0,128.9, 128.6, 128.1, 125.1. ESI-HRMS (CHCl 3?CH 3CN): m/zforC39H27NO3, [M]+557.1981 (calcd 557.1990). FTIR (cm?1):¦Í1691(CH¬­O), 1594, 1510, 1471, 1438, 1386, 1296, 1283, 1263, 1179, 1160,900, 842, 829, 783, 738, 686, 641, 563, 531.",comprehensive synthesis
"Synthesis of CC1.In a 250 mL round-bottom ?ask, 120 mL of aCHCl3solution of diamine D(31 mg, 0.28 mmol) was added slowly,dropwise, to a stirring solution of aldehyde C(100 mg, 0.18 mmol)dissolved in 60 mL of CHCl3. The resulting reaction mixture was heatedto re?ux for 48 h. After completion of the reaction, solvent was removed,Table 3. Pd@CC1r/Pd@CC2r-Catalyzed Cyanation ofVarious Aryl Halides Using K 4[Fe(CN) 6]a,baReaction condition: aryl halides (1 mmol), K4[Fe(CN)6]¡¤3H2O (0.17mmol), Pd@CC1r(5.3 mg, 2 mol% Pd)/ Pd@CC2r(17 mg, 4 mol%Pd), 10 mL of DMF.bYields are based on1H NMR analysis of thecrude products.c0.34 mmol of K 4[Fe(CN) 6]¡¤3H2O was used.d0.51mmol of K4[Fe(CN)6]¡¤3H2O was used.",comprehensive synthesis
"Synthesis of CC1r.In a 100 mL round-bottom ?ask, 100 mg (0.07mmol) of CC1 was taken in 60 mL of a CHCl3?MeOH (1:1, v/v)binary solvent mixture. Into this reaction mixture was added 32 mg (0.84mmol) of NaBH4portionwise at room temperature, followed by stirringfor 12 h. After completion of the reaction, solvent was completelyremoved, and the product was extracted in CHCl3. The organic part waswashed several times with water and dried over Na2SO4, followed byremoval of solvent to get a white solid. Isolated yield: 85% (81 mg, 0.06mmol).1H NMR (CDCl3, 400 MHz): ¦Ä7.57 (s, 6H), 7.33 ?7.39 (m,12H), 7.19 ?7.25 (m, 18H), 6.92 (d, 12H), 3.94 (d, 6H), 3.62 (d, 6H),2.31 (br m, 18H), 1.78 (br s, 12H), 1.27 ?1.32 (br m, 6H), 1.08 (br s,6H).13C NMR (100 MHz, CDCl3):¦Ä146.9, 141.7, 141.6, 135.8, 129.2,128.1, 127.8, 127.0, 125.9, 124.9, 61.7, 51.8, 32.0, 25.6. ESI-HRMS(CHCl3?CH3CN): m/zfor C96H96N8, [M+H]+1361.7697 (calcd1361.7836), [M+2H]2+681.3862 (calcd 681.3957). FTIR (cm?1):¦Í2929, 2844, 2358, 1600, 1510, 1471, 1438, 1321, 1283, 1101, 835, 790,738, 693.",comprehensive synthesis
"Synthesis of CC2.This cage was synthesized following the samesynthetic protocol employed for CC1, from tris(4-formylphenyl)amine(100 mg, 0.30 mmol) and D(50 mg, 0.45 mmol). Isolated yield: 80%(107 mg, 0.03 mmol).",comprehensive synthesis
"Synthesis of CC2r.In a 100 mL round-bottom ?ask, 71 mg (0.02mmol) of CC2 was taken in 60 mL of a CHCl3?MeOH (1:1, v/v)binary solvent mixture. To this reaction mixture was added 38 mg (1mmol) of NaBH4portionwise at room temperature, followed by stirringfor 12 h. After completion of the reaction, solvent was completelyremoved, and the product was extracted in CHCl3. The organic part waswashed several times with water and dried over sodium sulfate, followedby removal of solvent to get a yellow solid. Isolated yield: 77% (39 mg,0.015 mmol).1H NMR (CDCl3, 400 MHz): 7.08 (d, 48H), 6.89 (d,48H), 3.76 (d, 24H), 3.52 (d, 24H), 2.1 ?2.26 (br m, 72H), 1.7 (br d,24H), 1.15 ?1.27 (br m, 24H). ESI-HRMS (CHCl3?MeOH): m/zforC240H288N32,[ M + 2 H ]2+1809.4375 (calcd 1809.4406), [M+3H]3+1206.7337 (calcd 1206.6763).",comprehensive synthesis
"Synthesis of Pd@CC1rCatalyst. In a typical synthetic protocol, 40mg (0.03 mmol) of CC1rdissolved in 6 mL of CHCl3was treated with 4mL of a CHCl 3solution of 20 mg (0.09 mmol) of Pd(OAc) 2for 1 h. Intothis reaction mixture was added a methanolic solution of NaBH4(24.3mg, 0.18 mmol) dropwise at room temperature, followed by stirring for20 min. After the reported time period, the solvent was completelyremoved, and the product was washed several times with methanol,followed by drying under vacuum overnight to obtain Pd@CC1ras ablack solid.",comprehensive synthesis
"Synthesis of Pd@CC2rCatalyst. In a typical synthetic protocol, 40mg (0.01 mmol) of CC2rdissolved in 8 mL of CHCl3was treated with 4mL of a CHCl3solution of 29.0 mg (0.12 mmol) of Pd(OAc)2for 2 h.",comprehensive synthesis
