content,category
"Here we present  the sy nthesis of a porous carbamate cage that is stable in concentrated hydrochloric acid (pH -1) o r in 1 M a. Organisch -Chem isches Institut, Ruprecht -Karls -Universit?t Heidelberg, Im Neuenheimer Feld 270, 69120 Heidelberg, Germany .",affiliation
"b. Center for Advanced Materials, Ruprecht -Karls -Universit?t Heidelberg, Im Neuenheimer Feld 225, 69120 Heidelberg, Germany  c. CellNetworks , Cryo Electron Microscopy, Universit?tsklinikum Heidelberg, Im Neuenheimer Feld 267, 69120 Heidelberg, Germany  ? Footnotes relating to the title and/or authors should appear here.",affiliation
"Cage 1 (30 mg, 0.02 mmol)  was suspended in 10 mL methanol and 5 mL THF,  and 40 mg (1.05 mmol) NaBH 4 was added to the solution. The suspension was stirred for 15h at room temperature. Methanol was removed  by rotary  evaporation. The white  solid  was suspended in 10 mL water, and then extracted with ethyl acetate (10 ? 3 mL).  The combined organic  phase was dried with Na2SO 4 and the solvent was removed  by rotary evaporation.  The solid  was dried in vacuum at 90?C, giving 16 mg (54%) of 2 as light yellow solid. Mp > 410 ?C. 1H NMR (300 MHz, DMSO-d6):  ¦Ä = 9.38 (s, 6H, -OH), 7.61 (d, J = 0.9 Hz, 6H, 15-H),  7.24 (dd, J = 6, 1.2 Hz, 6H, 13-H), 7.00 (br s, 6H, 7-H), 6.96 (d, J = 9 Hz, 6H, 5-H), 6.78 (d, J = 6 Hz, 6H, 12-H), 6.16 (d, J = 9 Hz, 6H, 6-H), 5.39 (s, 6H, -NH), 5.32 (s, 2H, bridgehead-H), 4.98 (s, 2H, bridgehead-H), 4.15 (d, J = 3 Hz, 12H, 9-H)  ppm. 13C NMR (DMSO-d6, 125 MHz,  373.15K): ¦Ä = 154.69 (s, C-11), 146.91 (s, C-4), 146.53 (s, C-3), 136.02 (s, C-8), 131.61 (s, C-14), 127.41 (s, C-15), 126.73  (s, C-10), 125.67 (s, C-13), 123.20 (s, C-5), 116.19 (s, C-12),  110.14 (s, C-7), 108.45 (s, C-6), 55.62 (s, bridgehead-C),  51.14 (s, bridgehead-C), 43.62 (s, C-9) ppm.",comprehensive synthesis
"IR(ATR):? = 3341(w,  br), 2921(w), 2868(w), 1655(m), 1608(s),  1486(s), 1442(m), 1384(m),  1345(m), 1243(s), 1183(s), 1150(m), 1116(m), 1093(m),  1058(m), 991(m)  940(w), 813(s), 775(m), 668(w)  cm-1. MS (MALDI-TOF,  DCTB): m/z M+ = 1229.495 Elemental analysis calculated for C82H64N6O6¡¤4H 2O: C 75.67%,  H 5.58%, N 6.46%. Found: C 75.51%, H 5.52%, N 6.45%HNNHHNHNNHHNOHHOOHHOOHHONNNNNNOOOOOOOOOOOOCage 2 Cage 31,1'-CarbonyldiimidazoleDMFrt,2d12345678910111213141516Carbamate cage 3: 30 mg (0.024 mmol) of 2 and 70 mg (0.43 mmol)  carbonyldiimidazole  were dissolved in dry DMF (3 mL) and the reaction mixture stirred for two days at room temperature. DMF was removed by rotary  evaporation. The crude product was suspended into 0.1 M NaOH solution and stirred for 1h. The precipitate was collected by filtration  and washed with water (10 ? 3 mL).  The crude product  was purified by column chromatography  (SiO 2, DCM: methanol = 50:1) and dried in vacuum to give pure cage compound 3 (20mg, 62%) as light yellow solid. mp > 410 ?C. 1H NMR (300 MHz, DMSO-d6): ¦Ä = 7.56 (d, J  = 12 Hz, 6H, 6-H), 7.45 (dd,   J  = 12,1.8 Hz, 6H, 15-H), 7.33 (d, J  = 1.8 Hz, 6H, 13-H), 7.30 (dd, J = 12, 1.8 Hz, 6H, 5-H), 7.21 (m, 12H), 5.85 (s, 2H, bridge-H), 5.54  (s, 2H, bridge-H), 4.85 (s, 12H, 9-H) ppm. 13C NMR  (DMSO-d6, 125 MHz,  373.15K): ¦Ä = 150.61 (s, C-12), 150.32 (s, C-11), 146.83 (s, C-3), 144.12  (s, C-4), 139.07 (s, C-8), 137.72 (s, C-16), 128.07 (s, C-15),  125.88 (s, C-13), 124.54 (s, C-5), 124.27 (s, C-6), 122.39 (s, C-11), 121.04 (s, C-7), 116.54 (s, C-14), 53.43 (s, bridgehead-C), 52.07 (s, bridgehead-C), 50.73 (s, C-9) ppm. MS (MALDI-TOF, DCTB): m/z M+ = 1385.367. IR (ATR): ? = 1729 (s), 1609 (w), 1478 (m), 1437 (m), 138 5(m), 1236 (s), 1216 (m), 1177  (s), 1159(s), 1106 (s), 1000 (m), 922 (m), 881(w), 830 (m), 790 (w), 773 (w), 750 (m), 679 (w), 630 (w) cm-1 Elemental  analysis calculated for C 88H52N6O12¡¤3H 2O¡¤DMF: C:  72.26%, H: 4.33%, N: 6.48%.  Found: C: 72.10%, H: 4.25%, N: 6.43%3.NMR SpectraFigure S1.1H NMR spectrum (DMSO-d6, 300 MHz)  of cage 2, # marks residual THF.",comprehensive synthesis
"Since the first descriptions of porous organic cages by Cooper et al. and Atwood et al. in 2009,1,2 the field has rapidly developed.3, 4 Meanwhile, systems have been realized with specific Brunauer -Emmett -Teller (BET) surface areas > 2000 m2/g,5 with mesopores ,6, 7 or highly selective  sorption of gases such CO 2,8, 9 SF6,10 or various noble gases.11 In cont rast to three -dimensional porous network systems, the organic cages are usually solub le and can therefore be processed into thin -films used for sensoring12, 13  or embedded  into membranes14, 15  for enhancing the selective separation of gases. What distinguishes por ous organic cages from insoluble networks  most  is the recently reported possibility to use organic cages to realize even porous liquids.16 With a few exceptions ,17 most shape -persistent organic cages are meanwhile synthesized by applying dynamic covalent chemistry (DCC), such as by the formation of imines through  the condensation of amines and aldehydes or the formation of boronic esters by the condensation of boronic acids and diols.18 Because the reactions are reversible, the most thermodynamically st able compound s are  usually formed from rather simple building blocks  in excellent yields because the system s can self -correct.  The obvious synthetic advantage of the reversibility is accompanied with a drawback  from a materials perspective, because the final product usually lacks chemi cal stability. In this respect , boronic ester cages are much more  labile than imine cages . Indeed, if acid an d nucleophiles (such as water) are absent in combination, imine cages have been shown to be some what  stable.19 In the presence of acid and nucleophile the imine bonds are usually cleaved very  fast leading to a decomposition of the molecular cage into smaller units, at the same time losing  porosity . One exception  are pyrogallol -based cages , where the formed imine bond is tautomerizing to a more stable enamine bond.  These cages have been reported to be stable in acidic solution up to pH 1 and basic solution up to pH 14.20 The stability after chemical treatment has been investigated by IR and PXRD only and PXRD data after acid or base -treatment show ed besides the original peaks a number of additional peaks.  However, although the cages are solu ble in common organic solvents the post -treatment compounds have not further been analysed by NMR spectroscopy.",surface area
"The reversibility of imine bond formation can be st opped by simple reduction to the corresponding amine function  with complex hydrides . Unfortunately, the reduction leads to a more flexible cage and finally the loss of shape -persistency is responsible for the loss of porosity.21-23 There have been  a very few approaches to post -functionalize organic cages.23-26 However, to  the best of our knowledge, the only  example for a post -functionalized chemical stabilization of porous organic imine cages has been described by. Cooper et al. :23 A small [4+6] imine cage was reduced to the corresponding amine cage and the internal ortho diamine functions were subsequently ¡®tied¡¯ as aminals  with either one molecule of acetone or four molecules of formaldehyde .23 Whereas the acetone derived cage is decomposing already in solution, which was monitored by NMR, the formaldehyde derived a minal cage crystals were stable at room temperature in solutions with pH between 1.7 and 12.3  for at least 12 days . Whereas the aminal  cage tied with only one acetone was still too flexible to be shape -persistent, the one tied with four formaldehydes retained shape -persistency. This was reflected by apparent BET surface areas of 67 m2/g and 377 m2/g, respectively.",surface area
"The isotherm can best be described as a mixture of a type I and a type IV isotherm.30 The calculated specific surface area of cage 3 is with 105  m2/g (BET  model) substantially lower than for [2+3] -imine cage 1 (744 m2/g), but it is much larger than for the more flexible corresponding amine cage 2 (12 m2/g), which is in accordance to reported data of other, flexible amine cages.21-23 Figure 2 . Single -crystal structure analysis of carbamate cage 3. a) molecular structure. Only one of two molecules of the asymmetric unit in polymorph ¦Á is depicted. b) pore system of polymorph ¦Á (2 x 2 x 2 unit cell) for a probe of radius 1.82?. c) and d) isolate d internal voids of polymorph ¦Â.  Figure 3. N 2-sorption isotherm at 77K. inset: NL-DFT pore -size distribution.",surface area
"A second sample was prepared by dissolving the carbamate cage 3 in hot DMSO  and dripping this solution into cold water to crush out the compound.  The precipitate was collected by filtration, washed with water and immersed first in acetone (7x) and finally in n -pentane (7x) before activating at 200 oC in vacuum (16 h). The nitrogen sorption isotherm was very similar to the first sample (BET SA = 113 m2/g), suggesting that the sample is rather a mixture of both polymorphs with a substantially higher content of the nonporous polymorph ¦Â.",surface area
"This sample was treated with acid (10 M HCl, 16 h at rt) and investigated again by gas sorption and SEM. The crystallite morphology did not change  after treatment with acid (nor by base, s ee Figure S38). The apparent BET SA measu red by N 2 at 77 K was  194 m2/g and a comparable amount of CO 2 (11.2 wt% at 1 bar and 273 K) was adsorbed;  once more showing that the treatment is not affecting the materials properties.",surface area
"Hu, W. Zhang, R. R. Schr?der, I. Wacker and F. -. Rominger, Chem. Commun., 2017, DOI:10.1039/C7CC03677A.Journal Name   COMMUNICATION  This journal is ? The Royal Society of Chemistry 20xx  J. Name ., 201 3, 00, 1-3 | 1  Please do not adjust margins  Please  do not adjust margins  Received 00th January 20 xx, Accepted 00th January 20 xx DOI: 10.1039/x0xx00000x  www.rsc.org/  Transforming a chemically labile [2+3] imine cage into a robust carbamate cage   Xin-Yue Hu ,a Wen -Shan Zhang,b Frank Rominger ,a Irene Wacker,b Rasmus R. Schr?der ,b,c and Michael Mastalerza,b*",this paper's author
