content,category
"Declarations of interestY.C. thanks the ?nancial support from Central South Univer-sity (CN, 502035002, 502044001), Talents Program of HunanProvince (CN), NSF of China (CN, 21602258) and KAUST(SA), H.X thanks the ?nancial support from Changsha Sci&-Tech (CN, kq1606007).",affiliation
"Appendix A. Supplementary dataThe CCDC No. for compound 2d: CCDC1575504, 2c:CCDC1575505, 2f: CCDC1575506, 2e: CCDC1575507. Sup-plementary data associated with this article can be found, inthe online version, at https://doi.org/10.1016/j.jscs.2017.11.",CCDC
"2.3. Synthesis of 3a,3b,3c[14]Cyanuric chloride(9.3 g, 50 mmol), anhydrous AlCl 3(8.1 g, 60mmol) and chlorobenzene (70 ml, or bromobenzene 150 /C176C,toluene r.t.) were added to a 250 ml single neck ?ask, the mix-ture was re?uxed for 12 h until no more HCl gas released.Then, the mixture was cooled down and quenched by ice,the product was extracted by CH2Cl2(60 ml*3). The extractwas boiled with charcoal and evaporated by a rotating vacuumevaporator. The residue was recrystallized by the mixture ofCH2Cl2and petroleum ether to afford faint yellow crystalproducts.",comprehensive synthesis
"2.4. Synthesis of 2a,2b,2c3a(1.56 g, 6 mmol, 1.82 g for 3b, 1.44 g for 3c), phloroglucinol0.25 g(2mmol), gridded K 2CO3(0.84 g, 6 mmol) and 50 mlacetone were added to a 50 ml single neck ?ask. The mixturewas stirred at room temperature for 4 h, then another portionof phloroglucinol 0.25 g(2mmol), gridded K2CO3(0.84 g, 6mmol) and 50 ml acetone was added and re?uxed for 2 h. After?ltration, the ?ltrate was evaporated and the residue wasrecrystallized by the mixture of CH2Cl2and petroleum etherto afford faint yellow crystal products.",comprehensive synthesis
"2.5. Synthesis of 2d:[15]Pd2(dba) 3mg (107 mg) and 20% PCy 3in toluene (800 mg) wereadded to 20 ml anhydrous dioxane in a 50 ml schlenk ?askunder argon. After stirring for 20 min, 2a 1.3 g (1.6 mmol),bis(pinacolato)diboron (1.35 g, 5.2 mmol, 3.3 equiv.) andKOAc (1.2 g, 10.4 mmol, 6.6 equiv.) were added, the mixturewas stirred at 80 /C176C for 3 h under argon water was added tothe reaction mixture to quench the reaction. After evaporation,the residue was extracted CH2Cl2and dried over Na 2SO4.",comprehensive synthesis
Flash chromatograph with ethyl acetate :petroleum ether = 1:10每1:5 as the mobile phase afforded white solid products 2d.,comprehensive synthesis
2dwas recrystallized by the mixture of acetone and hexaneto give a single crystal.,comprehensive synthesis
"Synthesis of 2e:[16]To a solution of the 2d(1.09 g, 1.0mmol) in acetone (30 mL) were added NaIO 4(1.28 g, 6.0mmol), NH 4OAc (460 mg, 6.0 mmol), and water (15 mL),and the mixture was stirred for 24 h. Acetone was evaporated,and the mixture was extracted with ethyl acetate, the extractwas dried over Na 2SO4, and the solvent was evaporated anddried in vacuo to afford 2eas a white solid. 2ewas recrystal-lized by the mixture of acetone, ethyl acetate and hexane togive a single crystal.",comprehensive synthesis
"Calcd. for C 39H24B3N9O12/C1C3H6O/C1C4H8O2: C, 55.85; H,3.87; N, 12.74; Found: C, 55.68; H, 4.12; N, 12.38.2.6. Synthesis of 2f:[17]CrO 3(120 mg, 1.2 mmol), H 5IO6(320 mg, 8.4 mmol) wereadded to 40 ml acetonitrile in a 100 ml single neck ?ask. Afterstirring for a while, the solid was dissolved, 2c(0.30 g, 0.4mmol) dissolved in 10 ml acetonitrile/dichloromethane (1:1)was added to the ?ask dropwise in 15 min, and a yellow precip-itate was generated upon addition. The mixture was stirred foranother 10 h and evaporated. The residue was washed withwater and extracted with ethyl acetate, the extract was driedover Na2SO4and evaporated to afford 0.29 g off-white crudeproduct with a yield of 90%. The crude product was recrystal-lized by the mixture of THF and acetonitrile to afford crystalproduct 2f.",comprehensive synthesis
"2f(0.30 g, 89%): mp > 300 /C176C; MS (MALDI-TOF) m/z(%) 844.1 [M+H+] (1 0 0), 845.1 (48), 846.1 (13);1H NMR(300 MHz, DMSO d6)d13.36(s, 6H, COO H), 8.56 (d, J=8 .",comprehensive synthesis
"Interestingly, we found cage molecules 2eself-assemble in adistinctive way in the solid state ( Fig. 5 a). Hydrogen bonddirected comb-like 2eassembly interlocks with another oneviap-pstacking to form ladder-like structure. The nano lad-ders further pile up to form 3D honey-comb layer, which isaround 6.6 A ?thick. In the layer, four 2emolecules interactwith each other to form a quasi-square pore, the size of thepore is 21.0 A ?* 21.0 A ?* 6.6 A ?. Due to the honey-comb layersstaggered on each other, no channel structure can be observedin the crystal of 2e, meanwhile, the nano pore is occupied bythe solvent molecules co-crystallized. That coincides with theBET test result, which shows a surface area only less than10 m2/g for 2ecrystal.",surface area
