content,category
"Here ,atemplate effect cannot beexploited andindeed theyields drop substantially ,forexample ,to7%fora[2++4]octaamide cage based onresorcinarene tetrakis(acid chlor -ides) andmeta-phenylenediamines .[13]Forcomparison :Thestructurally related corresponding imine cage issynthesizedbyDCC inmuch higher yields of45%.[2b]Certainly ,thelargerthemolecular structures ofamide-based cages are,theloweristhe(overall) yield obtained byeither themultiple stepwiseapproaches orone-pot procedures .Therefore ,amore facile[*]M.Sc.A.S.Bhat, Dr.S.M.Elbert, Dr.F.Rominger ,Dr.M.Dieckmann, Prof. Dr.M.MastalerzOrganisc h-Chemisch esInstitutRuprecht-Ka rls-Univers it/C228tHeidelbergImNeuenh eimer Feld270, 69120 Heidelberg (Germany )E-mail :michael.ma stalerz@oci .uni-heidelb erg.deM.Sc.A.S.Bhat, Dr.S.M.Elbert, Dr.W.-S.Zhang,Prof. Dr.R.R.Schr?der ,Prof.Dr.M.MastalerzCentre forAdvanced Materia lsRuprecht-Ka rls-Univers it/C228tHeidelbergImNeuenh eimer Feld225, 69120 Heidelberg (Germany )Supportin ginformation (including experimen taldetails) andtheORCID identifica tionnumber foroneoftheauthors ofthisarticle canbefound under :https://doi.org/10 .1002/anie.2 01903631.",affiliation
CCDC number  1898128   Empirical formula  C158H140N12O18   Formula weight  2494.81   Temperature  100(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P21/c   Z 4   Unit cell dimensions  a = 17.2626(7) ?  ? = 90°„.,CCDC
CCDC number  1898127   Empirical formula  C158H140N12O18   Formula weight  2494.81   Temperature  100(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P21   Z 2   Unit cell dimensions  a = 17.2742(3) ?  ? = 90 deg.,CCDC
CCDC number  1898126   Empirical formula  C158H140N12O18   Formula weight  2494.81   Temperature  200(2) K   Wavelength  0.71073 ?   Crystal system  monoclinic   Space group  P21/c   Z 4   Unit cell dimensions  a = 17.466(11) ?  ? = 90 deg.,CCDC
"2. Experimental procedures  2.1. Synthesis of the [4+6] salicylbisimine cage ( -OH) ( 1)[S2] 2,7,14 -triaminotriptycene  2 (100 mg, 0.33 mmol,  4.0 eq.) and 5-(tert-butyl) -2-hydroxyiso -phthalaldehyde  5 (103 mg, 0.5 mmol, 6.0  eq.) were dissolved in abs. THF (14  mL) under argon atmospher e and stirred for seven days at RT.  The reaction mixture was sonicated every day  to remove the solids stuck on the sides  of the flask . The orange precipitate was filtered over a glass frit ( pore 4), washed with Et 3N/THF abs. solution (40 ¶ÃL Et 3N in 4 mL THF abs), dried  under high vacuum  (10-2 bar) to afford 154 mg (0.07 mmol, 83 %) of cage compound  1 as a yellow solid.",comprehensive synthesis
"Analytical data was in agreement with the literature.[S2] 2.2. Synthesis of the [4+6] salicylbisimine cage ( -OMe) ( 6)[S3]  Cage 1 (100 mg, 0.0 45 mmol, 1.0 eq.) and K 2CO 3, (250 mg, 1.8 mmol, 40 eq.) were suspended in dry DMF (1 5 mL) under argon atmosphere. The reaction mixture was stirred for 10 min and MeI ( 63 ¶ÃL, 0. 9 mmol, 20 eq.) was added and the reaction mixture was stirred for 16 h at 80 °„C. The reaction mixture was cooled to RT, and the precipitate was filtered over a glass frit (pore 4). The residue was  washed with DMF (3 °¡ 5 mL), MeOH (5 mL) and n-pentane ( excess ).",comprehensive synthesis
"Afterwards, the yellow  solid was dissolved in abs. THF, filtered through a 25 m m syringe filter (0.45 ¶Ãm PTFE)  and concentrate d under high vacuum  (10-2 bar) to afford cage compound  6 (84 mg, 0.036 mmol, 81%) as a bright yellow  solid. Melting point: >400 °„C.",comprehensive synthesis
"MALDI -TOF -MS (DCTB matrix) : m/z = 2302.254 (Calculated  for C 158H140N12O6: m/z = 2302.105)  Analytical  data was in agreement with the literature.[S3] S5  2.3. Synthesis of the [4+6] amide cage ( -OMe)  (4)  Cage 6 (250 mg, 0 .108 mmol, 1eq.) was dissolved in  THF  (50 mL)  and 2 -methyl -2-butene ( 1.1 mL, 10.8 mmol, 100 eq.) was added, followed by sodium chlorite ( 586 mg, 6.48 mmol, 60 eq.).",comprehensive synthesis
"An aqueous solution of NaH 2PO 4 (1M, 233 mg, 1.94 mmol, 18 eq.) was added dropwise over 3 minutes and the reaction mixture  was stirred for  16 hours at room temperature. The reaction mixture was then washed with brine ( 30 mL), dried over MgSO 4 and concentrated to get an orange  highly  viscous liquid . It was stirred with  petroleum ether (20 mL)  for 30 minutes  and the yellow  precipitate  was filtered  and washed with methanol . The crude  product  was then suspended in methanol (20 mL) , heated to reflux and DMF was added dropwise until a clear solution was obtained . On cooling gradually to room temperature, crystals were formed which were filtered , washed with methanol  and dried under  high vacuum  (10-2 bar) at 150  °„C to obtain the cage compound 4 as a colourless solid  (55 mg, 0.022 mmol,  21%).",comprehensive synthesis
"Uptake (mmol/g)  0.1 0.2 0.3 0.4 0.5 Amide cage ( -OMe)  4 Qst (CO 2) (kJ/mol)  26 (26) 26 (26) 26 (26) 26 (27) 26 (27) Qst (CH 4) (kJ/mol)  15 (15) 15 (16) 15 (16) 15 (16) 15 (16) Brominated amide cage 9 Qst (CO 2) (kJ/mol)  37 (41) 34 (38) 30 (35) 28 (33) 25 (30) Qst (CH 4) (kJ/mol)  19 (20) 18 (18) 18 (17) 19 (18) 21 (19) Nitrated amide cage 8 Qst (CO 2) (kJ/mol)  35 (31) 33 (28) 32 (27) 31 (26) 29 (25) Qst (CH 4) (kJ/mol)  19 (16) 14 (12) 13 (10) 13 (11) 18 (13) Amide cage ( -OH) 7 Qst (CO 2) (kJ/mol)  25 (24) 23 (23) 22 (21) 21 (20) 20 (19) Qst (CH 4) (kJ/mol)  18 (16) 17 (15) 16 (15) 17 (15) 19 (16)           S75  15. Attempted synthesis of a mide cage by irreversible bond form ing reaction s 13.1.  Synthesis of the acid chloride ( 3)      To a flask containing 11 (500 mg, 1.98 mmol, 1 eq.) thionyl chloride (60 mL) was added and stirred under a constant argon flow at 70°„C for 4 hours. The flask was then connected to a vacuum distillation  apparatus  and the thi onyl chloride was distilled off at 60°„C at a pressure of 450 mbar. The product 3 was obtained as a yellow oil (570 mg, 1.97 mmol, 99%).",comprehensive synthesis
