content,category
"Figure 4.(a)Plotofchemical shiftchangesofcage(?)-C3a (2mM,CD3CN)bytitrationwith(S)-CPA?and(R)-CPA?(as(n-Bu)4N+salts).(b)Optimized structure ofthefavoredcomplex(attheM06-2X/6-31G(d) level).Journal oftheAmerican Chemical Society pubs.acs.org/JACS Communicationhttps://doi.org/10.1021/jacs.2c08591J.Am.Chem.Soc.2022,144,16767?1677216770¡ûAUTHOR INFORMATIONCorresponding AuthorQi-Qiang Wang ?BeijingNationalLaboratory forMolecularSciences,CASKeyLaboratory ofMolecular Recognition andFunction,InstituteofChemistry, ChineseAcademyofSciences,Beijing100190,China;University ofChineseAcademyofSciences,Beijing100049,China; orcid.org/0000-0001-5988-1293; Email:qiqiangw@iccas.ac.cnAuthorsHaoZhou ?BeijingNationalLaboratory forMolecularSciences,CASKeyLaboratory ofMolecular Recognition andFunction,InstituteofChemistry, ChineseAcademyofSciences,Beijing100190,China;University ofChineseAcademyofSciences,Beijing100049,ChinaYu-FeiAo?BeijingNationalLaboratory forMolecularSciences,CASKeyLaboratory ofMolecular Recognition andFunction,InstituteofChemistry, ChineseAcademyofSciences,Beijing100190,China;University ofChineseAcademyofSciences,Beijing100049,China; orcid.org/0000-0002-9415-2181De-XianWang ?BeijingNationalLaboratory forMolecularSciences,CASKeyLaboratory ofMolecular Recognition andFunction,InstituteofChemistry, ChineseAcademyofSciences,Beijing100190,China;University ofChineseAcademyofSciences,Beijing100049,China; orcid.org/0000-0002-9059-5022Complete contactinformation isavailable at:https://pubs.acs.org/10.1021/jacs.2c08591NotesTheauthorsdeclarenocompeting financialinterest.¡ûACKNOWLEDGMENTSFinancial supportfromtheNational KeyR&DProgram ofChina(2021YFA1501600) andtheNational NaturalScienceFoundation ofChina(21871276, 22022112, and21521002) isgratefully acknowledged.¡ûREFERENCES(1)B?hmer, V.;Kraft,D.;Tabatabai, M.Inherently ChiralCalixarenes. J.InclusionPhenom.Mol.Recognit.Chem. 1994,19,17?39.",affiliation
"Synthesis andcharacterization ofcompounds, crystallo-graphicdata,additional NMR,HPLC,andUV?visspectra,andDFTcalculation details(PDF)Accession CodesCCDC2157131?2157134 containthesupplementary crys-tallographic dataforthispaper.Thesedatacanbeobtainedfreeofchargeviawww.ccdc.cam.ac.uk/data_request/cif, orbyemailing data_request@ccdc.cam.ac.uk, orbycontacting TheCambridge Crystallographic DataCentre,12UnionRoad,Cambridge CB21EZ,U.K.;fax:+441223336033.",CCDC
"S44 Table S2. Crystal data and structure refinement for C1  C1 CCDC no.  2157131  Empirical formula  C21 H3 Br3 Cl3 N9 O6  Formula weight  823.40  Temperature  173(2) K  Wavelength  0.71073 ?  Crystal system  Orthorhombic  Space group  Pbca  a 17.638(4) ?  b 18.321(4) ?  c 18.572(4) ?  Ï« 90¡« ÉÇ 90¡« ÎÛ 90¡« Volume  6002(2) ?3 Z 8 Density (calculated)  1.823 Mg/m3 Absorption coefficient  4.352 mm-1 F(000)  3168  Crystal size  0.2450 x 0.2270 x 0.1210  mm3 Theta range for data collection  1.942 to 27.478¡«  Index ranges  -22<=h<=14, -23<=k<=23, -24<=l<=15  Reflections collected  21647  Independent reflections  6827 [R(int) = 0.0630]  Completeness to theta = 25.242¡«  99.5%  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.0000 and 0.6555  Refinement method  Full-matrix least -squares on F2 Data / restraints / parameters  6827 / 0 / 379  Goodness -of-fit on F2 1.113  Final R indices [I>2sigma(I)]  R1 = 0.0542, wR2 = 0.1111  R indices (all data)  R1 = 0.0655, wR2 = 0.1167  Extinction coefficient  n/a Largest diff. peak and hole  0.35 0.612 and -0.651 e.?-3   S45 Table S3. Crystal data and structure refinement  for (©I)-C3b  (©I)-C3b CCDC no.  2157132  Empirical formula  C51 H49 Br3 Cl N11 O13  Formula weight  1299.19  Temperature  169.99(12) K  Wavelength  1.54184  ? Crystal system  Triclinic  Space group  P-1 a 13.8837(2)  ? b 13.8848(2) ? c 15.6798(3)  ? Ï« 74.2850(10)¡«  ÉÇ 69.8360(10)¡«  ÎÛ 83.2410(10)¡«  Volume  2730.33(8)  ?3 Z 2 Density (calculated)  1.580  mg/m3 Absorption coefficient  3.817  mm-1 F(000)  1316  Crystal size  0.3 x 0.15 x 0.06  mm3 Theta range for data collection   3.098 to 75.613¡«  Index ranges  -17<=h<=17, -17<=k<=16, -19<=l<=19  Reflections collected  99244  Independent reflections  10796 [R(int) = 0.0795]  Completeness to theta = 67.684¡«  99.8 %  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.00000 and 0.58884  Refinement method  Full-matrix least -squares on F 2 Data / restraints / parameters  10796 / 14 / 749  Goodness -of-fit on F2 0.969  Final R indices [I>2sigma(I)]  R1 = 0.0790, wR2 = 0.1679  R indices (all data)  R1 = 0.0869, wR2 = 0.1730  Extinction coefficient  n/a Largest diff. peak and hole  0.896 and -0.865  e.?-3   S46 Table S4. Crystal data and structure refinement  for (©I)-C4i  (©I)-C4i CCDC no.  2157133  Empirical formula  C47 H28 Br3 Cl2 N11 O8  Formula weight  1185.43  Temperature  169.99(1 2) K Wavelength  1.54184 ? Crystal system  Triclinic  Space group  P-1 a 8.80322(9)  ? b 16.06460(18)  ? c 19.48114(19)  ? Ï« 101.9922(9) ¡« ÉÇ 91.1910(8)¡«  ÎÛ 105.5474(9)¡«  Volume  2587.73(5) ?3 Z 2 Density (calculated)  1.521 Mg/m3 Absorption coefficient  4.364 mm-1 F(000)  1180  Crystal size  0.2 x 0.15 x 0.1 mm3 Theta range for data collection  3.312 to 75.166¡«  Index ranges  -10<=h<=11, -19<=k<=15, -24<=l<=23  Reflections collected  38334  Independent reflections  10185 [R(int) = 0.0276]  Completeness to theta = 67.684¡«  99.6%  Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.00000 and 0.79623  Refinement method  Full-matrix least -squares on F2 Data / restraints / parameters  10185 / 0 / 640  Goodness -of-fit on F2 1.039  Final R indices [I>2sigma(I)]  R1 = 0.0 286, wR2 = 0. 0753  R indices (all data)  R1 = 0.0 305, wR2 = 0. 0763  Extinction coefficient  n/a Largest diff. peak and hole  0.642 and -0.495 e.?-3  S47 Table S5. Crystal data and structure refinement  for (-)-C4f  (-)-C4f CCDC no.  2157134  Empirical formula  C50 H35 Br3 N12 O7  Formula weight  1155.63  Temperature  169.9 8(10) K Wavelength  1.54184 ? Crystal system  Orthorhombic  Space group  P212121 a 10.79520(10) ?  b 18.59170(10) ?  c 23.3897(2) ?  Ï« 90¡« ÉÇ 90¡« ÎÛ 90¡« Volume  4694.34(6) ?3 Z 4 Density (calculated)  1.635 Mg/m3  Absorption coefficient  3.760  mm-1 F(000)  2320  Crystal size  0.28 x 0.03 x 0.02 mm3 Theta range for data collection  3.036 to 75.410¡«  Index ranges  -10<=h<=13, -23<=k<=23, -29<=l<=28  Reflections collected  44451  Independent reflections  9388 [R(int) = 0.0318]  Completeness to theta = 67.684¡«  100.0 % Absorption correction  Semi -empirical from equivalents  Max. and min. transmission  1.00000 and 0.77061  Refinement method  Full-matrix least -squares on F2 Data / restraints / parameters  9388 / 0 / 613  Goodness -of-fit on F2 1.038  Final R indices [I>2sigma(I)]  R1 = 0.0316, wR2 = 0.0840  R indices (all data)  R1 = 0.0322, wR2 = 0.0844  Absolute structure parameter  -0.017(7)  Extinction coefficient  n/a Largest diff. peak and hole  1.213 and -0.642 e.?-3  S48  Figure S 26. The thermal ellipsoid plot of  C1. The thermal ellipsoids are shown at the 50% probability level.",CCDC
"S4 2. Synthesis  2.1 Synthesis of cage C 1 The compound  1 was known and prepared according to literature.[S1]   2: Solutions  of 1 (14.50  g, 39.97 mmol) in THF ( 100 mL) and DIPEA (19.35 g, 1 49.71 mmol) in THF (100 mL)  were added dropwise at the same rate to  a stirred solution of cyanuric  chloride  (33.20 g, 179.95 mmol ) in THF  (300 mL)  at 0 oC over a period of 1 h. The resulting mixture was kept stirring for another 3 h at 0  oC. After filtration , the solvent  was evaporated under reduced pressure,  and the residue was subjected to column chromatography on silica ge l (petroleum  ether /acetone = 6:1)  to give the pure product 1 as a white solid in 73% yield (23.45 g).  Mp: 218 -219 oC; 13C{1H} NMR (CDCl 3, 125 MHz) Ñ´ (ppm)  173.8 , 169.3 , 147.2 , 112.1 ; MS (MALDI -TOF) m/z for [M+K]+ (C15Br3Cl6KN9O3+), 839.5; IR (KBr) ôé 1516, 1374, 1297, 1260, 1180  cm-1; Anal. Calcd. for C 15Br3Cl6N9O3: C, 22.34; N, 15.63. Found: C, 22.57;  N, 15.39.",comprehensive synthesis
"Cage C1: A solution of 2 (10.10  g, 12.52 mmol) in dichloromethane  (250 mL) w as added  dropwise to a mixture  of phloroglucinol  (1.58 g, 12.5 4 mmol)  and DIPEA ( 5.81 g, 45.04 mmol) in  dichloromethane  (2.25 L) at room temperature. The resulting mixture was kept stirring at room temperature for 30 h. The solvent  was evaporated under reduced pressure,  and the residue was subjected to column chromatography on silica S5 gel (petroleum  ether /acetone = 3:1)  to give the pure product C1 as a white solid in 40% yield  (4.04 g). Mp: 253 -254 oC; 1H NMR (CDCl 3, 500 MHz) Ñ´ (ppm) 6.68 (s, 3H); 13C{1H} NMR (CDCl 3, 100 MHz) Ñ´ (ppm) 175.7, 172.7, 170.3, 153.0, 147.4, 115.1, 112.0; HRM S (APCI+) calc. for [M+H]+ (C21H4Br3Cl3N9O6+), 819.6895, found 819.6893 ; IR (KBr)  ôé 3089,  1560,  1486,  1294  cm-1; Anal Calcd.  for C21H3Br3Cl3N9O60.5H 2O0.5CHCl 3: C, 28.95; H, 0.51; N, 14.13. Found: C, 28.96; H, 0.52; N, 13.87.",comprehensive synthesis
"2.2 Synthesis of cages C2a -C2d   General procedure  (for synthesis of C2a and C2b ): A solution  of HÃ¿R1 (1.000 mmol) in THF (100 mL) was added dropwise to a solution of cage C1 (823 mg, 1.000 mmol)  and DIPEA  (258 mg, 1.966 mmol) in THF (100 mL) at -20 oC over a period of 1 h . The resulting mixture was stirred for another 2 h at -20 oC. The mixture was evaporated under reduced pressure,  and the residue was subjected to column chromatography on silica ge l to give the product as a solid.",comprehensive synthesis
"Cage C2a: Following the general procedure, cage C1 was reacted with dibenzylamine  (197 mg, 0.998  mmol) in THF at -20 oC for 3 h . After work -up the crude product was subjected to column chromatography on silica gel ( dichloromethane ) to give the pure product C2a as a white solid in 42% yield ( 415 mg). Mp: 203 -204 oC; 1H NMR (CDCl 3, 500 MHz) Ñ´ (ppm) 7.39 -7.29 (m, 10H), 6.68 ( m, 2H), 6.60 (t, J = 1.9 Hz, 1H), 4.91 (s, 2H), 4.86 (s, 2H); 13C{1H} NMR (CDCl 3, 125 MHz) Ñ´ (ppm) 175.4, 172.8, 172.4, 170.5, 170.0, 169.0, 154.1, 152.6, 148.4, 14 7.0, 136. 03, 136.0 0, 128.81, 128.78, 128.17, 128.07, 127.87, 115.7, 113.9, 112.6, 110.6, 49.2, 48.9; HRM S (APCI+) calc. for [M+H]+ S6 (C35H18Br3Cl2N10O6+), 980.8332, found 980.8320;  IR (KBr) ôé 3087, 2928, 1608, 1555, 1293  cm-1; Anal. Calcd. for C35H17Br3Cl2N10O6: C, 42.71; H, 1.74; N, 14.23. Found: C, 43.24; H, 1.91; N, 13.98.",comprehensive synthesis
"Cage C2b: Following the general procedure, cage C1 was reacted with pyrrolidine  (71 mg, 0.998  mmol) in THF at  -20 oC for 3 h . After work -up the crude product was subjected to column chromatography on silica gel ( petroleum  ether /ethyl acetate  = 4:1) to give the pure product C2b as a white solid in 41% yield ( 354 mg). Mp: 223 -224 oC; 1H NMR (CDCl 3, 500 MHz) Ñ´ (ppm) 6.62 ( m, 2H), 6.58 (t, J = 1.9 Hz, 1H), 3.7 4-3.69 (m, 4H) , 2.06-2.03 (m, 4H ); 13C{1H} NMR (CDCl 3, 125 MHz) Ñ´ (ppm) 175.4, 172.8, 171.6, 170.5, 169.3, 165.6, 154.0, 152.6, 148.4, 146.9, 115.7, 113.8, 112.6, 110.5, 47.22, 47.20, 25. 16, 25.1 4; MS (MALDI -TOF) m/z for [M+H]+ (C25H12Br3Cl2N10O6+), 854.7 ; IR (KBr) ôé 3087, 2975, 2878, 1640, 1554, 1294  cm-1; Anal. Calcd. for C25H11Br3Cl2N10O6: C, 35.00; H, 1.29; N, 16.32. Found: C, 35.01; H, 1.38; N, 16.17.",comprehensive synthesis
"Cage C2c: 4-Hydroxypyridine  (95 mg, 0.999  mmol ) was added to a stirring mixture  of cage C1 (823 mg, 1.000 mmol) and K2CO 3 (276 mg, 1.997  mmol) in CH 3CN (200 mL) at 0 oC. The resulting mixture was kept stirring at 0 oC for 5 h. The solvent was removed under reduced pressure  and the  residue was subjected to column chromatography on a silica gel ( petroleum ether /acetone  = 1:1) to give the pure product  C2c as a white solid in 30% yield (2 66 mg). Mp: >300  oC; 1H NMR (CDCl 3, 500 MHz) Ñ´ (ppm) 8.85 (d, J = 8.2 Hz, 2H), 6.68 (s, 3H), 6.5 5 (d, J = 8.2 Hz, 2H) ; 13C{1H} NMR (CDCl 3, 125 MHz) Ñ´ (ppm) 180.9, 175.7, 173.3, 172.7, 171.0, 170.3, 166.2, 153.1 4, 153.0 0, 147. 47, 147. 36, 133.9, 119.5, 115.1, 115.0, 112.0, 111.9 ; MS (MALDI -TOF) m/z for [M+H]+ (C26H8Br3Cl2N10O7+), 878.6 ; IR (KBr) ôé 3087, 1724, 1661, 1560, 1364, 1294  cm-1; Anal.",comprehensive synthesis
"Cage C2d: Phenol (94 mg, 0.999 mmol) was added to a stirring mixture of cage C1 (823 mg, 1.000 mmol) and K 2CO 3 (416 mg, 3.014 mmol) in CH 3CN (200 mL) under S7 room temperature. The resulting mixture was kept stirring at room temperature for 10 h. The solvent was remove d under reduced pressure  and the  residue was subjected to column chromatography on a silica gel (petroleum ether/ethyl acetate = 5:1) to give the pure product  C2d as a white solid in 26% yield (224 mg). Mp: 235 -236 oC; 1H NMR (CDCl 3, 500 MHz) Ñ´ (ppm) 7.49 (t, J = 7.8 Hz, 2H), 7.35 (t, J = 7.4 Hz, 1H), 7.28 (d, J = 8.2 Hz, 2H), 6.65 -6.64 (m, 3H); 13C{1H} NMR (CDCl 3, 125 MHz) Ñ´ (ppm) 175.5, 174.9, 173.8, 172.7, 171.5, 170.4, 153.4, 152.8, 151.3, 147.8, 147.2, 129.9, 126.8, 121.3, 115.3, 114.6, 112.2, 111.4; MS (MALDI -TOF) m/z for [M+H]+ (C27H9Br3Cl2N9O7+), 877.6; IR (KBr) ôé 3085, 2923, 1600, 1366, 1294 cm-1; Anal. Calcd. for C27H8Br3Cl2N9O70.5H 2O: C, 36.44; H, 1.02; N, 14.16. Found: C, 36.24; H, 0.97; N, 14.07.",comprehensive synthesis
