content,category
"Itshouldbenotedthat,despitethehighefficiency anddirectionality ofcoordination-driven self-assembly, metal-coordination cagessometimes exhibitnofluorescence duetotheheavyatomeffectormetal-to-ligand chargetransfer.[8]Inaddition, somemetallacages areinherently unstableunderacid/alkaline mediaorinthepresence ofsomeanionsandaminoacids,[9]whichhampers theirapplications undercertainconditions. Ontheotherhand,covalent organic[*] Dr .Y.Qin,+Q.-H. Ling,+Y.-T .Wang,+Dr .Y.-X. Hu, Prof. L. Hu,Prof. X. Zhao, Prof. H.-B. Yang, Prof. L. XuShanghai Key Laboratory of Green Chemistry and ChemicalProcesses, Shanghai Frontiers Science Center of Molecule Intelli-gent Syntheses, School of Chemistry and Molecular Engineering,East China Normal UniversityShanghai 200062 (China)E-mail: lxu@chem.ecnu.edu.cnDr .Y.Qin,+Prof. D. WangCenter for AIE Research, Shenzhen Key Laboratory of PolymerScience and Technology ,Guangdong Research Center for InterfacialEngineering of Functional Materials, College of Materials Scienceand Engineering, Shenzhen UniversityShenzhen 518060 (China)E-mail: wangd@szu.edu.cnProf. B. Z. TangShenzhen Institute of Molecular Aggregate Science and Engineer-ing, School of Science and Engineering, The Chinese University ofHong Kong, 2001 Longxiang Boulevard, Longgang District,Shenzhen, Guangdong 518172 (China)E-mail: tangbenz@cuhk.edu.cn[1]These authors contributed equally to this work.",affiliation
"[18]Deposition numbers 2208056 (formetallacage M1),and2208057 (formetallacage M2)contain thesupplementarycrystallographic dataforthispaper.ThesedataareprovidedfreeofchargebythejointCambridge Crystallographic DataCentreandFachinformationszentrum Karlsruhe AccessStruc-turesservice.",CCDC
"Identification code  exp_2099  CCDC number  2208056  Empirical formula  C296H243F24N28O40S8Zn4 Formula weight  5806.13  Temperature/K  170.00(10)  Crystal system  orthorhombic  Space group  Pccn  a/? 58.2194(5)  b/? 46.9999(3)  c/? 25.04870(10)  ¦Á/¡ã 90 ¦Â/¡ã 90 ¦Ã/¡ã 90 Volume/?3 68540.9(8)  Z 8 ¦Ñcalcg/cm3 1.125  ¦Ì/mm-1 1.408  F(000)  23992.0  Crystal size/mm3 0.36 ¡Á  0.24 ¡Á  0.22  Radiation  CuK¦Á (¦Ë = 1.54184)  2¦¨ range for data collection/¡ã  6.882 to 134.16  Index ranges  -69 ¡Ü h ¡Ü 69, -56 ¡Ü k ¡Ü 52, -29 ¡Ü l ¡Ü 26  Reflections collected  714856  Independent reflections  61013 [R int = 0.1332, R sigma = 0.0597]  Data/restraints/parameters  61013/182/3603  Goodness -of-fit on F2 1.066  Final R indexes [I>=2¦Ò (I)]  R1 = 0.1012, wR 2 = 0.2744  Final R indexes [all data]  R1 = 0.1339, wR 2 = 0.2968  Largest diff. peak/hole / e ?-3 1.05/ -0.83                 S-12  5. Synthesis of metallacage M2.",CCDC
"Identification code  exp_2001  CCDC number  2208057  Empirical formula  C95.5H74CdF 12N6.5O14S2 Formula weight  1941.13  Temperature/K  170.00(10)  Crystal  system  monoclinic  Space group  C2/c  a/? 51.1872(11)  b/? 22.1922(6)  c/? 21.3999(5)  ¦Á/¡ã 90 ¦Â/¡ã 100.499(2)  ¦Ã/¡ã 90 Volume/?3 23902.4(10)  Z 8 ¦Ñcalcg/cm3 1.079  ¦Ì/mm-1 2.391  F(000)  7940.0  Crystal size/mm3 0.36 ¡Á  0.32 ¡Á  0.26  Radiation  CuK¦Á (¦Ë = 1.54184)  2¦¨ range for data collection/¡ã  5.882 to 134.156  Index ranges  -54 ¡Ü h ¡Ü 61, -26 ¡Ü k ¡Ü 25, -24 ¡Ü l ¡Ü 25  Reflections collected  123032  Independent reflections  21319 [R int = 0.0931, R sigma = 0.0578]  Data/restraints/parameters  21319/75/1187  Goodness -of-fit on F2 1.044  Final R indexes [I>=2¦Ò (I)]  R1 = 0.0823, wR 2 = 0.2395  Final R indexes [all data]  R1 = 0.1022, wR 2 = 0.2585  Largest diff. peak/hole / e ?-3 1.48/ -0.75 6. Synthesis of the covalent cage  C1.",CCDC
"4,4'-Diaminobenzophenone  (2.50 g, 11.779 mmol), 4,4' -Dimethoxybenzophenone (2.853 g, 11.779 mmol, 1.0 eq.) and  zinc powder (6.160 g, 94.218 mmol, 8.0 eq.) were added to a 200 mL round flask and the flask was evacuated and refilled with N 2 for three times. T hen 60 mL THF was added.  TiCl 4 (5.18 mL, 47.136 mmol, 4.0 eq.)  was         S-2  dropwise added to the mix ture under ice bath conditions and the mixture was then heated at 75 oC for 6 h. After cooling to room temperature, 170 mL 10% K 2CO 3 (aq) was added to the mixture  to quench the reaction. T he mixture  was extracted with dichloromethane  and the organic phase was collected. The crude product was purified by column chromatography by using dichloromethane as eluent to give the desired product L1 (1.089 g, 22%) as a yellow solid. 1H NMR (500 MHz, DMSO -d6, 298 K): ¦Ä = 6.82 (d, J = 8.7 Hz, 4H), 6.66 (d, J = 8.8 Hz, 4H), 6.59 (d, J = 8.5 Hz, 4H), 6.27 (d, J = 8.5 Hz, 4H), 4.96 (s, 4H), 3.67 (s, 6H). 13C NMR (126 MHz, DMSO -d6, 298 K ): ¦Ä = 156.96 , 146.74, 139.96, 137.41, 134.62, 132.02, 131.79 , 131.72,  113.13, 113.03 , 54.84. ESI -MS: m/z calcd for [ M + H]+: 423.53 , found: 423.21.",comprehensive synthesis
"4,4'-Dibromobenzophenone (5.0 g, 14.705 mmol), 4,4' -Dimethoxybenzophenone (3.560 g, 14.694 mmol) and zinc powder (7.690 g, 117.620 mmol ) were added to the round flask  and the flask was evacuated and refilled with N 2 for three times. T hen 120 mL of dry and deoxygenated THF was added  to the  flask . The reaction system was placed in an ice bath and 6.45 mL of TiCl 4 was added dropwise. T he mixture was further stirred for 12 h  under reflux . After the reaction system was cooled to room temperature, 200 mL of 10% K 2CO 3 (aq) was added to quench the reaction and the mixture was extracted with dichlorome thane.  The organic phase was collected and t he crude product was purified by column chromatography using dichloromethane: petroleum ether = 5:1 as eluent to give the TPE -Br (2.620 g, 32%) as a white solid. TPE -Br (1.0 g, 1.817 mmol), bis(pinacolato)diboron (1.85 g, 7.285 mmol), Pd(dppf)Cl 2 (163 mg, 0.223 mmol) and KOAc  (1.070 g, 10.903 mmol) w ere added to the reaction flask and the flask was evacuated and refilled with N 2 for three times.  Then 60 mL dry dioxane was added and the mixture was reflux ed for 24 h. After the reaction system was cooled to room         S-4  temperature, the  organic solvent was evaporated and purified by column chromatography by using petroleum ether: ethyl acetate = 15:1 as eluent to give the TPE -Bpin  (851 mg, 73%) as a white solid.  TPE -Bpin  (800 mg, 1.241 mmol), 4 -bromo -3,5-difluoroaniline (744 mg, 3.577 mm ol), Pd(PPh 3)4 (287 mg, 0.248 mmol) and  K2CO 3 (1.029 g, 7.445 mmol)  were added to the round flask.  Then deoxygenated to luene (32 mL), ethanol (16 mL) and water (8 mL) were added and the mixture was reflux ed for 24 h. The mixture was extracted with dichlor omethane  and the crude product was purified by column chromatography by using dichloromethane as eluent to give the product  L2 (356 mg, 44%) as a pale yellow solid. 1H NMR (300 MHz, CD 3CN, 298 K ): ¦Ä = 7.17 (d, J = 8.3 Hz, 4H), 7.07 (d, J = 10.2 Hz, 4H), 6.97 (d, J = 6.7 Hz, 4H), 6.70 (d, J = 8.8 Hz, 4H), 6.28 (d, J = 10.7 Hz, 4H), 4.62 (s, 4H), 3.71 (s, 6H). 13C NMR (126 MHz, CD 3CN, 298 K ): ¦Ä = 162.66, 160.74, 159.31, 150.46, 144.14, 137.16, 133.19, 131.73, 130.56, 128.92, 114.00, 98.34, 97.81. 19F NMR (376 MHz, DMSO -d6, 298 K ): ¦Ä = -116.75 (s). HRMS (ESI): m/z Calcd for [ M + H+]+: 647.6735, found: 647.2309.",comprehensive synthesis
"5-hydroxypyridine -2-carbaldehyde  (1.650 g, 13.403 mmol, 3.1 eq.) and K2CO 3 (2.021 g, 14.624 mmol, 3.4 eq.) were added to a 250 mL round flask. Then 80 mL MeCN was added and the mixture was heated at 60 oC for 30 min. 1,3,5 -tris(bromomethyl) -2,4,6 -trimethylbenzene  (1.701 g, 4.264 mmol)  was added to the flask and the mixture was heated at 85 oC for 18 h. After cooling to room temperature, the organic solvent was evaporated and the residue was purified by column chromatography (DCM:MeOH = 200:1) to give the desired product L3 (1.682 g, 75% ) as a white solid. 1H NMR (400 MHz, CDCl 3, 298 K): ¦Ä (ppm) = 10.02 (s, 3H), 8.53 (d, J = 2.7 Hz, 3H), 8.03 (d, J = 8.6 Hz, 3H), 7.46 (dd, J = 8.6, 2.6 Hz, 3H), 5.28 (s, 6H), 2.47 (s, 9H). 13C NMR (126 MHz, CDCl 3, 298 K ): ¦Ä (ppm)  = 192.08 , 158.37, 146.80, 140.18, 138.81, 130.99, 123.57, 120.84 , 65.69, 16.26. HRMS (EI): m/z Calcd for M+: 525.5530, found: 525.1897.",comprehensive synthesis
"Ligand  L3 (50 mg, 0.095 mmol)  and Zn(NTf 2)2 (59.50 mg, 0.095 mmol) were  dissolved in 80 and 15 mL MeCN , respectively. L1 (60 mg, 0.143 mmol) was dissolved  in the mixture of 1 mL DMF and 15 mL MeCN. Then the three comp ounds were added to a 250 mL round bottom flask in order and the mixture was heated at 70 oC for 12 h. After cooling to room temperature, the organic solvent was concentrated to 8 mL and diethyl ether  was added to form a precipitate. T he precipitate was washed with diethy l ether for three times and then dried under vacuum to give M1 (127.50 mg, 77%) as a n orange solid. 1H NMR (500 MHz, CD 3CN, 298 K): ¦Ä = 8.30 (s, 6H), 8.24 (dd, J = 8.4, 2.5 Hz, 6H), 8.15 (d, J = 8.4 Hz, 6H), 6.90 (d, J = 8.5 Hz, 12H), 6.78 (d, J = 8.8 Hz, 12H), 6.59 (d, J = 8.8 Hz, 12H), 6.07 (d, J = 2.4 Hz, 6H), 5.80 (d, J = 8.4 Hz, 12H), 5.51 (d, J = 13.6 Hz, 6H), 5.42 (d, J = 13.7 Hz, 6H), 3.63 (s, 18H), 2.18 (s, 18H). 19F NMR (376 MHz, CD 3CN, 298 K ): ¦Ä = -79.63 ( s). ESI -TOF-MS: m/z calcd for [M ¨C 3NTf 2-]3+: 873.5609, found: 873.6241; m/z calcd for [M ¨C 4NTf 2-]4+: 585.1933, found: 585.2347.",comprehensive synthesis
"L3 (53 mg, 0.101 mmol) , L2 (97 mg, 0.150 mmol)  and Cd(OTf) 2 (41 mg, 0.10 mmol) were  dissolv ed with 40 mL, 40 mL and 20 mL MeCN , respectively. Then  the above compounds  were added into  a 100  mL round flask in order and heated at 70 oC for 12 h. After cooling to room temperature, the organic sol vent was concentrated to 20 mL and diethyl ether  was added to form a precipitate. T he precipitate was washed with diethyl ether for three times and dried under vacuum to give product M2 (164 mg, 89%) as an orange solid. 1H NMR (50 0 MHz, CD 3CN, 338 K): ¦Ä = 8.77 (s, 6H), 8.26 (dd, J = 21.3, 9.5 Hz, 12H), 7.16 (s, 24H), 6.93 (d, J = 8.7 Hz, 12H), 6.66 (d, J = 8.7 Hz, 12H), 6.57 (s, 6H), 6.49 (s, 6H), 6.43 (s, 6H), 5.57 (d, J = 16.9 Hz, 12H), 3.69 (s, 18H), 2.27 (s, 18H). 19F NMR (376 MHz, CD 3CN, 298K): ¦Ä = -78.88 ( s), -111.69 (s), -111.82 (s).",comprehensive synthesis
"S-16  M1 (567 mg, 0.164 mmol ) were dissolved in 60 mL DMF and then 60 mL THF and 2 mL MeOH were added . NaBH 4 (216 mg, 6.391 mmol) was added to the mixture and heated at 50 ¡ãC for 8 h. The organic solvent was evaporated and 80 mL H 2O was added to stir for 30 min. The precipitate was collected by centrifuge and washed with water for three times. The solid was purified by column chromatography on neutral alumina (DCM:MeOH = 100:1) to give crude product. The crude  product was purified by preparative thin -layer chromatography (DCM:MeOH = 12:1) to give C1 (109 mg, 30%) as a yellow solid. 1H NMR (500 MHz, CD 2Cl2, 298 K): ¦Ä = 8.17 (d, J = 2.6 Hz, 6H), 7.21 (d, J = 8.6 Hz, 6H), 7.15 (dd, J = 8.6, 2.7 Hz, 6H), 6.88 (d, J = 8.7 Hz, 12H), 6.65 (d, J = 8.5 Hz, 12H), 6.62 (d, J = 8.8 Hz, 12H), 6.27 (d, J = 8.5 Hz, 12H), 4.87 (s, 12H), 4.59 (s, 6H), 4.32 (s, 12H), 3.72 (s, 18H), 2.40 (s, 18H). 13C NMR (126 MHz, CD 2Cl2, 298 K ): ¦Ä = 158.02 , 154.30, 152.48, 146.11, 140.02, 139.74 , 137. 51, 137.44 , 134.44, 132.65, 132.04, 131.72, 122.12, 121.51, 113.16 , 112.55, 65.14, 55.40, 49.21, 16.34. MS (ESI-MS): m/z calcd for [ M + H]+:2223.0193, found: 2222.9912; m/z calcd for [ M + 2H]2+:1112.0133, found: 1111.9999; m/z calcd for [ M + 3H]3+:741.6779, found: 741.6695.",comprehensive synthesis
