content,category
"The six-m embered macrocycles self-assem bled through p¨Cp-stacking tosupr amolecular polyme rsofdifferent lengths,which were then modified byorthogonal formation ofdisul-fide bridges.[14]Some time ago, theB?hmer group demonstr at-edthat two calix[4]a renes forming ahydro gen-bonding dimercan betransform edinto amulti-caten ane viaeightfold ring-closing metathe sis.[15]Allthose approaches have incommo nthat thetwo types ofbonding havetobeortho gonal.[16][a]Dr.M.H/C228hsler ,Prof.Dr.M.MastalerzInstitute ofOrganic Chemistry ,Heidelberg Universit yHeid elberg, ImNeuenhe imer Feld270,69120 Heid elberg (Germany)E-mail :michael.mastaler z@oci.uni-h eidelbe rg.deSuppo rting informa tion and theORCID identifica tion number(s) fortheautho r(s)ofthisarticl ecanbefound under :https ://doi .org/10.10 02/che m.202003675 .",affiliation
"2. Synthesis and Characterization  1-Bromo -3,5-bis(bromomethyl)benzene ( 1)  Over a period of 30  min a solution of PBr 3 (22.2  mL, 63.9  g, 237  mmol) in dry DCM (24  mL) was added to a suspension of alcohol S1[1] (6.00  g, 27.9  mmol) in dry DCM (120  mL). The reaction mixture was stirred 6 h under reflux. After  cooling to room temperature , H2O (24  mL) was added in small portions to the mixture and stirred for 12 h. DCM (240  mL) was added, the phases separated and the organic phase was washed with H2O (3 x 120 mL) and dried over Na 2SO 4. TLC (PE/EtOAc  = 30:1): Rf = 0.30 ( 1). After chromatography (SiO 2, PE/EtOAc  = 30:1) and removal of the solvent by high vacuum , 9.29 g (97 %) of aryl bromide 1 were obtained as a colourless solid.  M.p. = 95¡ãC. 1H NMR  (500 MHz, CDCl 3): ?? (ppm) = 7.45 (d , J = 1.2 Hz, 2H, Ar -4,6-H), 7.34 (s, 1H, Ar -2-H), 4.41  (s, 4H, C H2Br). Analytical data are in accordance to those from lit . (RefS1).[8] 1-Bromo -3,5-di(but -3-en-1-yl)benzene  (2)  A solution of allylmagnesium bromide ( 1M, 11.7 mL, 11.7  mmol, in Et 2O) was added to aryl bromide 1 (1.00  g, 2.92 mmol) at 0¡ãC and the reaction mixture was stirred 48 h under reflux. After cooling to room temperature, saturated NH 4Cl-solution was added to the  mixture and the mixture extracted with Et 2O (3 x 50 mL). The collected organic phase was washed with brine  (50 mL) and dried over Na 2SO 4. TLC (PE): R f = 0.42 ( 2). After column chromatography (SiO 2, PE) and removal of the solvent by rotary evaporation , 620 mg (92%) of aryl bromide 2 were obtained as colorless liquid.  ???? 20  = 1.5401 . 1H NMR (300  MHz, CDCl 3): ?? (ppm) = 7.16 (d,  J = 1.2 Hz, 2H, Ar -4,6-H), 6.92 (s, 1H, Ar -2-H), 5.83 (ddt, J = 16.9 Hz, J = 10.2 Hz, J = 6.6 Hz, 2H, Ar -CH 2-CH 2-CH), 5.06 (dd, J = 3.3 Hz, J = 1.6 Hz, 1H, CH=C HZH), 4.99 (d, J = 9.3 Hz, 3H, CH=C HEH) 2.72 ? 2.56 (m, 4H, Ar -CH2), 2.34  (m, J = 9.8 Hz, J = 4.6 Hz, 4H, Ar -CH 2-CH2).13C NMR  (75 MHz, CDCl 3): ?? (ppm) = 144.1 (Ar -C-3,5), 137.8 (Ar -CH 2-CH 2-CH), 129.1 (Ar -C-4,6), 127.6 (Ar -C-2), 122.4 (Ar -C-1), 115.4 (Ar-CH 2-CH 2-CH=CH2), 35.4 (Ar -CH2), 35.2 (Ar -CH 2-CH2). IR (reflexion): ??? (cm-1) = 3077  (m), 3000  (m), 2978  (m), 2928  (s), 2856  (m), 1830  (w), 1739  (w), 1641  (m), 1603  (m), 1569  (s), 1443  (m), 1416  (m), 1336  (w), 1240  (w), 995  (m), 913  (s), 856  (m), 824  (m), 802  (m), 696  (m), 648  (w). Elemental anal. calcd. for  C14H17Br: C 63.41% H 6.46%, found: C 63.39% H 6.47%.  HRMS ( EI+) (m/z): [M]+¡¤ calcd. for C14H17(79Br), 264.0508, found, 264.0502.  ((3,5-Di(but -3-en-1-yl)ph enyl)ethynyl)trimethylsilane (3a )  To a degassed solution of  aryl bromide 2 (669 mg, 2.52  mmol) in Et2NH (25  mL), ethynyltrimethylsilane (322 mg, 3.28  mmol), CuI (24.0  mg, 0.13  mmol) and [Pd(PPh 3)2Cl2] (88.4  mg, 0.13  mmol) were added and the reaction mixture was stirred 72 h at 55¡ãC. After cooling to room temperature, n-pentane (25  mL) was added to the mixture and filtered through a pad  of Celite? and solvent was removed by rotary evaporation.",comprehensive synthesis
"Then H 2O (25  mL) was added to t he residue and extracted with Et 2O (3 x 25 mL). The organic phase was washed with saturated NH 4Cl-solution (25  mL) and H 2O (2 x 25 mL) and finally dried over MgSO 4. TLC (PE): Rf = 0.45 ( 2), 0.16 ( 3a). After column chromatography (SiO 2, PE) and removing of the solvent by rotary evaporation 434  mg (61%) of silane 3a were obtained as a pale yellow liquid . 214 mg (32%) of aryl bromide 2 were recovered as a colorless liquid.  ???? 20  = 1.5337 . 1H NMR  (500 MHz, CDCl 3): ?? (ppm) = 7.15 (d,  J = 1.4 Hz, 2H, Ar -4,6-H), 6.96 (s, 1H, Ar -2-H), 5.83 (ddt, J = 16.9 Hz, J = 10.2 Hz, J = 6.6 Hz, 2H, C H=CH 2), 5.07 ? 4.94 (m, 4H, CH=C H2), 2.68  ? 2.61 (m, 4H, Ar-CH2), 2.34 (dd, J = 15.1 Hz, J = 7.1 Hz, 4H, Ar -CH 2-CH2), 0.28 ? 0.19 (m, 9H, -CH3). 13C NMR (75  MHz, CDCl 3): ?? (ppm) = 142.0 (Ar -C-1,3), 138.0 ( CH=CH 2), 129.7 (Ar -C-4,6), 129.4 (Ar -C-2), 122.9 (Ar -C-5), 115.2 (CH= CH2), 105.7 (Ar -C), 93.5 (Ar -C¡ÔC), 35.5 (Ar -CH 2-CH2), 35.2 (Ar -CH2), 0.2 ( -CH3). IR (reflection): ??? (cm-1) = 3078 (m), 3000 (m), 2978 (m), 2959 (m), 293 0 (m), 2856 (m), 2155 (m), 1829  (w), 1779  (w), 1642  (m), 1595  (m), 1453  (m), 1416  (m), 1344  (w), 1298  (m), 1250  (s), 1163  (w), 1098  (w), 996  (m), 947 (m), 913 (m), 856  (s), 760  (m), 701  (m), 648  (w). Elemental anal. calcd.",comprehensive synthesis
"1,3-Di(but -3-en-1-yl)-5-ethynylbenzene (3 )  To a solution of s ilane 3a (250 mg, 0.88  mmol) in MeOH/THF  = 1:1 (10  mL) K2CO 3 (350 mg, 2.53  mmol) was  added and the reaction mixture  stirred at RT. After 3  h the solvent was removed by rotary evaporation. TLC (PE): R f = 0.22 ( 3). After chromatography (SiO 2, PE) and removal of the solvent by rotary evaporation 179  mg (95%) of 3 were obtained as pale yellow liquid.  ???? 20  = 1.5362 . 1H NMR (400  MHz, CDCl 3): ?? (ppm) = 7.19  ? 7.14 (m, 2H, Ar -4,6-H), 7.00 (s, 1H, Ar -2-H), 5.83 (ddt, J = 16.9 Hz, J = 10.2 Hz, J = 6.6 Hz, 2H, C H=CH 2), 5.09 ? 4.94 (m, 4H, CH=C H2), 3.02 (s, 1H, C¡ÔC H), 2.71 ? 2.62 (m, 4H, Ar-CH2), 2.36 (dt, J = 14.2 Hz, J = 7.0 Hz, 4H, Ar -CH 2-CH2). 13C NMR  (100 MHz, CDCl 3): ?? (ppm) = 142.0 (Ar -C-1,3), 137.8 ( CH=CH 2), 129.7 (Ar-C-4,6), 129.5 (Ar -C-2), 121.8 (Ar -C-5), 115.1 (CH= CH2), 84.1 (Ar -C-1,3), 77.2 (Ar -C), 76.4 (Ar-C¡ÔC), 35.3 (Ar-CH 2-CH2), 35.1 (Ar -CH2). IR (reflection): ??? (cm-1) = 3295  (s), 3077  (m), 3000  (m), 2977  (m), 2928  (s), 2856  (m), 2586  (m), 2107  (w), 1831  (w), 1641  (m), 1595  (s), 1452  (m), 1416  (m), 1335  (w), 1234  (w), 1098  (w), 996  (m), 912  (s), 865  (m), 701  (m), 650  (w). Elemental anal. calcd. for  C16H18: C 91.37% H 8.6 3%, found: C 90.66% H 8.66 %. HRMS ( DART ) (m/z): [M]+¡¤ calcd. for C16H18, 421.2890, found, 421.2889.",comprehensive synthesis
"(9s,10s) -1,4-bis((3,5 -di(but -3-en-1-yl)phenyl)ethynyl) -6,7,14,15 -tetrameth -oxy-9,10-dihydro -9,10-[1,2]benzenoanthracene ( 5)  1.6M (in n-hexane)  n-butyllithium solution (2.24  mL, 3.59  mmol) were added to a solution of alkyne 3 (760 mg, 3.61 mmol) in dry THF (3.5  mL) under argon and the reaction mixture  was stirred at 0¡ãC. After 1  h this solution was added under argon to a solution of quinone 4 (385 mg, 0.95  mmol) in dry THF (21  mL) and the reaction mixture was stirred 4 hours at room temperature . H2O (1.5  mL), SnCl 2?2H2O (1.11  g, 5.85  mmol) and acetic acid (4.3  mL) was added and the reaction mixture was stirred at RT. After 15  h, DCM (250  mL) was added and the organic phase separated and washed with 3M  HCl (50  mL), 1M HCl (3  x 50 mL) and H 2O (2 x 50 mL).",comprehensive synthesis
"TLC (PE/EtOAc  =8:1): R f = 0.14 ( 5). Solvents were removed by rotary evaporation and the crude product was purified by column chr omatography (SiO 2, PE/EtOAc  =8:1)  to give 439 mg (58%) of triptycene 5 as a yellow solid.  M.p. = 150¡ãC . 1H NMR (600  MHz, CDCl 3): ?? (ppm) = 7.35 (d, J = 1.1 Hz, 4H, Phenyl -2,6-H), 7.13 (s, 2H, Phenyl -4-H), 7.08 (s, 2H, Ar -2,3-H), 7.08 (s, 4H, Ar -5,8,13,16 -H), 5.90 (ddt, J = 16.9 Hz, J = 1.6 Hz, 4H, Ar-CH 2-CH 2-CH), 5.81 (s, 2H, bridgehead -H), 5.10 (dd, J = 17.1 Hz, J = 1.6 Hz, 4H, CH=C HZH), 5.03 (dd, J = 10.3 Hz, J = 1.3 Hz, 4H, CH=C HEH), 3.86 (s, 12H, OC H3), 2.81  ?¡ã2.71 (m, 8H, Ar -CH2), 2.44 (dd, J = 14.7 Hz, J = 7.5 Hz, 8H, Ar -CH 2-CH2). 13C NMR  (150 MHz, CDCl 3): ?? (ppm) = 148.0 (Ar -C-CH bridgehead ), 146.3 (Ar -C-6,7,14,15), 142.4 (Phenyl -C-3,5), 138.1 (Ar OMe-C-CH bridgehead ), 138.0 (Ar -CH 2-CH 2-CH), 129.5 (Phenyl -C-2,6), 128.0 (Phenyl -C-4). 123.2 (Ar -C¡ÔC-C), 118.1 (Ar -C-2,3), 115.4 (Ar -CH 2-CH 2-CH=CH2), 109.0 (Ar-C-5,8,13,16), 94.3 (Ar -C¡ÔC), 86.8 (Ar -C), 56.5 (O CH3), 51.7 (bridgehead -C), 35.6 (Ar -CH2), 35.3 (Ar -CH 2-CH2). IR (reflection): ??? (cm-1) = 3074  (w), 2998  (m), 2959  (m), 2856  (m), 2832  (m), 2203  (w), 1640  (m), 1594  (m), 1490  (s), 1452  (m), 1440  (m), 1410  (m), 1380  (w), 1286  (s), 1222  (m), 1188  (m), 1148  (s), 1089  (w), 1025  (w), 989  (w), 911  (w), 863  (w), 818  (w), 700  (w). Elemental anal. calcd. for  C56H54O4: C 85.03% H 6.88% , found: C 84.61% H 6.94% . HRMS ( DART ) (m/z): [M +H]+¡¤ calcd. for C56H54O4, 791.4095 , found, 791.4088.",comprehensive synthesis
"(9s,10s) -13,16 -bis((3,5 -di(but -3-en-1-yl)phenyl)ethynyl) -9,10-dihydro -9,10-[1,2]benzene -anthracene -2,3,6,7 -tetrayl tetraacetate  (6)  TMSI (1.44  mL, 10.1  mmol) was added to a solution of triptycene 6 (393 mg, 0.50  mmol) in dry degassed DCM (1  mL) at 0¡ãC and afterwards the reaction mixture was stirred at 36¡ãC. After 15  h, acetic anhydride (3.0 mL, 31.8  mmol) was added over a period of 15¡ã min at 0¡ãC and the mixture was stirred at RT. After 24  h, DCM (100  mL) and H 2O (50  mL) was added at 0¡ãC. The organic phase was washed with H 2O (4 x 50 mL) and the combined organic phase was dried over Na 2SO 4. The residue was taken up in DCM (14  mL) and afterwards acetic anhydride (5.5  mL, 58.3  mmol) and pyridine (5.5  mL, 68.2  mmol) were added and the reaction mixture was stirred 15 h at RT. DCM (80  mL) was  added and the organic phase was washed with H2O (4  x 50 mL). After drying over Na 2SO 4 the solvent was removed by rotary evaporation. TLC (DCM; stabilized with amylene): R f = 0.40 ( 6). After column chromatography (SiO 2, DCM; stabilized with amylene) and removal of the solvent by high vacuum gave 191 mg (42%)  of acetate 6 as a yellow solid.  M.p. = 122¡ãC.",comprehensive synthesis
"Scheme 3: Synthesis of cage 10.  (9s,10s) -13,16 -bis((3,5 -di(but -3-en-1-yl)phenyl)ethynyl) -9,10-dihydro -9,10-[1,2]benzene -anthracene -2,3,6,7 -tetraol  (7)  A 0.2M  LiOH -solution (913 ¦ÌL , 183 ¦Ìmol ) was added to acetate 6 (32.6 mg, 36.1 ¦Ìmol) in degassed THF (2.4 mL) and the reaction mixture was stirred at RT. After 15  h, when the mixture has turned blue -green, acetic acid (10.8 ¦ÌL, 189 ¦Ìmol) in degassed H 2O (2.34 mL) was added and the mi xture was stirred at RT.",comprehensive synthesis
"After 30  min, degassed CHCl 3 (17.5 mL) was added and the orange -colored  phase was transferred with a syringe in to a Schlenk flask  which contained  Na2SO 4. Then ascorbic acid (9.5 mg, 53.9 ¦Ìmol) was added and the reaction mixture was sonicated at 50¡ãC over night . After inert filtration the residue was washed with degassed CHCl 3. The solvent of the yellow solution was removed by applying high vacuum overnight to give 24.3 mg (92%) of oxidation -sensitive tetraol 7 as yellow solid.  1H NM R (300  MHz, CDCl 3): ?? (ppm) = 7.31 (d, J = 1.6 Hz, 4H, Phenyl -2,6-H), 7.11 (s, 2H, Ar -14,15 -H), 7.07 (s, 2H, Phenyl -4-H), 6.99 (s, 4H, Ar -1,4,5,8 -H), 5.91 (ddt, J = 17.1 Hz, J = 10.3 Hz, 1.6  Hz, 4H, Ar -CH 2-CH 2-CH), 5.70 (s, 2H, bridgehead -H), 5.17  ¨C 4.79 (m, 4H, CH=C HE/ZH), 4.90 (bs, 4H, O H), 2.82  ? 2.70 (m, 8H, Ar -CH2), 2.44 (dt, J = 14.1 Hz, J = 6.9 Hz, 8H, Ar -CH 2-CH2). 13C NMR  (75 MHz, CDCl 3): ?? (ppm) = 148.2  (Ar-C-CH bridgehead ), 142.8  (Phenyl -C-3,5), 140.8  (HO-C), 138.5  (Ar OH-C-CH bridgehead ), 138.4  (Ar-CH 2-CH 2-CH), 129.9  (Phenyl -C-2,6), 129.8  (Phenyl -C-4), 128.3  (Ar-C-14,15), 123.4  (Phenyl -C-1), 118.5  (Ar-C), 115.6  (Phenyl -CH 2-CH 2-CH=CH2), 112.6  (Ar-C-1,4,5,8), 94.5  (Ar-C¡ÔC), 86.6  (Ar-C¡ÔC), 50.7  (bridgehead -C), 35.3  (Ph-CH2), 35.1  (Ph-CH 2-CH2).  [12+8] boronic ester cage compound 9   A suspension of boronic acid 8 (5.0 mg, 23.1  mmol ) and  tetraol 7 (24.3  mg, 33.1  mmol) in  degassed 1,1,2,2 -tetrachloroethane (4.8  mL) and EtOH (36  ¦ÌL) was sonicated for 2  min and the reaction mixture was stirred under argon at 100¡ãC. After 1  d the reaction mixture was filtered through glass wool. After chromatography (SEC, DCM)  a 1.9  mM solution (70%; i nternal reference  EtOH ) of cage compound 9 was obtained and used for the metathesis reaction.  1H NMR  (400 MHz, Cl 2CDCDCl 2): ?? (ppm) = 8.83 (s, 2H, Ar B-H), 7.51 (s, 4H, Ar -1,4,5,8 -H), 7.38 (s, 4H, Phenyl -2,5-H), 7.23 (s, 4H, Ar -14,15 -H), 7.16 (s, 2H, Phenyl -4-H), 6.03 (s, 2H, 5.91, bridgehead -H), 6.01  ¨C 5.89 (m, 4H, H 2C=CH), 5.20  ¨C 5.03 (m, 8H, CH=C HE/ZH), 2.83 (t, J = 7.6 Hz, 4H, Ph -CH2), 2.50 (dd,  J = 14.5 Hz, 7.2  Hz, 4H, Ar -CH 2-CH2). 13C NMR  (100 MHz, Cl 2CDCDCl 2): ?? (ppm) = 150.1 (Ar-C-CH bridgehead ), 148.8 (Ar B-CH), 145.6 (Ph -C-4), 143.5 (Ar O-C-CH bridgehead ), 141.2 (Ar -CH 2-CH 2-CH), 132.7 (Phenyl -C-2,6), 131.6, 126.0, 123.6, 121.6 (Ar -C-14,15), 112.8 (bs, Ar -C-1,4,5,8), 98.2 (Ar -C¡ÔC), 89.4 (Ar -C¡ÔC), 63.7 (bridgehead -C), 38.6 (Ph -CH 2CH2), 38.5 (Ph -CH2). DOSY  (Cl2CDCDCl 2, T = 298.2  K): D (m-2s-1) = 1*10-10; ??¡ä = 1.42 nm. IR (KBr cuvette ): ??? (cm-1) = 3078  (m), 3002  (w), 2978  (m), 2827  (m), 2856  (m), 1768  (m), 1641  (m), 1617  (m), 1594  (m), 1488  (m), 1467  (m), 1421  (m), 1392  (m), 1344  (s), 1306  (s), 1289  (m), 1277  (m), 1192  (m), 1139 (m), 1123  (m). MS (MALDI -TOF) /m/z) : [M+H]+ calcd. for  C672H528B24O48, 9630.6, found, 9629.4.",comprehensive synthesis
"Cage -in-cage compound 10   Hoveyda -Grubbs Catalyst 2nd  Generation  (1 mg, 1.6  ¦Ìmol)  was added in a glove box to a J.Young NMR tube containing a 1.9  mM solution of 9 (10.3  mg, 0.95  ¦Ìmol) in d -TCE (0.5  mL) and after closing the tube the reaction mixture was shaken for 1 min. Then , the tube was stored at RT  under light exclusion . After 36  h, argon was passed through the solution for 30  min. To this solution Hoveyda -Grubbs Catalyst 2nd  Generation  (0.5 mg, 0.8  ¦Ìmol) was added again and the solution stored at RT. After 24  h, ethylvinylether (0.4  mL) was added and the reaction mixture was stirre d at RT. After 10  min, the solution was passed through glass wool and the ether was removed by rotary evaporation. After chromatography (SEC, DCM) d-TCE (1  mL) was added to the first fraction  consisting  cage compound 10. 1H NMR  (400 MHz, Cl 2CDCDCl 2): ?? (ppm) = 8.83 (s, 2H, Ar B-H), 7.51 (s, 4H, Ar -1,4,5,8 -H), 7.38 (s, 4H, Phenyl -2,5-H), 7.23 (s, 4H, Ar -14,15 -H), 7.16 (s, 2H, Phenyl -4-H), 6.03 (s, 2H, 5.91, bridgehead -H), 6.01  ¨C 5.89 (m, 4H, H 2C=CH), 5.20  ¨C 5.03 (m, 8H, CH=C HE/ZH), 2.83 (t, J = 7.6 Hz, 4H , Ph-CH2), 2.50 (dd,  J = 14.5 Hz, 7.2  Hz, 4H, Ar -CH 2-CH2). DOSY  (Cl2CDCDCl 2, T = 298.2  K): D (m-2s-1) = 7.08*10-11; ??¡ä = 1.94 nm. 3032  (w), 2927  (m), 2856  (m), 1704  (m), 1594  (m), 1487  (m), 1467  (m), 1456  (m), 1423  (m), 1389  (w), 1344  (s), 1307  (s), 1276  (m), 1192  (m), 1139 (m), 1123  (m), 1073  (m), 1042  (m), 972  (w), 866  (w), 650  (w). 3. NMR and IR spectra   Figure S1: 1H NMR spectrum  (CDCl 3, 500 MHz) of compound 1.",comprehensive synthesis
