content,category
"IntroductionDiscret em olecular architectu res[1¨C2]hold the attention ofre-searche rsforawiderange ofapplications ingas storag e,mo-lecular recogniti on,catalysis, and drug delivery .Overthepastthree decade s,numerou smolecu lararchit ectures[3]have beendevelop edbyalterin gsuitabl eorganic space rsand metalcounter parts. However ,analogous organic molecu larassem-blies arehardtoachieve byusing traditi onal multistep organicsynthe sis,which generally leads tolow yield ofthefinal prod-ucts. Ther efore, dynam iccovale ntchemistr y(DCC) hasbeen in-troduc edasanefficient altern ativeapproac htoharvest organ-iccage compounds[4]from simple buildin gblocks. Inthisregard, our group has recent lyreported severa lfunctionalizedorganic cages byusing dynamic imine chemistry .Such cagesshowe dpotentia lapplications[5]inexplosives sens ing and incatalys is.Although consid erable efforts inrecent times havebeen direct edtothesynthesis ofseveral organic cage com-pounds ofvarious sizesand shapes, examples oforganic mo-lecular barrel s[6]obtained byusing dynamic covalen tbonds arestillrare. The barrel structure has several benef itsowing toitsporou sconfined space. Furth ermo re,the two open faces ofthe barrel can beused asentry and exit windo wsforsub-strates andproducts ,respectivel y.The present article reportsanunusual example ofanorganic tetrafa cialmolecu larbarrel(OB4R)includi ngitsuse asapotential molec ular vessel forthesynth esisofsilver nanop articles (/C251.44 nm).[14]Magnetic, optoel ectron ic,and medicinal properties ofmetalnanop articles (MNPs) have been widel yused forvarious pur-poses.[7]Owingtotheir high surface area/volum eratio with anumber ofunsaturation sites, tiny MNPs areoften preferr edover the bulk metal precu rsors incatalysis.[8]Moreover ,MNPshave drawn special attention inphoto catalysis owing totheirlocalized surfac eplasmon resonan ce(LSPR) effect.[9]This effectmainly implies the collective resonanc ebetween conductionband electrons with incide ntlight, which mostlygenerat esholes and hot electr ons (h¨Ce) ontheMNP surface.[10]Thus, ul-trafin eMNPs promote photocatalytic reactio nsowing totheLSPR effect, which isthermodyna mically not feasible intheground state.[11]Inthis respect, silver nanop articles (AgNP s)areappeal ingowing totheir LSPR effectinthevisible light region(400¨C 800nm).[12]Moreov er,photocatalyt icroutes under visiblelight are often lesstoxic, involves less energy consu mption,and aremore eco-fri endly comp ared withconventiona lwet-chem icalmethods. Therefore, toprepar etinyMNPs ofvarioussizes, several supp ort materials suchaspolymers ,[13]metaloxides,[14]metal ¨Corga nic frameworks,[15]andcovalent-o rganicframe works[16]have been well documente d.The key problems[a]B.Mondal, P.Bhandar i,Prof. P.S.MukherjeeDepar tment ofInorg anic and Physica lChemi stryIndian Institute ofScienceBangalo re56001 2(India)E-mail :psm@ iisc.ac.inSuppo rting informa tion and theORCID identifica tion number(s) fortheautho r(s)ofthisarticl ecanbefound under :https ://doi .org/10.10 02/che m.202003390 .",affiliation
"Department of Inorganic and Physical Chemistry, Indian Institute of Science, Bangalore 560012, India.  E-mail: psm@iisc.ac .in. Fax: 91 -80-2360 -1552; Tel; 91 -80-2293 -3352 .",affiliation
"Synthe sisoftheorgan icbarrel OB4Am ethanolic solution (50mL) of diamine EA (12.15 mg,0.202 mmol) was added dropwise toasolution ofaldehyde TA(50.0 mg, 0.101 mmol) inCHCl3(150 mL). The reaction mixture waskept undisturbed atroom temperature foraweek. After comple-tion ofthe reaction, aslight amount ofwhite insoluble productwas observed onthevessel wall. The reaction mixture was filteredtoobtain aclear colorless solution and then thefiltrate was con-centrated under reduced pressure. Cold n-pentane was added toitslowly toobtain the product asawhite precipitate, which waswashed with CH3OHseveral times and dried under vacuum for6h.",comprehensive synthesis
"Isolated yield :62.33 %(34.2 mg, 0.0157 mmol).1HNMR(500 MHz,CDCl3):d=8.24 (s,16H),7.56 (d,32H),7.49 (s,8H),7.21 (d,32H),3.61¨C3.63 (m, 16H),2.96¨C2.98 ppm (m, 16H);13CNMR (125 MHz,CDCl3):d=160.5, 139.2, 135.7, 130.8, 128.6, 122.0, 118.3,21.6 ppm ;ESI-HRMS (CHCl3/CH3OH): m/zforC152H120N16:[M++H]+2171.0023(calcd 2170.9994), [M+2H]2+1085.9973 (calcd 1086.0036) ;FTIR:v=1644 cm/C01(C=N).",comprehensive synthesis
"Synthesis oftheorganic barrel OB4ROB4 (50.2 mg, 0.0231 mmol) was taken inCHCl3/MeOH (160 mL,1:1,v/v) solvent mixture. NaBH4(28.1 mg, 0.74 mmol) was addedportion-wise totheabove mixture atroom temperature and wasstirred for1day.Thesolvent was removed after thecompletion ofthe reaction, and the product was extracted inCHCl3(50mL/C1483).",comprehensive synthesis
"The organic part was washed several times with water and driedover anhydrous Na2SO4followed byremoval ofsolvents toobtainOB4Rasaw hite powder .Isolated yield :87.13 %( 44.4 mg,0.02015 mmol).1HNMR(500 MHz, CDCl3):d=7.59 (d,32H),7.49 (s,8H),7.23 (d,32H),4.09 (d,32H),2.80¨C2.75 ppm (m,32H);13CNMRFigure 5.(a)Reusability plot ofAg0@OB4R(yield sofcrude products arecal-culate dby1HNMRanalysis) ,(b)PXRD plot ofrecycle dAg0@OB4Rafter fivecycles .",comprehensive synthesis
"Synthesis ofbarrel-supported silver nanoparticles Ag0@OB4ROB4R(20.1 mg, 0.0091 mmol) dissolved inCHCl3(6mL;colorless)was treated with aCH3OH(3mL) solution ofCF3SO3Ag(56.26 mg,0.2189 mmol ;colorless) and stirred for1hatroom temperature.",comprehensive synthesis
"Into this reaction mixture (yellow colored), amethanolic solution(1mL) ofNaBH4(16.64 mg, 0.4379 mmol) was added dropwise atroom temperature and stirred for1h(black colored). The solutionwas centrifuged and the product was washed several times withmethanol followed byvacuum drying for12htoobtain Ag0@OB4Rasablack solid powder .",comprehensive synthesis
"Gener alprocedure forUllman-type coupling ofhaloare nesStandard method fortheUllman-type coupling reaction of4-bro-mobenzaldehyde byusing Ag0@OB4R:A25mLquartz tube wascharged with 4-bromobenzaldehyde (185 mg, 1mmol), imidazole(102.1 1mg,1.5mmol), K2CO3(276.41 mg, 2mmol), and Ag0@OB4R(2.074 mg, 1mol%ofAg,1.12 wt%)along with drydimethyl for-mamide (5mL). Subsequently ,themixture was degassed under ni-trogen atmosphere and stirred for10hunder visible light irradia-tion at30 8C.The reaction tube was taken outfrom theUVcham-ber and the mixture was filtered toseparate the solid catalystAg0@OB4R.Thecatalyst was washed several times properly withwater and ethyl acetate and dried invacuum (12h)forthe nextcycle. The organic layer was washed with water vigorously anddried over anhydrous Na2SO4followed bycomplete removal ofthesolvent under reduced pressure. The crude mass was purified withaneutral alumina column using n-hexane/ethyl acetate (1:1,v/v) toafford pure 4-(1H-imidazol-1-yl)benzaldehyde asayellowish crys-talline solid (94%yield, 162.1 mg).1HNMR(CDCl3,400MHz): d=10.04 (s,1H),8.02 (d,2H),7.97 (s,1H),7.58 (d,2H),7.37 (s,1H),7.26 ppm (s,1H);13CNMR(100 MHz, CDCl3):d=190.6, 141.8, 135.5,135.1, 131.7, 131.4, 121.2, 117.7ppm. For 1mmol offluoro-,chloro-, and iodo-substrates, the product yields were 124.1 mg(72%),143.0 mg (83%),and 161.9 mg (94%),respectively .Yieldsand NMR data ofother catalytic products arereported intheSup-porting Information.",comprehensive synthesis
"Synthesis of Tetra-aldehyde TA: In a 250 mL two -neck round -bottom flask, 2 g (5.08 mmol) of 1, 2, 4, 5-tetrabromobenzene and 4.57 g (30.48 mmol) of 4 -formylphenylboronic acid were taken in 1 50 mL THF and into that 30-mL aqueous solution of 5.6 g (40.64 mmol) K 2CO 3 was added. The resulting mixture was degassed under nitrogen atmosphere. After coming to roo m temperature, 294 mg (5 m ol%) of catalyst Pd(PPh 3)4 was added to the mixture and heated to 70¡ãC for 48h. After completion of the reaction , the solvents  were removed under reduced pressure and the crude part was extracted with dichloromethane (100 mL ? 3). Organic part was then dried over anhydrous Na 2SO 4 under reduced pressure to obtain crude solid. The crude solid was further  S3 purified by silica gel column chromatography in dichloromethane/hexane  (2:1)  mixture to obtain compound  TA as white powder. Isolated yield: 8 3.98% (2.11 g, 4.2 66 mmol). 1H NMR ( 500 MHz, CDCl 3): ¦Ä 9.99 (s, 4H), 7.79 (d, 8H), 7.60 (s, 2H), 7.39 (d, 8H). 13C NMR (125 MHz, CDCl 3): ¦Ä 191.8, 146.2, 139.6, 135.2, 132.9, 130.5, 129.8. ESI -HRMS (CHCl 3-CH 3OH): m/z for C 34H22O4: [M+H]+ 495.1579 (calcd 495.1596). FT-IR (cm?1): v 1693 (C=O).",comprehensive synthesis
