content,category
"Interestingly, attempt toobtain the same amide cage usingtraditional amide bond forming reaction employing the same[a]P.Bhandari, Prof.P.S.MukherjeeDepartment ofInorganic andPhysicalChemistryIndianInstituteofScienceBangalore 560012(India)E-mail:psm@iisc.ac.inSupporting information forthisarticleisavailable ontheWWWunderhttps://doi.org/10.1002/chem.202201901Che mistr y¡ªA European Journal www.chemeurj.orgResearch Articledoi.org/10.1002/chem.202201901Chem.Eur.J.2022,28,e202201901 (1of7) ?2022 Wiley-VCH GmbH_twoT ^IN L~ot?kr. 3;14315355559; 25:599; d[1494249;f 4diamine incombination with the corresponding tri-acyl chloride(T) was unsuccessful. Generality ofthe approach was furtherexpanded bythe synthesis ofamacrocyle (M2) containing fouramide bonds viathe formation ofimine-based macrocycle (M1)followed bypost-synthesis oxidation (Scheme 2).Crystal struc-ture ofthe macrocycle (M2) revealed H-bonding interactionsbetween amide bonds and DMSO leading torapid aggregatesformation that limits itsuse inanion binding. Toour delight,the amide-based cage (C2) was intact insolution without anyaggregate formation because ofitsintrinsic 3D structure. ThecageC2was chemically and thermally stable and itsconfinedpocket containing sixamide bonds showed high selectivity forfluoride anion with abinding stoichiometry of1:2.Incompar-ison with chloride,C2exhibited ~3?103-fold stronger bindingaffinity forfluoride and itremained silent towards other halides,phosphate, and oxyanions.",affiliation
Deposition Numbers 2169709 (forM2) contain the supple-mentary crystallographic data for this paper. These data areprovided free ofcharge bythe joint Cambridge CrystallographicData Centre and Fachinformationszentrum Karlsruhe AccessStructures service.,CCDC
"Table S1: Crystallographic Data and Refinement parameters of M2 Empirical formula  C70H74N4O6S Formula weight  1099.39  Temperature (K)  100 Crystal system  triclinic  Space group  P-1 a (?) 9.7290 (4) b (?) 16.8489 (8) c (?) 23.0408 (10) ¦Á (¡ã) 88.792(3)  ¦Â (¡ã) 78.730 (3)   S6  ¦Ã (¡ã) 86.797(3)  V (?3) 3698.1 (3) Z 2 ¦Ñcalcd (g/cm3) 0.987  ¦Ì (mm-1) 0.090 F(000)  1172 Crystal size (mm3) 0.71 ¡Á 0. 38 ¡Á 0.23 ¦È (¡ã) 0.9 ¨C 27.5 Limiting indices  ?12 ¡Ü h ¡Ü 12 ?21 ¡Ü k ¡Ü 21 ?29 ¡Ü l ¡Ü 29 No. of reflections collected  51532  No. of independent reflections (R int) 16625  Completeness to ¦È /% 97.5 No. of data/restraints/params  16625 /0/714 Goodness of fit (GOF) on F2 1.047 Final R indices ( I > 2 ¦È (I)) R1 wR 2  0.0908a 0.2651 b R indices (all data)  R1 wR 2   0.1360 a 0.3013b Largest difference in peak, hole (e ??3) 1.297 , -0.669  CCDC  No.  2169709  a R1 = ¦²(|Fo| ? |Fc|)/¦²|Fo|. b wR 2 = {¦²[w(|F o|2 ? |Fc|2)2]/¦²[w(|F o|2)2]}1/2      S7  Characterizations   Figure S1.  1H NMR spectrum of the product /s obtained by conventional approach  for synthesis of amide macrocycle (M2)  using terephtholyl chloride and diamine A (recorded in DMSO -d6).",CCDC
"Experimental Section  Synthesis of Imine Macrocycle (M1): Imine macrocycle  (M1) was synthesized using a modified procedure of the reported procedure .[1] In a 100 mL round -bottom flask, terephthaldehyde ( 30 mg, 0.22 mmol) and 4,4' -(1,3-phenylenebis(propane -2,2-diyl))dianiline ( A) (76 mg, 0.22 mmol) were dissolved in 30 mL chloroform. The reaction mixture was stirred at room temperature (298K) for 48 hours.  The result ing solution was concentrated,  and n -pentane was added to precipitate out the product. The crude product was recrystallized in hot ortho -dichlorobenzene (10 mL) to obtain yellow crystalline product. Isolated Yield: ~ 82% (86 mg, 0.09 mmol ). Melting point: 295 ?C. 1H NMR (CDCl 3, 400 MHz): ¦Ä 8.29 (s, 4H), 7.65 (s, 8H), 7.43 -7.37 (m, 6H), 7.01 (d, J = 8.5 Hz, 8H), 6.96 (d, J = 8.5 Hz, 8H), 6.38 (s, 2H), 1.63 (s, 24H). 13C NMR (CDCl 3, 100 MHz): ¦Ä 158.72, 150.50, 149.04, 138.46, 131.37, 128.93, 12 7.59, 122.02, 120.30, 43.01, 30.86. ATR -FTIR (solid, cm?1): v 1630 (imine C=N).",comprehensive synthesis
"Synthesis of Amide Macrocycle (M2): Imine bond oxidation was performed following the procedure reported earlier. [1b-c] In a 100 mL round -bottom flask, imine macrocycle M1 (53 mg, 0.06 mmol) was dissolved in 50 mL THF. 2 -Methyl -2-butene (0.83 mL, 7.8 mmol) was added to the macrocycle solutio n followed by addition of sodium chlorite (543 mg, 6 mmol).  An aqueous solution  (0.6 mL) of NaH 2PO 4 (144 mg, 1.20 mmol) was prepared and added dropwise to the   S2  reaction mixture over 10 minutes. The final reaction mixture was stirred at room temperature (298K) for 20 hours. THF solution was filtered, concentrated and mixture of water/acetonitrile solvents was added after completion of the reaction. The result ing mixture was sonicated till the formation of  milky w hite precipitate. The precipitate was centrifuged and washed with acetonitrile followed  by chloroform/acetonitrile mixture (1:9  volume ratio ). Finally , the precipitate was washed with diethyl ether and dried in vacuum to obtain white powder as product. Isolated Yield: ~50% (2 8.5 mg, 0.0 3 mmol) . Melting point: ?325 ?C. 1H NMR (DMSO -d6/THF -d4, 400 MHz): ¦Ä 9.97 (s, 4H), 7.90 (s, 8H), 7.58 (d, J = 8.5 Hz, 8H), 7.39 -7.37 (m, 6H), 6.94 (d, J = 8.5 Hz, 8H), 6.50 (s, 2H), 1.59 (s, 24H). ESI -HRMS (DMSO -THF -CH 3OH): m/z for C 64H60N4O4: [M+Na]+ 971.4452 (calcd 971.4512). ATR -FTIR (solid, cm?1): v 1662 (amide C=O), 3314 (amide NH).",comprehensive synthesis
"Conventional Approach for Synthesis of Amide Macrocycle (M2):  4,4'-(1,3-phenylenebis(propane -2,2-diyl))dianiline ( A) (380 mg, 1.1 mmol) was dissolved in 15 mL dry DCM with catalytic amount of triethylamine (280 ¦ÌL) and cooled to 0 ?C. To this, a solution of terephthaloyl chloride  (203 mg, 1.0 mmol) in 10 mL dry DCM was added dropwise with continuous stirring and kept for 24h at 298K. The resulting white precipitate was filtered followed by washing with Et 2O to get  the white solid as product.  The product was checked by 1H NMR in DM SO-d6 which indicated formation of a mixture of several products  (Figure S1) .",comprehensive synthesis
"Synthesis of Imine Cage (C1) : In a 100 mL round -bottom flask, 107 mg diamine  (A) (0.31 mmol) was dissolved in 25 mL  acetonitrile. A solution of P (78 mg, 0. 20 mmol) in chloroform (20 mL) was added slowly to  the above solution  with stirring at room temperature  for 48 hours. A yellowish precipitate was observed after completion of the reaction . The result ing  mixture was concentrated , centrifuged , and washed with  acetonitrile to obtain light yellow  solid product.  Isolated Yield: ~98% (16 8 mg, 0.09 8 mmol).  Melting point: ?3 00 ?C. 1H NMR (CDCl 3, 400 MHz): ¦Ä 8.32  (s, 6H), 7. 65 (d, J = 8.3 Hz, 12H), 7. 54 (s, 6H), 7. 42 (m, 9H), 7. 39 (d, J = 8. 2 Hz, 12H), 7.01 (s, 24H), 6.38 (s, 3H), 1. 65 (s, 36H). 13C NMR (CDCl 3, 100 MHz): ¦Ä 1 58.62, 150.57, 148.89, 142.59, 141.12, 135.53, 131.53, 129.12, 127.55, 127.46, 126.95, 124.53, 121.89, 120.37, 42.96, 30.81 .",comprehensive synthesis
"Synthesis  of Amide Cage  (C2): In a 100 mL round -bottom flask, imine cage C1 (70 mg, 0.041 mmol) was dissolved in 65 mL THF. 2 -Methyl -2-butene (0.9 mL, 8.5 mmol) was added to the cage solution followed by addition of sodium chlorite (600 mg, 6.63 mmol).  An aqueous solution  (0.75 mL) of NaH 2PO 4 (150 mg, 1.25 mmol) was added dropwise to the reaction mixture over 10 minutes. The  reaction mixture was stirred at room temperature (298K) for 20 hours  and filtered , concentrated , and treated with a mixture of water /acetonitrile after completion of the reaction. The  final mixture was sonicated till the formation of milky white precipitate. The  precipitate was centrifuged and washed with acetonitrile followed by washing with chloroform/acetonitrile (1:9  volume ratio ). Finally,  the precip itate was washed with diethyl ether and dried in vacuum to obtain the product as white powder.  Isolated Yield: ~ 48% (36.1 mg, 0 .02 mmol).  Melting point: ?350 ?C.",comprehensive synthesis
"S4  Conventional Approach for Synthesis of Amide Cage (C2): Diamine  A (58 mg, 0.16 mmol) was dissolved in 30 mL dry THF with catalytic amount of triethylamine (30 ¦ÌL) and cooled to 0?C. To this, a solution of 5'-(4-(chlorocarbonyl)phenyl) -[1,1':3',1'' -terphenyl] -4,4''-dicarbonyl dichlor ide (T) (50 mg, 0.10 mmol) in 20 mL dry THF was added dropwise with continuous stirring.",comprehensive synthesis
"The result ing mixture was stirred  for 24  h. After completion of the reaction, the solution was concentrated and Et 2O added to get the product as white precipitate.1H NMR indicated formation of complex mixture of products  (Figure S34) .",comprehensive synthesis
