content,category
"By employing the approach of employing OMCs as foundationalunits to assemble advanced OMC-based polymers, a strategy is beingpursued to develop OMC-based OMC advanced superstructures.Developing a new OMC-based OMC is much more dif ?cult thandeveloping current OMCs as the complexity enhancement in super-structures. Especially, efforts to construct the intricate superstructuresdisplaying self-similarity across different scales in their arrangementfor enhancing and expanding their functional properties pose an evengreater challenge, requiring meticulous engineering of the constituentbuilding blocks37,38. By adopting this strategy, it is anticipated thatReceived: 23 August 2023Accepted: 10 January 2024Check for updates1College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan 430074, China.2National Engineering Laboratory forAdvanced Yarn and Fabric Formation and Clean Production, Technology Institute, Wuhan Textile University, Wuhan, Hubei 430200, China.3Beijing NationalLaboratory for Molecular Sciences, CAS Key Laboratory of Molecular Recognition and Function, Institute of Chemistry, Chinese Academy of Sciences, Beijing100190, China.4These authors contributed equally: Zhen Wang, Qing-Pu Zhang, Fei Guo. e-mail: wz@wtu.edu.cn ;chunzhang@hust.edu.cn ;cchen@iccas.ac.cnNature Communications |          (2024) 15:670 11234567890():,;1234567890():,;more fascinating structural OMCs could be obtained without com-promising the advantageous property of solution processibility.",affiliation
"2 National Engineering Laboratory for Advanced Yarn and Fabric Formation and Clean Production, Technology Institute, Wuhan Textile University, Wuhan, Hubei 430200, China.",affiliation
"3Beijing National Laboratory for Molecular Sciences, CAS Key Laboratory of Molecular Recognition and Function, Institute of Chemistry, Chinese Academy of Sciences, Beijing, 100190, China.",affiliation
"Data availabilityThe authors declare that all other data supporting the ?ndings of thisstudy are available from the article and its Supplementary Information.Source data are provided in this paper. The X-ray crystallographicstructures reported in this study have been deposited at the Cam-bridge Crystallographic Data Centre (CCDC) under deposition num-bers 2180996, 2181020, and 2181024. These data can be obtained freeof charge from The Cambridge Crystallographic Data Centre via www.",CCDC
"Crystallographic dat a for CHO -TMC : Mr = 1459.09 , Monoclinic , Space group  C2/c, a = 38.044(5) , b = 17.566(3 ) ?, c = 29.995(4)  ?, 汐 = 90～, 汕 = 123.041(4 )～, 污 = 90～, V = 16804(4)  ?3, Z = 8, 老calcd. = 1.028  Mg/m3, 米 = 0.371  mm每1, reflections collected 89115 , data/restraints/parameters  14332 /48/990, GOF on F2 1.074 , final R1 = 0.0618 , wR 2 = 0.1813 , R indices (all data): R1 =0.0802 , wR 2 = 0.1970 , largest diff. peak and  hole:  0.381  and -0.314  e/?-3, CCDC - 2180996 .",CCDC
"peak and  hole:  0.475 and -0.358 e/?-3, CCDC - 2181020 .",CCDC
"Crystallographic data for  4M-HTMC : Mr = 3551.14 , Orthorhombic , Space group  P 21 21 21, a = 19.6795(9), b = 29.1198(14) ?, c = 40.2573(18) ?, 汐 = 90～, 汕 = 90～, 污 = 90～ , V = 23070.0(18) ?3, Z = 8, 老calcd. = 0.918 Mg/m3, 米 = 1.148  mm每1, reflections collected 172380,  data/restraints/parameters  40238/0/2144, GOF on F2 2.459, final R1 = 0.2446, wR 2 = 0.5244, R indices (all data): R1 = 0.2547, wR 2 = 0.5385, largest diff. peak and  hole:  2.712 and -2.212 e/?-3, CCDC - 2181024 .",CCDC
"Supplementary  Fig. 30.  The chemical structure and X-ray single crystal structures from side view (a and b) and top view (c and d) molecular cages 2 P-CHO -TMC and 2 M-CHO -TMC, respectively. The cavity size of them was around 3.98 ? determined by the distance of central phenyl rings.  (Hydrogen atom was omitted for clarity) . The Oak Ridge thermal ellipsoid plot ORTEP -style illustration of molecular cages (e) 2P-CHO -TMC  and (f) 2M-CHO -TMC  (CCDC:  2180996 ).",CCDC
"S23   Supplementary  Fig. 33.  The X -ray single crystal structures of molecular cages 4 P-HTMC (left) and 4 M-HTMC (right) from side view (a and b) show cavities size was around 3.9 ? determined by the distance of central phenyl rings. The top view  S24  shows the hetero -pores around 10 ? (c and d) and the molecular size of 4 P-HTMC and 4 M-HTMC, the building blocks CHO -TMC () and building blocks＊ building blocks TPB are about 30 -34 ?, 16 ? and 10 ?, determined by the vertices distance of the tri -bladed propeller structures (e and f). ( Hydrogen atom was omitted for clarity).  The Oak Ridge thermal ellipsoid plot  ORTEP -style illustration of molecular cages (g) 4P-HTMC (CCDC:  2181020 ) and (h) and 4 M-HTMC  (CCDC:  2181024 ).",CCDC
"Chiral interconversion between the 4 P-HTMC and 4 M-HTMC4P-HTMC to 4 M-HTMC . CHO-TMC (26 mg, 0.02 mmol) and ( R,R)-CHDA (3.3 mg, 0.03 mmol) were dissolved in DCM 20 mL with a cata-lysis amount of tri ?uoroacetic acid (TFA). The combined mixture wasstirred vigorously at room temperature overnight to afford a 4 P-HTMCsolution. Then, eight vials were added to the 4 P-HTMC solution 2 mL,and different amounts (0, 25, 50, 75, 100, 133, 200, and 400 米L) (S,S)-CHDA ( c= 0.3 M) were added in and stirred overnight. The circulardichroism (CD) spectra of them were collected.",comprehensive synthesis
"4M-HTMC to 4 P-HTMC . CHO-TMC (26 mg, 0.02 mmol) and ( S,S)-CHDA (3.3 mg, 0.03 mmol) were dissolved in DCM 20 mL with a cata-lysis amount of tri ?uoroacetic acid (TFA). The combined mixture wasstirred vigorously at room temperature for overnight to afford 4 M-HTMC solution. Then, eight vials were added to the 4 M-HTMC solution2 mL, and different amounts (0, 25, 50, 75, 100, 133, 200, and 400 米L)(R,R)-CHDA ( c= 0.3 M) were added in and stirred overnight. The cir-cular dichroism (CD) spectra of them were collected.",comprehensive synthesis
"1,3,5 -tris(4-hydroxyphenyl)benzene  based [2+3] molecular cage TMC was synthesized according to the reported literature.[1] A solution of cyanuric chloride 2 (510 mg, 2.7 mmol) in 150 mL of THF, cooled with an ice bath, received a dropwise addition of a mixture containing 1,3,5-tri(4-hydroxyphenyl)benzene 1 (630 mg, 1.8 mmol) and diisopropylethylamine ( 840 mg, 1.14 mL, 6.48 mmol) in 40 mL of THF over 3 hours. Following  S2  the addition, the temperature was gradually raised to 40～C, and stirring persisted for an additional 3 days. The resulting mixture was then filtered, and solvent removal was carried out using a rotary evaporator. The residue underwent chromatography on a silica gel column with petroleum ether and ethyl acetate  (5:1) to yielding TMC  (120 mg, 13%) with white solid.  1H NMR ( 400 MHz, CDCl 3), 汛 (ppm) = 7.48 (s, 6H), 7.39每7.41 (d, J = 8.80 Hz, 12H); 6.94每6.96 (d, J = 8.40 Hz, 12H).",comprehensive synthesis
